forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.99,495.01,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.99,524,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.99,594.01,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.99,674,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,point,NA,346,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,point,NA,318,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,point,NA,307,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,point,NA,298,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.01,3901.39,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.01,4217.64,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.01,3988,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.01,3313.94,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.025,4866.775,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.025,5056.675,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.025,4779.925,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.025,4387.675,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.05,5771.8,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.05,5995.2,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.05,5916.75,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.05,5439.8,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.1,6989.8,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.1,7406.9,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.1,7240.4,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.1,6860.9,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.15,7874.8,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.15,8370.4,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.15,8410,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.15,8016.7,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.2,8660,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.2,9177.4,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.2,9243,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.2,9039.2,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.25,9429.25,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.25,9986.75,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.25,10225.25,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.25,10104,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.3,10003.1,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.3,10733.1,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.3,11086.1,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.3,11095.7,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.35,10642,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.35,11484.65,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.35,11875.55,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.35,12069.65,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.4,11239,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.4,12222.8,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.4,12672.2,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.4,13003.4,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.45,11880.65,Belgium
2021-01-13,2 wk ahead inc case,2021-01-30,BE,quantile,0.45,12906.55,Belgium
2021-01-13,3 wk ahead inc case,2021-02-06,BE,quantile,0.45,13547.1,Belgium
2021-01-13,4 wk ahead inc case,2021-02-13,BE,quantile,0.45,13951.65,Belgium
2021-01-13,1 wk ahead inc case,2021-01-23,BE,quantile,0.5,12590,Belgium
