"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"70","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.8,337,"Belgium"
"71","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.8,351,"Belgium"
"72","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.8,365,"Belgium"
"73","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.85,357,"Belgium"
"74","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.85,349,"Belgium"
"75","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.85,369,"Belgium"
"76","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.85,389,"Belgium"
"77","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.9,369,"Belgium"
"78","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.9,368,"Belgium"
"79","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.9,395,"Belgium"
"80","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.9,422,"Belgium"
"81","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.95,393,"Belgium"
"82","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.95,399,"Belgium"
"83","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.95,437,"Belgium"
"84","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.95,482,"Belgium"
"85","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.975,414,"Belgium"
"86","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.975,430,"Belgium"
"87","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.975,482,"Belgium"
"88","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.975,537,"Belgium"
"89","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.99,446,"Belgium"
"90","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.99,472,"Belgium"
"91","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.99,535,"Belgium"
"92","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.99,607,"Belgium"
"93","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","point",NA,311,"Belgium"
"94","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","point",NA,286,"Belgium"
"95","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","point",NA,276,"Belgium"
"96","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","point",NA,268,"Belgium"
"97","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.01,3511,"Belgium"
"98","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.01,3796,"Belgium"
"99","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.01,3589,"Belgium"
"100","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.01,2983,"Belgium"
"101","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.025,4380,"Belgium"
"102","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.025,4551,"Belgium"
"103","forecast",2021-01-06,"3 wk ahead inc case",2021-01-30,"BE","quantile",0.025,4302,"Belgium"
"104","forecast",2021-01-06,"4 wk ahead inc case",2021-02-06,"BE","quantile",0.025,3949,"Belgium"
"105","forecast",2021-01-06,"1 wk ahead inc case",2021-01-16,"BE","quantile",0.05,5195,"Belgium"
"106","forecast",2021-01-06,"2 wk ahead inc case",2021-01-23,"BE","quantile",0.05,5396,"Belgium"
