scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.35,10733
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.4,11059
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.45,11358
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.5,11664
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.55,11945
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.6,12265
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.65,12602
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.7,12955
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.75,13331
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.8,13771
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.85,14327
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.9,15047
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.95,16129
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.975,17044
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DE,quantile,0.99,18342
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,point,NA,4160
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.01,2478
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.025,2680
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.05,2847
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.1,3098
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.15,3273
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.2,3417
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.25,3558
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.3,3681
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.35,3800
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.4,3919
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.45,4031
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.5,4160
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.55,4275
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.6,4394
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.65,4519
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.7,4661
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.75,4825
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.8,4997
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.85,5213
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.9,5499
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.95,5882
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.975,6319
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,DK,quantile,0.99,6845
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,point,NA,793
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.01,443
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.025,494
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.05,545
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.1,594
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.15,633
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.2,660
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.25,686
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.3,707
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.35,729
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.4,750
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.45,772
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.5,793
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.55,814
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.6,833
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.65,858
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.7,884
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.75,909
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.8,941
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.85,978
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.9,1023
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.95,1089
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.975,1154
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,EE,quantile,0.99,1230
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,point,NA,276906
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.01,100903
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.025,124292
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,ES,quantile,0.05,148255
