location_name,location,target_variable,date,value,source
Austria,AT,ICUadmissions,2022-05-21,51,ECDC
Austria,AT,inc death,2022-05-14,42,ECDC
Austria,AT,hospitaladmissions,2022-05-14,269,ECDC
Austria,AT,ICUadmissions,2022-05-14,50,ECDC
Austria,AT,inc death,2022-05-07,80,ECDC
Austria,AT,hospitaladmissions,2022-05-07,335,ECDC
Austria,AT,ICUadmissions,2022-05-07,74,ECDC
Austria,AT,inc death,2022-04-30,91,ECDC
Austria,AT,hospitaladmissions,2022-04-30,361,ECDC
Austria,AT,ICUadmissions,2022-04-30,82,ECDC
Austria,AT,inc death,2022-04-23,129,ECDC
Austria,AT,hospitaladmissions,2022-04-23,353,ECDC
Austria,AT,ICUadmissions,2022-04-23,106,ECDC
Austria,AT,inc death,2022-04-16,162,ECDC
Austria,AT,hospitaladmissions,2022-04-16,495,ECDC
Austria,AT,ICUadmissions,2022-04-16,129,ECDC
Austria,AT,inc death,2022-04-09,216,ECDC
Austria,AT,hospitaladmissions,2022-04-09,627,ECDC
Austria,AT,ICUadmissions,2022-04-09,141,ECDC
Austria,AT,inc death,2022-04-02,285,ECDC
Austria,AT,hospitaladmissions,2022-04-02,843,ECDC
Austria,AT,ICUadmissions,2022-04-02,155,ECDC
Austria,AT,inc death,2022-03-26,290,ECDC
Austria,AT,hospitaladmissions,2022-03-26,1069,ECDC
Austria,AT,ICUadmissions,2022-03-26,189,ECDC
Austria,AT,inc death,2022-03-19,239,ECDC
Austria,AT,hospitaladmissions,2022-03-19,967,ECDC
Austria,AT,ICUadmissions,2022-03-19,140,ECDC
Austria,AT,inc death,2022-03-12,195,ECDC
Austria,AT,hospitaladmissions,2022-03-12,900,ECDC
Austria,AT,ICUadmissions,2022-03-12,143,ECDC
Austria,AT,inc death,2022-03-05,221,ECDC
Austria,AT,hospitaladmissions,2022-03-05,800,ECDC
Austria,AT,ICUadmissions,2022-03-05,123,ECDC
Austria,AT,inc death,2022-02-26,219,ECDC
Austria,AT,hospitaladmissions,2022-02-26,753,ECDC
Austria,AT,ICUadmissions,2022-02-26,99,ECDC
Austria,AT,inc death,2022-02-19,197,ECDC
Austria,AT,hospitaladmissions,2022-02-19,819,ECDC
Austria,AT,ICUadmissions,2022-02-19,97,ECDC
Austria,AT,inc death,2022-02-12,181,ECDC
Austria,AT,hospitaladmissions,2022-02-12,807,ECDC
Austria,AT,ICUadmissions,2022-02-12,135,ECDC
Austria,AT,inc death,2022-02-05,141,ECDC
Austria,AT,hospitaladmissions,2022-02-05,851,ECDC
Austria,AT,ICUadmissions,2022-02-05,135,ECDC
Austria,AT,inc death,2022-01-29,109,ECDC
Austria,AT,hospitaladmissions,2022-01-29,719,ECDC
Austria,AT,ICUadmissions,2022-01-29,136,ECDC
Austria,AT,inc death,2022-01-22,80,ECDC
Austria,AT,hospitaladmissions,2022-01-22,548,ECDC
Austria,AT,ICUadmissions,2022-01-22,95,ECDC
Austria,AT,inc death,2022-01-15,69,ECDC
Austria,AT,hospitaladmissions,2022-01-15,421,ECDC
Austria,AT,ICUadmissions,2022-01-15,117,ECDC
Austria,AT,inc death,2022-01-08,91,ECDC
Austria,AT,hospitaladmissions,2022-01-08,288,ECDC
Austria,AT,ICUadmissions,2022-01-08,72,ECDC
Austria,AT,inc death,2022-01-01,128,ECDC
Austria,AT,hospitaladmissions,2022-01-01,233,ECDC
Austria,AT,ICUadmissions,2022-01-01,70,ECDC
Austria,AT,inc death,2021-12-25,172,ECDC
Austria,AT,hospitaladmissions,2021-12-25,231,ECDC
Austria,AT,ICUadmissions,2021-12-25,60,ECDC
Austria,AT,inc death,2021-12-18,281,ECDC
Austria,AT,hospitaladmissions,2021-12-18,359,ECDC
Austria,AT,ICUadmissions,2021-12-18,92,ECDC
Austria,AT,inc death,2021-12-11,406,ECDC
Austria,AT,hospitaladmissions,2021-12-11,481,ECDC
Austria,AT,ICUadmissions,2021-12-11,107,ECDC
Austria,AT,inc death,2021-12-04,480,ECDC
Austria,AT,hospitaladmissions,2021-12-04,818,ECDC
Austria,AT,ICUadmissions,2021-12-04,171,ECDC
Austria,AT,inc death,2021-11-27,481,ECDC
Austria,AT,hospitaladmissions,2021-11-27,1096,ECDC
Austria,AT,ICUadmissions,2021-11-27,226,ECDC
Austria,AT,inc death,2021-11-20,395,ECDC
Austria,AT,hospitaladmissions,2021-11-20,1158,ECDC
Austria,AT,ICUadmissions,2021-11-20,241,ECDC
Austria,AT,inc death,2021-11-13,334,ECDC
Austria,AT,hospitaladmissions,2021-11-13,1020,ECDC
Austria,AT,ICUadmissions,2021-11-13,216,ECDC
Austria,AT,inc death,2021-11-06,208,ECDC
Austria,AT,hospitaladmissions,2021-11-06,824,ECDC
Austria,AT,ICUadmissions,2021-11-06,183,ECDC
Austria,AT,inc death,2021-10-30,141,ECDC
Austria,AT,hospitaladmissions,2021-10-30,623,ECDC
Austria,AT,ICUadmissions,2021-10-30,132,ECDC
Austria,AT,inc death,2021-10-23,112,ECDC
Austria,AT,hospitaladmissions,2021-10-23,550,ECDC
Austria,AT,ICUadmissions,2021-10-23,141,ECDC
Austria,AT,inc death,2021-10-16,106,ECDC
Austria,AT,hospitaladmissions,2021-10-16,354,ECDC
Austria,AT,ICUadmissions,2021-10-16,107,ECDC
Austria,AT,inc death,2021-10-09,73,ECDC
Austria,AT,hospitaladmissions,2021-10-09,383,ECDC
Austria,AT,ICUadmissions,2021-10-09,83,ECDC
Austria,AT,inc death,2021-10-02,80,ECDC
Austria,AT,hospitaladmissions,2021-10-02,366,ECDC
Austria,AT,ICUadmissions,2021-10-02,92,ECDC
Austria,AT,inc death,2021-09-25,73,ECDC
Austria,AT,hospitaladmissions,2021-09-25,332,ECDC
Austria,AT,ICUadmissions,2021-09-25,104,ECDC
Austria,AT,inc death,2021-09-18,86,ECDC
