forecast_data,target,target_end_date,location,type,quantile,value
2021-04-26,1 wk ahead inc case,2021-05-01,DK,quantile,0.750,7569
2021-04-26,1 wk ahead inc case,2021-05-01,DK,quantile,0.975,21720
2021-04-26,2 wk ahead inc case,2021-05-08,DK,point,NA,12404
2021-04-26,2 wk ahead inc case,2021-05-08,DK,quantile,0.025,1030
2021-04-26,2 wk ahead inc case,2021-05-08,DK,quantile,0.250,6909
2021-04-26,2 wk ahead inc case,2021-05-08,DK,quantile,0.750,18359
2021-04-26,2 wk ahead inc case,2021-05-08,DK,quantile,0.975,96184
2021-04-26,1 wk ahead inc case,2021-05-01,EE,point,NA,2193
2021-04-26,1 wk ahead inc case,2021-05-01,EE,quantile,0.025,647
2021-04-26,1 wk ahead inc case,2021-05-01,EE,quantile,0.250,1689
2021-04-26,1 wk ahead inc case,2021-05-01,EE,quantile,0.750,2787
2021-04-26,1 wk ahead inc case,2021-05-01,EE,quantile,0.975,7997
2021-04-26,2 wk ahead inc case,2021-05-08,EE,point,NA,3881
2021-04-26,2 wk ahead inc case,2021-05-08,EE,quantile,0.025,322
2021-04-26,2 wk ahead inc case,2021-05-08,EE,quantile,0.250,2162
2021-04-26,2 wk ahead inc case,2021-05-08,EE,quantile,0.750,5744
2021-04-26,2 wk ahead inc case,2021-05-08,EE,quantile,0.975,30094
2021-04-26,1 wk ahead inc case,2021-05-01,ES,point,NA,23715
2021-04-26,1 wk ahead inc case,2021-05-01,ES,quantile,0.025,6996
2021-04-26,1 wk ahead inc case,2021-05-01,ES,quantile,0.250,18260
2021-04-26,1 wk ahead inc case,2021-05-01,ES,quantile,0.750,30141
2021-04-26,1 wk ahead inc case,2021-05-01,ES,quantile,0.975,86488
2021-04-26,2 wk ahead inc case,2021-05-08,ES,point,NA,39796
2021-04-26,2 wk ahead inc case,2021-05-08,ES,quantile,0.025,3303
2021-04-26,2 wk ahead inc case,2021-05-08,ES,quantile,0.250,22167
2021-04-26,2 wk ahead inc case,2021-05-08,ES,quantile,0.750,58899
2021-04-26,2 wk ahead inc case,2021-05-08,ES,quantile,0.975,308581
2021-04-26,1 wk ahead inc case,2021-05-01,FI,point,NA,1400
2021-04-26,1 wk ahead inc case,2021-05-01,FI,quantile,0.025,413
2021-04-26,1 wk ahead inc case,2021-05-01,FI,quantile,0.250,1078
2021-04-26,1 wk ahead inc case,2021-05-01,FI,quantile,0.750,1780
2021-04-26,1 wk ahead inc case,2021-05-01,FI,quantile,0.975,5107
2021-04-26,2 wk ahead inc case,2021-05-08,FI,point,NA,2525
2021-04-26,2 wk ahead inc case,2021-05-08,FI,quantile,0.025,210
2021-04-26,2 wk ahead inc case,2021-05-08,FI,quantile,0.250,1406
2021-04-26,2 wk ahead inc case,2021-05-08,FI,quantile,0.750,3737
2021-04-26,2 wk ahead inc case,2021-05-08,FI,quantile,0.975,19578
2021-04-26,1 wk ahead inc case,2021-05-01,FR,point,NA,182321
