forecast_data;target;target_end_date;location;type;quantile;value
26/4/2021;2 wk ahead inc case;8/5/2021;FI;point;NA;2333
26/4/2021;2 wk ahead inc case;8/5/2021;FI;quantile;0.025;194
26/4/2021;2 wk ahead inc case;8/5/2021;FI;quantile;0.250;1300
26/4/2021;2 wk ahead inc case;8/5/2021;FI;quantile;0.750;3453
26/4/2021;2 wk ahead inc case;8/5/2021;FI;quantile;0.975;18093
26/4/2021;1 wk ahead inc case;1/5/2021;FR;point;NA;180131
26/4/2021;1 wk ahead inc case;1/5/2021;FR;quantile;0.025;53139
26/4/2021;1 wk ahead inc case;1/5/2021;FR;quantile;0.250;138701
26/4/2021;1 wk ahead inc case;1/5/2021;FR;quantile;0.750;228946
26/4/2021;1 wk ahead inc case;1/5/2021;FR;quantile;0.975;656936
26/4/2021;2 wk ahead inc case;8/5/2021;FR;point;NA;331864
26/4/2021;2 wk ahead inc case;8/5/2021;FR;quantile;0.025;27545
26/4/2021;2 wk ahead inc case;8/5/2021;FR;quantile;0.250;184848
26/4/2021;2 wk ahead inc case;8/5/2021;FR;quantile;0.750;491159
26/4/2021;2 wk ahead inc case;8/5/2021;FR;quantile;0.975;2573275
26/4/2021;1 wk ahead inc case;1/5/2021;GB;point;NA;15599
26/4/2021;1 wk ahead inc case;1/5/2021;GB;quantile;0.025;4602
26/4/2021;1 wk ahead inc case;1/5/2021;GB;quantile;0.250;12011
26/4/2021;1 wk ahead inc case;1/5/2021;GB;quantile;0.750;19826
26/4/2021;1 wk ahead inc case;1/5/2021;GB;quantile;0.975;56888
26/4/2021;2 wk ahead inc case;8/5/2021;GB;point;NA;30210
26/4/2021;2 wk ahead inc case;8/5/2021;GB;quantile;0.025;2507
26/4/2021;2 wk ahead inc case;8/5/2021;GB;quantile;0.250;16827
26/4/2021;2 wk ahead inc case;8/5/2021;GB;quantile;0.750;44710
26/4/2021;2 wk ahead inc case;8/5/2021;GB;quantile;0.975;234247
26/4/2021;1 wk ahead inc case;1/5/2021;GR;point;NA;15639
26/4/2021;1 wk ahead inc case;1/5/2021;GR;quantile;0.025;4613
26/4/2021;1 wk ahead inc case;1/5/2021;GR;quantile;0.250;12042
26/4/2021;1 wk ahead inc case;1/5/2021;GR;quantile;0.750;19877
26/4/2021;1 wk ahead inc case;1/5/2021;GR;quantile;0.975;57035
26/4/2021;2 wk ahead inc case;8/5/2021;GR;point;NA;29049
26/4/2021;2 wk ahead inc case;8/5/2021;GR;quantile;0.025;2411
26/4/2021;2 wk ahead inc case;8/5/2021;GR;quantile;0.250;16181
26/4/2021;2 wk ahead inc case;8/5/2021;GR;quantile;0.750;42993
26/4/2021;2 wk ahead inc case;8/5/2021;GR;quantile;0.975;225250
26/4/2021;1 wk ahead inc case;1/5/2021;HR;point;NA;14628
26/4/2021;1 wk ahead inc case;1/5/2021;HR;quantile;0.025;4315
26/4/2021;1 wk ahead inc case;1/5/2021;HR;quantile;0.250;11264
26/4/2021;1 wk ahead inc case;1/5/2021;HR;quantile;0.750;18592
26/4/2021;1 wk ahead inc case;1/5/2021;HR;quantile;0.975;53348
26/4/2021;2 wk ahead inc case;8/5/2021;HR;point;NA;28362
26/4/2021;2 wk ahead inc case;8/5/2021;HR;quantile;0.025;2354
26/4/2021;2 wk ahead inc case;8/5/2021;HR;quantile;0.250;15797
26/4/2021;2 wk ahead inc case;8/5/2021;HR;quantile;0.750;41975
26/4/2021;2 wk ahead inc case;8/5/2021;HR;quantile;0.975;219915
26/4/2021;1 wk ahead inc case;1/5/2021;HU;point;NA;12274
26/4/2021;1 wk ahead inc case;1/5/2021;HU;quantile;0.025;3621
26/4/2021;1 wk ahead inc case;1/5/2021;HU;quantile;0.250;9451
26/4/2021;1 wk ahead inc case;1/5/2021;HU;quantile;0.750;15600
