forecast_date,target,target_end_date,location,quantile,value,type,scenario_id
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.5,340,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.5,225,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.55,1876,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.55,763,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.55,417,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.55,283,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.6,2006,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.6,909,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.6,531,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.6,373,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.65,2012,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.65,915,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.65,535,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.65,376,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.7,2012,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.7,915,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.7,535,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.7,376,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.75,2012,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.75,915,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.75,535,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.75,376,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.8,2012,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.8,915,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.8,535,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.8,376,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.85,2012,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.85,915,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.85,535,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.85,376,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.9,2012,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.9,915,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.9,535,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.9,376,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.95,2021,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.95,925,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.95,543,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.95,382,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.975,2032,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.975,937,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.975,552,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.975,389,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,0.99,2036,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,0.99,942,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,0.99,555,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,0.99,391,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,DE,NA,1821,point,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,DE,NA,709,point,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,DE,NA,380,point,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,DE,NA,256,point,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.01,3027,quantile,forecast
2021-06-28,2 wk ahead inc case,2021-07-10,IT,0.01,1129,quantile,forecast
2021-06-28,3 wk ahead inc case,2021-07-17,IT,0.01,591,quantile,forecast
2021-06-28,4 wk ahead inc case,2021-07-24,IT,0.01,392,quantile,forecast
2021-06-28,1 wk ahead inc case,2021-07-03,IT,0.025,3040,quantile,forecast
