model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.87,0.98,0.4,0.8,0.17,98,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.79,0.89,0.28,0.63,0.27,90,18,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.23,1.39,0.43,0.83,-0.02,787,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.4,0.85,0.08,756,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.01,1.04,0.38,0.83,0.09,756,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.25,1.28,0.28,0.65,0.12,745,32,NA
ILM-EKF,inc case,3,Overall,1.69,1.95,0.36,0.78,0.03,755,32,NA
Karlen-pypm,inc case,3,Overall,3.18,2.65,0.26,0.66,0.17,181,29,NA
LANL-GrowthRate,inc case,3,Overall,0.9,0.91,0.41,0.79,-0.15,725,32,NA
MUNI-ARIMA,inc case,3,Overall,0.83,0.84,0.56,0.9,-0.12,471,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.95,1.03,0.29,0.59,-0.34,756,32,NA
USC-SIkJalpha,inc case,3,Overall,1.49,2.12,0.25,0.35,-0.06,756,32,NA
UVA-Ensemble,inc case,3,Overall,1.35,NA,0.34,0.62,NA,696,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.1,1.23,0.25,0.68,0.24,229,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,1,1.18,0.34,0.76,0.21,94,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,1.09,1.25,0.18,0.52,0.22,87,18,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.32,1.43,0.39,0.79,-0.03,754,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.39,0.83,0.09,723,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.17,1.23,0.34,0.78,0.11,723,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.41,1.43,0.26,0.59,0.1,713,32,NA
ILM-EKF,inc case,4,Overall,2.69,3.26,0.34,0.75,0.02,721,32,NA
Karlen-pypm,inc case,4,Overall,3.72,2.91,0.22,0.59,0.2,152,29,NA
LANL-GrowthRate,inc case,4,Overall,0.9,0.93,0.34,0.75,-0.06,692,32,NA
MUNI-ARIMA,inc case,4,Overall,0.9,0.88,0.53,0.89,-0.16,439,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.88,0.97,0.31,0.58,-0.39,723,32,NA
USC-SIkJalpha,inc case,4,Overall,1,1.3,0.24,0.33,-0.08,723,32,NA
UVA-Ensemble,inc case,4,Overall,1.28,NA,0.24,0.48,NA,631,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,1.27,1.64,0.26,0.64,0.3,223,32,NA
epiforecasts-EpiExpert_Rt,inc case,4,Overall,1.12,1.4,0.27,0.66,0.18,91,19,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,1.41,1.86,0.21,0.46,0.26,82,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.41,1.49,0.36,0.74,-0.05,721,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.27,0.69,0.01,660,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.22,0.31,-0.1,691,32,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.54,0.97,0.1,827,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.6,0.55,0.7,0.97,0.08,827,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.93,0.82,0.55,0.88,0.05,812,32,NA
ILM-EKF,inc death,1,Overall,0.78,0.81,0.86,0.99,0.1,826,32,NA
Karlen-pypm,inc death,1,Overall,0.52,0.67,0.55,0.97,-0.11,239,29,NA
LANL-GrowthRate,inc death,1,Overall,0.75,0.66,0.38,0.85,-0.04,796,32,NA
MUNI-ARIMA,inc death,1,Overall,0.54,0.74,0.61,0.95,0.04,571,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.8,0.73,0.59,0.86,-0.07,827,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.76,NA,NA,NA,NA,731,32,NA
UMass-MechBayes,inc death,1,Overall,0.75,0.79,0.53,0.93,0.12,727,32,NA
USC-SIkJalpha,inc death,1,Overall,0.83,0.93,0.38,0.49,0.18,827,32,NA
USyd-OneModelMan,inc death,1,Overall,0.69,NA,NA,NA,NA,731,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,1.07,0.75,0.39,0.78,0.16,236,32,NA
epiforecasts-EpiExpert_Rt,inc death,1,Overall,0.98,1.04,0.41,0.83,0.17,101,19,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.02,0.89,0.55,0.93,0.13,800,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.66,0.95,0.1,794,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.49,0.45,0.67,0.97,0.13,794,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.92,0.8,0.48,0.86,0.08,780,32,NA
ILM-EKF,inc death,2,Overall,0.71,0.67,0.8,0.98,0.13,793,32,NA
Karlen-pypm,inc death,2,Overall,0.49,0.63,0.47,0.95,-0.05,210,29,NA
LANL-GrowthRate,inc death,2,Overall,0.62,0.53,0.38,0.8,-0.05,763,32,NA
MUNI-ARIMA,inc death,2,Overall,0.49,0.71,0.63,0.96,0.04,538,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.74,0.71,0.6,0.83,-0.09,794,32,NA
UMass-MechBayes,inc death,2,Overall,0.57,0.6,0.51,0.92,0.15,694,32,NA
USC-SIkJalpha,inc death,2,Overall,0.67,0.69,0.38,0.52,0.22,794,32,NA
USyd-OneModelMan,inc death,2,Overall,0.64,NA,NA,NA,NA,698,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,0.96,0.7,0.32,0.75,0.22,233,32,NA
epiforecasts-EpiExpert_Rt,inc death,2,Overall,0.7,0.84,0.36,0.67,0.25,98,19,NA
epiforecasts-EpiNow2,inc death,2,Overall,0.91,0.8,0.5,0.91,0.18,767,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.68,0.92,0.13,761,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.49,0.44,0.63,0.95,0.17,761,32,NA
IEM_Health-CovidProject,inc death,3,Overall,0.99,0.84,0.45,0.86,0.09,748,32,NA
ILM-EKF,inc death,3,Overall,0.78,0.68,0.71,0.97,0.15,759,32,NA
Karlen-pypm,inc death,3,Overall,0.61,0.73,0.38,0.86,0.01,181,29,NA
LANL-GrowthRate,inc death,3,Overall,0.57,0.49,0.36,0.76,-0.03,730,32,NA
MUNI-ARIMA,inc death,3,Overall,0.45,0.71,0.64,0.95,0,474,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.75,0.73,0.6,0.82,-0.13,761,32,NA
UMass-MechBayes,inc death,3,Overall,0.56,0.58,0.49,0.91,0.13,661,32,NA
USC-SIkJalpha,inc death,3,Overall,0.66,0.67,0.35,0.49,0.24,761,32,NA
USyd-OneModelMan,inc death,3,Overall,0.68,NA,NA,NA,NA,665,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,0.84,0.62,0.32,0.75,0.29,228,32,NA
epiforecasts-EpiExpert_Rt,inc death,3,Overall,0.63,0.75,0.18,0.63,0.37,94,19,NA
epiforecasts-EpiNow2,inc death,3,Overall,0.95,0.85,0.49,0.9,0.21,734,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.69,0.9,0.15,728,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.54,0.48,0.61,0.93,0.22,728,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.1,0.94,0.4,0.83,0.11,716,32,NA
ILM-EKF,inc death,4,Overall,0.97,0.84,0.63,0.96,0.16,726,32,NA
Karlen-pypm,inc death,4,Overall,0.86,0.95,0.3,0.82,0.09,152,29,NA
LANL-GrowthRate,inc death,4,Overall,0.54,0.45,0.35,0.75,-0,697,32,NA
MUNI-ARIMA,inc death,4,Overall,0.43,0.73,0.65,0.95,0,442,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.74,0.74,0.6,0.81,-0.13,728,32,NA
UMass-MechBayes,inc death,4,Overall,0.63,0.69,0.49,0.88,0.13,628,32,NA
USC-SIkJalpha,inc death,4,Overall,0.62,0.64,0.34,0.49,0.21,728,32,NA
USyd-OneModelMan,inc death,4,Overall,0.71,NA,NA,NA,NA,632,32,NA
epiforecasts-EpiExpert,inc death,4,Overall,0.84,0.64,0.29,0.73,0.33,222,32,NA
epiforecasts-EpiExpert_Rt,inc death,4,Overall,0.59,0.75,0.18,0.57,0.41,91,19,NA
epiforecasts-EpiNow2,inc death,4,Overall,1.05,0.95,0.49,0.9,0.19,701,32,NA
LANL-GrowthRate,inc death,5,Overall,NA,NA,0.32,0.73,0.07,665,32,NA
USC-SIkJalpha,inc death,5,Overall,NA,NA,0.34,0.5,0.19,696,32,NA
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.35,1,0.04,26,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.55,0.51,0.65,0.92,0.17,26,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.69,0.66,0.42,0.81,0.28,26,1,Austria
ILM-EKF,inc case,1,AT,0.71,0.78,0.62,0.92,0.12,26,1,Austria
Karlen-pypm,inc case,1,AT,0.73,0.85,0.5,1,0.26,8,1,Austria
LANL-GrowthRate,inc case,1,AT,0.53,0.51,0.44,0.92,-0.25,25,1,Austria
MUNI-ARIMA,inc case,1,AT,0.31,0.43,0.61,1,0.04,18,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.69,0.88,0.54,0.85,-0.26,26,1,Austria
SDSC_ISG-TrendModel,inc case,1,AT,0.43,NA,NA,NA,NA,23,1,Austria
USC-SIkJalpha,inc case,1,AT,0.65,0.81,0.31,0.54,0.27,26,1,Austria
UVA-Ensemble,inc case,1,AT,1.48,NA,0.44,1,NA,25,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,0.66,0.69,0.38,0.73,0.03,26,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.32,1,0.05,25,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.56,0.6,0.56,0.88,0.18,25,1,Austria
IEM_Health-CovidProject,inc case,2,AT,0.75,0.77,0.32,0.72,0.3,25,1,Austria
ILM-EKF,inc case,2,AT,0.7,0.78,0.6,0.88,0.14,25,1,Austria
Karlen-pypm,inc case,2,AT,0.96,1.18,0.43,0.71,0.23,7,1,Austria
LANL-GrowthRate,inc case,2,AT,0.53,0.58,0.54,0.83,-0.1,24,1,Austria
MUNI-ARIMA,inc case,2,AT,0.31,0.5,0.71,1,-0.06,17,1,Austria
RobertWalraven-ESG,inc case,2,AT,0.64,1.04,0.4,0.64,-0.45,25,1,Austria
USC-SIkJalpha,inc case,2,AT,0.65,0.85,0.2,0.44,0.27,25,1,Austria
UVA-Ensemble,inc case,2,AT,1.13,NA,0.33,0.92,NA,24,1,Austria
epiforecasts-EpiNow2,inc case,2,AT,0.89,1.1,0.32,0.76,0.07,25,1,Austria
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.42,1,0.11,24,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,0.68,0.72,0.38,0.83,0.2,24,1,Austria
IEM_Health-CovidProject,inc case,3,AT,0.89,0.91,0.17,0.67,0.26,24,1,Austria
ILM-EKF,inc case,3,AT,0.8,0.85,0.5,0.88,0.15,24,1,Austria
Karlen-pypm,inc case,3,AT,1.47,1.76,0.17,0.67,0.15,6,1,Austria
LANL-GrowthRate,inc case,3,AT,0.64,0.75,0.35,0.74,-0.02,23,1,Austria
MUNI-ARIMA,inc case,3,AT,0.32,0.6,0.8,1,-0.19,15,1,Austria
RobertWalraven-ESG,inc case,3,AT,0.64,1.21,0.38,0.58,-0.53,24,1,Austria
USC-SIkJalpha,inc case,3,AT,0.68,1.03,0.12,0.21,0.17,24,1,Austria
UVA-Ensemble,inc case,3,AT,0.88,NA,0.41,0.77,NA,22,1,Austria
epiforecasts-EpiNow2,inc case,3,AT,1.31,1.9,0.29,0.58,0.07,24,1,Austria
EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.39,1,0.15,23,1,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,0.86,0.97,0.22,0.74,0.23,23,1,Austria
IEM_Health-CovidProject,inc case,4,AT,1.1,1.11,0.17,0.52,0.24,23,1,Austria
ILM-EKF,inc case,4,AT,1,1.07,0.39,0.83,0.14,23,1,Austria
Karlen-pypm,inc case,4,AT,2.51,2.82,0,0.6,0.12,5,1,Austria
LANL-GrowthRate,inc case,4,AT,0.76,0.9,0.18,0.64,0.06,22,1,Austria
MUNI-ARIMA,inc case,4,AT,0.37,0.65,0.64,1,-0.24,14,1,Austria
RobertWalraven-ESG,inc case,4,AT,0.62,1.23,0.35,0.57,-0.58,23,1,Austria
USC-SIkJalpha,inc case,4,AT,0.8,1.25,0.22,0.26,0.21,23,1,Austria
UVA-Ensemble,inc case,4,AT,0.99,NA,0.2,0.6,NA,20,1,Austria
epiforecasts-EpiNow2,inc case,4,AT,1.75,2.78,0.35,0.65,0.07,23,1,Austria
LANL-GrowthRate,inc case,5,AT,NA,NA,0.14,0.48,0.12,21,1,Austria
USC-SIkJalpha,inc case,5,AT,NA,NA,0.09,0.14,0.2,22,1,Austria
EuroCOVIDhub-baseline,inc death,1,AT,1,1,0.58,1,0.15,26,1,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,0.7,0.58,0.73,1,0.14,26,1,Austria
IEM_Health-CovidProject,inc death,1,AT,0.97,0.87,0.46,0.92,0.13,26,1,Austria
ILM-EKF,inc death,1,AT,0.77,1.12,0.92,1,0.14,26,1,Austria
Karlen-pypm,inc death,1,AT,0.23,0.57,0.5,1,0.26,8,1,Austria
LANL-GrowthRate,inc death,1,AT,0.79,0.68,0.36,0.92,0.11,25,1,Austria
MUNI-ARIMA,inc death,1,AT,0.77,0.99,0.61,1,0.07,18,1,Austria
RobertWalraven-ESG,inc death,1,AT,0.73,0.64,0.54,1,0.07,26,1,Austria
SDSC_ISG-TrendModel,inc death,1,AT,0.8,NA,NA,NA,NA,23,1,Austria
UMass-MechBayes,inc death,1,AT,0.52,0.61,0.48,0.96,0.05,23,1,Austria
USC-SIkJalpha,inc death,1,AT,0.91,1.03,0.27,0.42,0.33,26,1,Austria
USyd-OneModelMan,inc death,1,AT,0.65,NA,NA,NA,NA,23,1,Austria
epiforecasts-EpiNow2,inc death,1,AT,0.8,0.65,0.54,1,0.23,26,1,Austria
EuroCOVIDhub-baseline,inc death,2,AT,1,1,0.68,1,0.16,25,1,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,0.53,0.46,0.68,1,0.26,25,1,Austria
IEM_Health-CovidProject,inc death,2,AT,0.93,0.79,0.36,0.88,0.16,25,1,Austria
ILM-EKF,inc death,2,AT,0.67,0.81,0.88,1,0.21,25,1,Austria
Karlen-pypm,inc death,2,AT,0.24,0.53,0.57,0.86,0.48,7,1,Austria
LANL-GrowthRate,inc death,2,AT,0.68,0.58,0.12,0.75,0.01,24,1,Austria
MUNI-ARIMA,inc death,2,AT,0.67,0.85,0.59,1,0.05,17,1,Austria
RobertWalraven-ESG,inc death,2,AT,0.74,0.58,0.6,0.96,0.06,25,1,Austria
UMass-MechBayes,inc death,2,AT,0.39,0.41,0.59,1,0.1,22,1,Austria
USC-SIkJalpha,inc death,2,AT,0.65,0.8,0.28,0.32,0.45,25,1,Austria
USyd-OneModelMan,inc death,2,AT,0.73,NA,NA,NA,NA,22,1,Austria
epiforecasts-EpiNow2,inc death,2,AT,0.76,0.64,0.4,0.96,0.35,25,1,Austria
EuroCOVIDhub-baseline,inc death,3,AT,1,1,0.71,1,0.18,24,1,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,0.45,0.44,0.58,1,0.37,24,1,Austria
IEM_Health-CovidProject,inc death,3,AT,1,0.79,0.42,0.83,0.16,24,1,Austria
ILM-EKF,inc death,3,AT,0.73,0.74,0.75,1,0.25,24,1,Austria
Karlen-pypm,inc death,3,AT,0.37,1.05,0.33,0.67,0.63,6,1,Austria
LANL-GrowthRate,inc death,3,AT,0.58,0.51,0.26,0.78,0.09,23,1,Austria
MUNI-ARIMA,inc death,3,AT,0.39,0.74,0.8,1,0.01,15,1,Austria
RobertWalraven-ESG,inc death,3,AT,0.61,0.48,0.62,0.96,-0.01,24,1,Austria
UMass-MechBayes,inc death,3,AT,0.39,0.4,0.48,0.9,0.15,21,1,Austria
USC-SIkJalpha,inc death,3,AT,0.74,0.88,0.12,0.25,0.8,24,1,Austria
USyd-OneModelMan,inc death,3,AT,0.9,NA,NA,NA,NA,21,1,Austria
epiforecasts-EpiNow2,inc death,3,AT,0.82,0.87,0.38,0.88,0.41,24,1,Austria
EuroCOVIDhub-baseline,inc death,4,AT,1,1,0.7,1,0.23,23,1,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,0.52,0.5,0.57,0.96,0.41,23,1,Austria
IEM_Health-CovidProject,inc death,4,AT,1.26,0.87,0.39,0.83,0.23,23,1,Austria
ILM-EKF,inc death,4,AT,0.88,0.77,0.52,1,0.29,23,1,Austria
Karlen-pypm,inc death,4,AT,0.74,1.83,0.4,0.8,0.57,5,1,Austria
LANL-GrowthRate,inc death,4,AT,0.63,0.51,0.41,0.73,0.18,22,1,Austria
MUNI-ARIMA,inc death,4,AT,0.39,0.77,0.79,1,0.01,14,1,Austria
RobertWalraven-ESG,inc death,4,AT,0.76,0.49,0.61,0.91,-0.03,23,1,Austria
UMass-MechBayes,inc death,4,AT,0.46,0.47,0.5,0.95,0.11,20,1,Austria
USC-SIkJalpha,inc death,4,AT,0.71,0.86,0.26,0.35,0.61,23,1,Austria
USyd-OneModelMan,inc death,4,AT,1.07,NA,NA,NA,NA,20,1,Austria
epiforecasts-EpiNow2,inc death,4,AT,1.26,1.21,0.52,0.91,0.33,23,1,Austria
LANL-GrowthRate,inc death,5,AT,NA,NA,0.19,0.67,0.21,21,1,Austria
USC-SIkJalpha,inc death,5,AT,NA,NA,0.23,0.36,0.52,22,1,Austria
EuroCOVIDhub-baseline,inc case,1,BE,1,1,0.46,1,-0.02,26,1,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,0.9,0.89,0.54,0.96,-0.03,26,1,Belgium
IEM_Health-CovidProject,inc case,1,BE,1.08,0.96,0.42,0.96,0.13,26,1,Belgium
ILM-EKF,inc case,1,BE,1.04,0.96,0.5,0.88,0.04,26,1,Belgium
Karlen-pypm,inc case,1,BE,0.78,1.15,0.88,1,0.02,8,1,Belgium
LANL-GrowthRate,inc case,1,BE,1.19,1.32,0.52,0.92,-0.43,25,1,Belgium
MUNI-ARIMA,inc case,1,BE,1.26,1.82,0.33,0.83,-0.08,18,1,Belgium
RobertWalraven-ESG,inc case,1,BE,1.18,1.16,0.31,0.85,-0.13,26,1,Belgium
SDSC_ISG-TrendModel,inc case,1,BE,1,NA,NA,NA,NA,23,1,Belgium
USC-SIkJalpha,inc case,1,BE,1.14,1.35,0.35,0.54,0.05,26,1,Belgium
UVA-Ensemble,inc case,1,BE,2.05,NA,0.24,0.6,NA,25,1,Belgium
epiforecasts-EpiNow2,inc case,1,BE,1.18,1.32,0.62,0.81,-0.05,26,1,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,1,1,0.44,1,0.04,25,1,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,0.91,0.93,0.6,0.92,0.03,25,1,Belgium
IEM_Health-CovidProject,inc case,2,BE,1.21,1.06,0.28,0.84,0.22,25,1,Belgium
ILM-EKF,inc case,2,BE,1.13,1.16,0.52,0.84,0.1,25,1,Belgium
Karlen-pypm,inc case,2,BE,1.34,2.08,0.43,1,0.05,7,1,Belgium
LANL-GrowthRate,inc case,2,BE,1.03,1.06,0.54,0.92,-0.36,24,1,Belgium
MUNI-ARIMA,inc case,2,BE,1.03,1.59,0.59,0.88,-0.05,17,1,Belgium
RobertWalraven-ESG,inc case,2,BE,0.98,1.09,0.24,0.8,-0.09,25,1,Belgium
USC-SIkJalpha,inc case,2,BE,1.11,1.72,0.32,0.44,0.07,25,1,Belgium
UVA-Ensemble,inc case,2,BE,1.23,NA,0.25,0.79,NA,24,1,Belgium
epiforecasts-EpiNow2,inc case,2,BE,1.12,1.35,0.6,0.76,-0.03,25,1,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,1,1,0.5,1,0.07,24,1,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,1.03,1.08,0.54,0.88,0.09,24,1,Belgium
IEM_Health-CovidProject,inc case,3,BE,1.38,1.25,0.29,0.79,0.23,24,1,Belgium
ILM-EKF,inc case,3,BE,1.38,1.47,0.46,0.83,0.11,24,1,Belgium
Karlen-pypm,inc case,3,BE,2.33,3.71,0.5,0.83,0.11,6,1,Belgium
LANL-GrowthRate,inc case,3,BE,1,1.04,0.48,0.78,-0.26,23,1,Belgium
MUNI-ARIMA,inc case,3,BE,1.07,1.53,0.53,0.93,-0.06,15,1,Belgium
RobertWalraven-ESG,inc case,3,BE,0.91,1.07,0.25,0.79,-0.1,24,1,Belgium
USC-SIkJalpha,inc case,3,BE,1.41,2.57,0.33,0.33,0.03,24,1,Belgium
UVA-Ensemble,inc case,3,BE,0.96,NA,0.36,0.68,NA,22,1,Belgium
epiforecasts-EpiNow2,inc case,3,BE,1.19,1.49,0.54,0.79,0.03,24,1,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,1,1,0.43,1,0.06,23,1,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,1.14,1.21,0.48,0.87,0.15,23,1,Belgium
IEM_Health-CovidProject,inc case,4,BE,1.59,1.41,0.3,0.74,0.19,23,1,Belgium
ILM-EKF,inc case,4,BE,1.71,1.89,0.43,0.87,0.17,23,1,Belgium
Karlen-pypm,inc case,4,BE,4.37,7.43,0.6,0.6,0.22,5,1,Belgium
LANL-GrowthRate,inc case,4,BE,0.93,0.98,0.41,0.82,-0.14,22,1,Belgium
MUNI-ARIMA,inc case,4,BE,1.18,1.56,0.36,1,-0.06,14,1,Belgium
RobertWalraven-ESG,inc case,4,BE,0.7,1.03,0.35,0.83,-0.17,23,1,Belgium
USC-SIkJalpha,inc case,4,BE,0.85,1.21,0.3,0.35,-0.04,23,1,Belgium
UVA-Ensemble,inc case,4,BE,1.03,NA,0,0.45,NA,20,1,Belgium
epiforecasts-EpiNow2,inc case,4,BE,1.26,1.64,0.57,0.74,0.07,23,1,Belgium
LANL-GrowthRate,inc case,5,BE,NA,NA,0.33,0.76,-0.07,21,1,Belgium
USC-SIkJalpha,inc case,5,BE,NA,NA,0.27,0.36,-0.07,22,1,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.88,1,0.13,26,1,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,0.85,0.51,0.77,1,0.03,26,1,Belgium
IEM_Health-CovidProject,inc death,1,BE,1.16,0.64,0.58,0.88,0.04,26,1,Belgium
ILM-EKF,inc death,1,BE,0.89,0.88,1,1,0.11,26,1,Belgium
Karlen-pypm,inc death,1,BE,0.32,0.57,0.5,1,-0.14,8,1,Belgium
LANL-GrowthRate,inc death,1,BE,1.34,0.69,0.28,0.84,-0.13,25,1,Belgium
MUNI-ARIMA,inc death,1,BE,0.85,0.73,0.67,0.94,-0.15,18,1,Belgium
RobertWalraven-ESG,inc death,1,BE,0.97,0.57,0.81,1,-0.01,26,1,Belgium
SDSC_ISG-TrendModel,inc death,1,BE,1.11,NA,NA,NA,NA,23,1,Belgium
UMass-MechBayes,inc death,1,BE,0.79,0.45,0.61,1,-0.07,23,1,Belgium
USC-SIkJalpha,inc death,1,BE,1.11,0.68,0.31,0.5,0.11,26,1,Belgium
USyd-OneModelMan,inc death,1,BE,0.91,NA,NA,NA,NA,23,1,Belgium
epiforecasts-EpiNow2,inc death,1,BE,1.61,0.75,0.52,0.92,0.24,25,1,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,1,1,0.96,1,0.07,25,1,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,0.69,0.38,0.84,1,0.1,25,1,Belgium
IEM_Health-CovidProject,inc death,2,BE,1.02,0.6,0.44,0.88,0.12,25,1,Belgium
ILM-EKF,inc death,2,BE,0.77,0.59,0.92,1,0.18,25,1,Belgium
Karlen-pypm,inc death,2,BE,0.28,0.55,0.57,1,-0.09,7,1,Belgium
LANL-GrowthRate,inc death,2,BE,0.94,0.53,0.33,0.79,-0.22,24,1,Belgium
MUNI-ARIMA,inc death,2,BE,0.76,0.63,0.65,1,-0.06,17,1,Belgium
RobertWalraven-ESG,inc death,2,BE,0.91,0.43,0.8,1,-0.03,25,1,Belgium
UMass-MechBayes,inc death,2,BE,0.58,0.32,0.77,0.95,-0.11,22,1,Belgium
USC-SIkJalpha,inc death,2,BE,0.81,0.51,0.4,0.6,0.25,25,1,Belgium
