model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
epiforecasts-EpiExpert,inc death,1,Overall,1.03,0.76,0.41,0.77,0.17,222,32,NA
epiforecasts-EpiExpert_Rt,inc death,1,Overall,0.75,0.86,0.44,0.88,0.16,91,19,NA
epiforecasts-EpiNow2,inc death,1,Overall,0.99,0.9,0.56,0.93,0.17,674,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,0.66,NA,0.49,0.87,NA,340,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.64,0.94,0.17,666,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.46,0.44,0.7,0.97,0.19,666,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.92,0.8,0.51,0.88,0.12,657,32,NA
ILM-EKF,inc death,2,Overall,0.68,0.65,0.79,0.98,0.15,665,32,NA
Karlen-pypm,inc death,2,Overall,0.51,0.66,0.49,0.94,0.18,94,29,NA
LANL-GrowthRate,inc death,2,Overall,0.61,0.52,0.38,0.82,0.03,635,32,NA
MUNI-ARIMA,inc death,2,Overall,0.47,0.75,0.61,0.96,0.12,410,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.73,0.72,0.62,0.84,-0.06,666,32,NA
UMass-MechBayes,inc death,2,Overall,0.51,0.57,0.53,0.93,0.17,566,32,NA
USC-SIkJalpha,inc death,2,Overall,0.62,0.62,0.41,0.53,0.27,666,32,NA
USyd-OneModelMan,inc death,2,Overall,0.64,NA,NA,NA,NA,570,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,0.92,0.67,0.32,0.76,0.24,217,32,NA
epiforecasts-EpiExpert_Rt,inc death,2,Overall,0.54,0.67,0.39,0.75,0.26,87,19,NA
epiforecasts-EpiNow2,inc death,2,Overall,0.87,0.77,0.5,0.91,0.23,642,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.64,0.9,0.2,633,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.46,0.42,0.65,0.95,0.25,633,32,NA
IEM_Health-CovidProject,inc death,3,Overall,1.01,0.86,0.46,0.87,0.17,625,32,NA
ILM-EKF,inc death,3,Overall,0.74,0.63,0.7,0.97,0.17,631,32,NA
Karlen-pypm,inc death,3,Overall,0.67,0.76,0.35,0.83,0.28,65,29,NA
LANL-GrowthRate,inc death,3,Overall,0.56,0.46,0.37,0.79,0.06,602,32,NA
MUNI-ARIMA,inc death,3,Overall,0.42,0.78,0.63,0.95,0.11,346,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.74,0.73,0.61,0.82,-0.08,633,32,NA
UMass-MechBayes,inc death,3,Overall,0.49,0.53,0.51,0.92,0.16,533,32,NA
USC-SIkJalpha,inc death,3,Overall,0.62,0.6,0.36,0.5,0.29,633,32,NA
USyd-OneModelMan,inc death,3,Overall,0.68,NA,NA,NA,NA,537,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,0.79,0.58,0.33,0.77,0.3,211,32,NA
epiforecasts-EpiExpert_Rt,inc death,3,Overall,0.51,0.61,0.19,0.7,0.37,83,19,NA
epiforecasts-EpiNow2,inc death,3,Overall,0.89,0.79,0.49,0.9,0.24,609,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.65,0.88,0.23,600,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.52,0.46,0.62,0.92,0.3,600,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.12,0.97,0.4,0.83,0.22,593,32,NA
ILM-EKF,inc death,4,Overall,0.87,0.72,0.63,0.97,0.18,599,32,NA
Karlen-pypm,inc death,4,Overall,0.96,0.89,0.22,0.78,0.3,36,18,NA
LANL-GrowthRate,inc death,4,Overall,0.52,0.41,0.38,0.78,0.1,569,32,NA
MUNI-ARIMA,inc death,4,Overall,0.4,0.82,0.65,0.95,0.14,314,32,NA
RobertWalraven-ESG,inc death,4,Overall,0.74,0.72,0.6,0.81,-0.06,600,32,NA
UMass-MechBayes,inc death,4,Overall,0.52,0.58,0.49,0.89,0.16,500,32,NA
USC-SIkJalpha,inc death,4,Overall,0.57,0.55,0.36,0.51,0.25,600,32,NA
USyd-OneModelMan,inc death,4,Overall,0.73,NA,NA,NA,NA,504,32,NA
epiforecasts-EpiExpert,inc death,4,Overall,0.79,0.58,0.29,0.74,0.32,207,32,NA
epiforecasts-EpiExpert_Rt,inc death,4,Overall,0.47,0.58,0.2,0.63,0.4,79,19,NA
