model,target_variable,forecast_date,target_end_date,horizon,location,location_name,wis,sharpness,underprediction,overprediction,ae_median,bias,cov_50,cov_95,n_quantiles
ECDC-norrsken_green,inc case,2024-05-06,2024-05-25,3,DK,Denmark,5,4,1,0,7,-0.3,1,1,23
ECDC-soca_simplex,inc case,2024-05-06,2024-05-25,3,DK,Denmark,6,6,0,0,3,-0.1,1,1,23
EuroCOVIDhub-ensemble,inc case,2024-05-06,2024-05-25,3,DK,Denmark,8,4,3,0,13,-0.6,0,1,23
Lydia-SARIMA,inc case,2024-05-06,2024-05-25,3,DK,Denmark,4448,3912,0,536,6456,0.2,1,1,23
epiforecasts-EpiNow2,inc case,2024-05-06,2024-05-25,3,DK,Denmark,23,2,21,0,33,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-05-20,2024-05-25,1,DK,Denmark,22,3,19,0,33,-1,0,0,23
epiforecasts-tsensemble,inc case,2024-05-06,2024-05-25,3,DK,Denmark,11,3,7,0,19,-0.8,0,1,23
epiforecasts-tsensemble,inc case,2024-05-20,2024-05-25,1,DK,Denmark,11,3,7,0,19,-0.8,0,1,23
ECDC-norrsken_blue,inc case,2024-05-06,2024-06-01,4,DK,Denmark,31,31,0,0,2,0.1,1,1,23
ECDC-norrsken_green,inc case,2024-05-06,2024-06-01,4,DK,Denmark,6,5,0,0,4,-0.2,1,1,23
EuroCOVIDhub-ensemble,inc case,2024-05-06,2024-06-01,4,DK,Denmark,7,5,2,0,11,-0.5,1,1,23
epiforecasts-EpiNow2,inc case,2024-05-06,2024-06-01,4,DK,Denmark,27,2,24,0,37,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-05-20,2024-06-01,2,DK,Denmark,24,3,21,0,36,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-05-27,2024-06-01,1,DK,Denmark,20,3,16,0,34,-0.9,0,1,23
epiforecasts-tsensemble,inc case,2024-05-06,2024-06-01,4,DK,Denmark,10,4,7,0,19,-0.8,0,1,23
epiforecasts-tsensemble,inc case,2024-05-20,2024-06-01,2,DK,Denmark,11,4,7,0,20,-0.8,0,1,23
epiforecasts-tsensemble,inc case,2024-05-27,2024-06-01,1,DK,Denmark,11,4,8,0,21,-0.8,0,1,23
epiforecasts-EpiNow2,inc case,2024-05-20,2024-06-08,3,DK,Denmark,28,3,26,0,41,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-05-27,2024-06-08,2,DK,Denmark,23,4,19,0,39,-0.9,0,1,23
epiforecasts-EpiNow2,inc case,2024-06-03,2024-06-08,1,DK,Denmark,24,3,20,0,39,-0.9,0,1,23
epiforecasts-tsensemble,inc case,2024-05-20,2024-06-08,3,DK,Denmark,13,4,9,0,24,-0.8,0,1,23
epiforecasts-tsensemble,inc case,2024-05-27,2024-06-08,2,DK,Denmark,13,4,9,0,23,-0.8,0,1,23
epiforecasts-EpiNow2,inc case,2024-05-20,2024-06-15,4,DK,Denmark,81,3,78,0,94,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-05-27,2024-06-15,3,DK,Denmark,73,4,69,0,92,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-03,2024-06-15,2,DK,Denmark,74,3,70,0,92,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-10,2024-06-15,1,DK,Denmark,62,5,58,0,91,-1,0,0,23
epiforecasts-tsensemble,inc case,2024-05-20,2024-06-15,4,DK,Denmark,58,4,54,0,74,-1,0,0,23
epiforecasts-tsensemble,inc case,2024-05-27,2024-06-15,3,DK,Denmark,60,4,55,0,75,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-05-27,2024-06-22,4,DK,Denmark,138,4,135,0,158,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-03,2024-06-22,3,DK,Denmark,138,4,134,0,158,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-10,2024-06-22,2,DK,Denmark,128,5,123,0,158,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-17,2024-06-22,1,DK,Denmark,112,6,106,0,155,-1,0,0,23
epiforecasts-tsensemble,inc case,2024-05-27,2024-06-22,4,DK,Denmark,124,5,119,0,140,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-03,2024-06-29,4,DK,Denmark,217,4,214,0,239,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-10,2024-06-29,3,DK,Denmark,206,5,201,0,238,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-17,2024-06-29,2,DK,Denmark,189,6,183,0,236,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-24,2024-06-29,1,DK,Denmark,156,9,147,0,231,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-10,2024-07-06,4,DK,Denmark,251,5,246,0,287,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-17,2024-07-06,3,DK,Denmark,235,6,228,0,285,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-24,2024-07-06,2,DK,Denmark,191,10,181,0,280,-0.9,0,1,23
epiforecasts-EpiNow2,inc case,2024-07-01,2024-07-06,1,DK,Denmark,182,12,170,0,274,-0.9,0,1,23
epiforecasts-EpiNow2,inc case,2024-06-17,2024-07-13,4,DK,Denmark,384,6,378,0,439,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-24,2024-07-13,3,DK,Denmark,324,11,313,0,434,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-07-01,2024-07-13,2,DK,Denmark,308,13,295,0,428,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-07-08,2024-07-13,1,DK,Denmark,117,31,86,0,216,-0.8,0,1,23
epiforecasts-tsensemble,inc case,2024-07-08,2024-07-13,1,DK,Denmark,139,22,117,0,211,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-06-24,2024-07-20,4,DK,Denmark,356,12,344,0,480,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-07-01,2024-07-20,3,DK,Denmark,336,15,322,0,474,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-07-08,2024-07-20,2,DK,Denmark,105,43,62,0,213,-0.6,0,1,23
epiforecasts-EpiNow2,inc case,2024-07-15,2024-07-20,1,DK,Denmark,105,47,58,0,212,-0.6,0,1,23
epiforecasts-tsensemble,inc case,2024-07-08,2024-07-20,2,DK,Denmark,156,26,130,0,246,-0.9,0,1,23
epiforecasts-tsensemble,inc case,2024-07-15,2024-07-20,1,DK,Denmark,147,27,120,0,235,-1,0,0,23
epiforecasts-EpiNow2,inc case,2024-07-01,2024-07-27,4,DK,Denmark,254,16,238,0,388,-0.9,0,1,23
epiforecasts-EpiNow2,inc case,2024-07-08,2024-07-27,3,DK,Denmark,68,63,5,0,65,-0.2,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-15,2024-07-27,2,DK,Denmark,70,65,4,0,63,-0.2,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-22,2024-07-27,1,DK,Denmark,81,74,7,0,83,-0.2,1,1,23
epiforecasts-tsensemble,inc case,2024-07-08,2024-07-27,3,DK,Denmark,69,33,37,0,129,-0.7,0,1,23
epiforecasts-tsensemble,inc case,2024-07-15,2024-07-27,2,DK,Denmark,68,33,35,0,126,-0.6,0,1,23
epiforecasts-tsensemble,inc case,2024-07-22,2024-07-27,1,DK,Denmark,77,32,45,0,145,-0.7,0,1,23
epiforecasts-EpiNow2,inc case,2024-07-08,2024-08-03,4,DK,Denmark,91,81,0,10,95,0.3,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-15,2024-08-03,3,DK,Denmark,97,88,0,9,95,0.3,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-22,2024-08-03,2,DK,Denmark,107,104,0,4,67,0.2,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-29,2024-08-03,1,DK,Denmark,87,85,2,0,43,-0.1,1,1,23
epiforecasts-tsensemble,inc case,2024-07-08,2024-08-03,4,DK,Denmark,41,40,1,0,26,-0.2,1,1,23
epiforecasts-tsensemble,inc case,2024-07-15,2024-08-03,3,DK,Denmark,41,39,3,0,35,-0.2,1,1,23
epiforecasts-tsensemble,inc case,2024-07-22,2024-08-03,2,DK,Denmark,39,38,1,0,22,-0.2,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-15,2024-08-10,4,DK,Denmark,154,122,0,33,198,0.4,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-22,2024-08-10,3,DK,Denmark,155,139,0,16,147,0.3,1,1,23
epiforecasts-EpiNow2,inc case,2024-07-29,2024-08-10,2,DK,Denmark,116,116,0,0,4,0.1,1,1,23
epiforecasts-tsensemble,inc case,2024-07-15,2024-08-10,4,DK,Denmark,48,47,1,0,13,-0.1,1,1,23
epiforecasts-tsensemble,inc case,2024-07-22,2024-08-10,3,DK,Denmark,44,44,0,0,7,-0.1,1,1,23
EuroCOVIDhub-baseline,inc death,2023-09-18,2023-09-23,1,DK,Denmark,5,5,0,0,2,-0.1,1,1,23
epiforecasts-EpiNow2,inc death,2023-09-18,2023-09-23,1,DK,Denmark,2,1,1,0,5,-0.6,0,1,23
epiforecasts-weeklygrowth,inc death,2023-09-18,2023-09-23,1,DK,Denmark,3,2,1,0,6,-0.5,1,1,23
EuroCOVIDhub-baseline,inc death,2023-09-18,2023-09-30,2,DK,Denmark,7,6,1,0,10,-0.2,1,1,23
EuroCOVIDhub-baseline,inc death,2023-09-25,2023-09-30,1,DK,Denmark,6,6,0,0,5,-0.2,1,1,23
SGroup-RandomForest,inc death,2023-09-25,2023-09-30,1,DK,Denmark,8,1,7,0,11,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-09-18,2023-09-30,2,DK,Denmark,8,1,7,0,13,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-09-25,2023-09-30,1,DK,Denmark,6,1,4,0,10,-0.8,0,1,23
epiforecasts-weeklygrowth,inc death,2023-09-18,2023-09-30,2,DK,Denmark,8,2,6,0,14,-0.8,0,1,23
epiforecasts-weeklygrowth,inc death,2023-09-25,2023-09-30,1,DK,Denmark,7,2,5,0,13,-0.7,0,1,23
EuroCOVIDhub-baseline,inc death,2023-09-18,2023-10-07,3,DK,Denmark,7,6,1,0,11,-0.2,1,1,23
EuroCOVIDhub-baseline,inc death,2023-09-25,2023-10-07,2,DK,Denmark,7,6,0,0,6,-0.2,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-02,2023-10-07,1,DK,Denmark,6,5,1,0,10,-0.3,1,1,23
SGroup-RandomForest,inc death,2023-09-25,2023-10-07,2,DK,Denmark,6,1,5,0,11,-0.8,0,1,23
SGroup-RandomForest,inc death,2023-10-02,2023-10-07,1,DK,Denmark,18,17,0,1,11,0.2,1,1,23
epiforecasts-EpiNow2,inc death,2023-09-18,2023-10-07,3,DK,Denmark,8,1,7,0,14,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-09-25,2023-10-07,2,DK,Denmark,6,1,5,0,11,-0.8,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-02,2023-10-07,1,DK,Denmark,6,2,4,0,11,-0.7,0,1,23
epiforecasts-weeklygrowth,inc death,2023-09-18,2023-10-07,3,DK,Denmark,9,2,7,0,16,-0.8,0,1,23
epiforecasts-weeklygrowth,inc death,2023-09-25,2023-10-07,2,DK,Denmark,8,2,6,0,15,-0.8,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-02,2023-10-07,1,DK,Denmark,6,3,3,0,11,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-09-18,2023-10-14,4,DK,Denmark,9,7,2,0,18,-0.3,1,1,23
EuroCOVIDhub-baseline,inc death,2023-09-25,2023-10-14,3,DK,Denmark,8,7,1,0,13,-0.3,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-02,2023-10-14,2,DK,Denmark,8,6,2,0,17,-0.4,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-09,2023-10-14,1,DK,Denmark,8,6,2,0,14,-0.3,1,1,23
SGroup-RandomForest,inc death,2023-09-25,2023-10-14,3,DK,Denmark,13,1,12,0,17,-1,0,0,23
SGroup-RandomForest,inc death,2023-10-02,2023-10-14,2,DK,Denmark,17,17,0,0,5,0.1,1,1,23
SGroup-RandomForest,inc death,2023-10-09,2023-10-14,1,DK,Denmark,16,1,15,0,20,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-09-18,2023-10-14,4,DK,Denmark,14,1,13,0,21,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-09-25,2023-10-14,3,DK,Denmark,11,2,9,0,18,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-02,2023-10-14,2,DK,Denmark,9,2,7,0,17,-0.8,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-09,2023-10-14,1,DK,Denmark,11,1,10,0,18,-0.9,0,1,23
epiforecasts-weeklygrowth,inc death,2023-09-25,2023-10-14,3,DK,Denmark,13,2,11,0,23,-0.9,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-02,2023-10-14,2,DK,Denmark,10,3,7,0,19,-0.7,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-09,2023-10-14,1,DK,Denmark,11,2,9,0,21,-0.8,0,1,23
EuroCOVIDhub-baseline,inc death,2023-09-25,2023-10-21,4,DK,Denmark,11,7,3,0,21,-0.4,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-02,2023-10-21,3,DK,Denmark,11,6,5,0,25,-0.5,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-09,2023-10-21,2,DK,Denmark,10,6,4,0,22,-0.4,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-16,2023-10-21,1,DK,Denmark,10,6,5,0,22,-0.5,1,1,23
Lydia-simpleARIMA,inc death,2023-10-16,2023-10-21,1,DK,Denmark,20,2,18,0,30,-1,0,0,23
SGroup-RandomForest,inc death,2023-09-25,2023-10-21,4,DK,Denmark,18,2,16,0,25,-1,0,0,23
SGroup-RandomForest,inc death,2023-10-02,2023-10-21,3,DK,Denmark,17,17,0,0,3,-0.1,1,1,23
SGroup-RandomForest,inc death,2023-10-09,2023-10-21,2,DK,Denmark,23,1,22,0,27,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-09-25,2023-10-21,4,DK,Denmark,16,2,15,0,26,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-02,2023-10-21,3,DK,Denmark,14,2,12,0,25,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-09,2023-10-21,2,DK,Denmark,18,1,16,0,26,-1,0,0,23
epiforecasts-weeklygrowth,inc death,2023-10-02,2023-10-21,3,DK,Denmark,15,3,12,0,27,-0.8,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-09,2023-10-21,2,DK,Denmark,17,2,15,0,29,-0.9,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-16,2023-10-21,1,DK,Denmark,18,2,16,0,30,-0.9,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-02,2023-10-28,4,DK,Denmark,17,7,11,0,40,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-09,2023-10-28,3,DK,Denmark,17,7,10,0,37,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-16,2023-10-28,2,DK,Denmark,17,6,11,0,37,-0.7,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-23,2023-10-28,1,DK,Denmark,19,5,13,0,37,-0.8,0,1,23
Lydia-simpleARIMA,inc death,2023-10-16,2023-10-28,2,DK,Denmark,28,3,26,0,43,-1,0,0,23
Lydia-simpleARIMA,inc death,2023-10-23,2023-10-28,1,DK,Denmark,33,2,31,0,47,-1,0,0,23
SGroup-RandomForest,inc death,2023-10-02,2023-10-28,4,DK,Denmark,19,17,2,0,18,-0.3,1,1,23
SGroup-RandomForest,inc death,2023-10-09,2023-10-28,3,DK,Denmark,36,1,35,0,43,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-10-02,2023-10-28,4,DK,Denmark,25,2,23,0,41,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-09,2023-10-28,3,DK,Denmark,31,2,29,0,41,-1,0,0,23
epiforecasts-tsensemble,inc death,2023-10-23,2023-10-28,1,DK,Denmark,33,1,32,0,38,-1,0,0,23
epiforecasts-weeklygrowth,inc death,2023-10-09,2023-10-28,3,DK,Denmark,28,2,26,0,45,-0.9,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-16,2023-10-28,2,DK,Denmark,30,2,28,0,45,-0.9,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-23,2023-10-28,1,DK,Denmark,20,4,16,0,37,-0.8,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-09,2023-11-04,4,DK,Denmark,12,7,5,0,27,-0.5,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-16,2023-11-04,3,DK,Denmark,12,7,6,0,27,-0.5,1,1,23
EuroCOVIDhub-baseline,inc death,2023-10-23,2023-11-04,2,DK,Denmark,13,6,7,0,27,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-30,2023-11-04,1,DK,Denmark,13,5,8,0,29,-0.6,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-10-30,2023-11-04,1,DK,Denmark,21,2,19,0,33,-1,0,0,23
Lydia-SARIMA,inc death,2023-10-30,2023-11-04,1,DK,Denmark,22,2,20,0,35,-1,0,0,23
Lydia-simpleARIMA,inc death,2023-10-16,2023-11-04,3,DK,Denmark,17,3,13,0,31,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-10-23,2023-11-04,2,DK,Denmark,17,3,14,0,34,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-10-30,2023-11-04,1,DK,Denmark,22,2,20,0,35,-1,0,0,23
SGroup-RandomForest,inc death,2023-10-09,2023-11-04,4,DK,Denmark,22,1,21,0,30,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-09,2023-11-04,4,DK,Denmark,20,2,18,0,31,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-30,2023-11-04,1,DK,Denmark,22,1,21,0,30,-1,0,0,23
epiforecasts-tsensemble,inc death,2023-10-23,2023-11-04,2,DK,Denmark,23,1,21,0,28,-1,0,0,23
epiforecasts-weeklygrowth,inc death,2023-10-23,2023-11-04,2,DK,Denmark,15,4,10,0,28,-0.7,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-30,2023-11-04,1,DK,Denmark,20,2,18,0,33,-0.9,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-16,2023-11-11,4,DK,Denmark,18,7,11,0,41,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-23,2023-11-11,3,DK,Denmark,19,6,13,0,41,-0.7,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-30,2023-11-11,2,DK,Denmark,20,6,14,0,43,-0.7,0,1,23
EuroCOVIDhub-baseline,inc death,2023-11-06,2023-11-11,1,DK,Denmark,21,5,16,0,43,-0.8,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-10-30,2023-11-11,2,DK,Denmark,28,3,25,0,46,-0.9,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-11-06,2023-11-11,1,DK,Denmark,35,2,33,0,47,-1,0,0,23
Lydia-SARIMA,inc death,2023-10-30,2023-11-11,2,DK,Denmark,28,3,25,0,48,-0.9,0,1,23
Lydia-SARIMA,inc death,2023-11-06,2023-11-11,1,DK,Denmark,36,2,33,0,49,-1,0,0,23
Lydia-simpleARIMA,inc death,2023-10-16,2023-11-11,4,DK,Denmark,26,4,22,0,43,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-10-23,2023-11-11,3,DK,Denmark,22,5,17,0,44,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-10-30,2023-11-11,2,DK,Denmark,28,3,25,0,48,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-11-06,2023-11-11,1,DK,Denmark,35,2,33,0,49,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-10-30,2023-11-11,2,DK,Denmark,36,2,34,0,44,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-11-06,2023-11-11,1,DK,Denmark,37,1,35,0,44,-1,0,0,23
epiforecasts-tsensemble,inc death,2023-10-23,2023-11-11,3,DK,Denmark,37,2,35,0,42,-1,0,0,23
epiforecasts-weeklygrowth,inc death,2023-10-23,2023-11-11,3,DK,Denmark,24,5,19,0,43,-0.8,0,1,23
epiforecasts-weeklygrowth,inc death,2023-10-30,2023-11-11,2,DK,Denmark,31,2,29,0,47,-0.9,0,1,23
epiforecasts-weeklygrowth,inc death,2023-11-06,2023-11-11,1,DK,Denmark,30,2,28,0,47,-0.9,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-23,2023-11-18,4,DK,Denmark,16,7,9,0,35,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-30,2023-11-18,3,DK,Denmark,17,6,10,0,37,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-11-06,2023-11-18,2,DK,Denmark,17,6,11,0,37,-0.7,0,1,23
EuroCOVIDhub-baseline,inc death,2023-11-13,2023-11-18,1,DK,Denmark,14,6,8,0,28,-0.6,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-10-30,2023-11-18,3,DK,Denmark,19,5,15,0,39,-0.8,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-11-06,2023-11-18,2,DK,Denmark,23,3,20,0,41,-0.9,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-11-13,2023-11-18,1,DK,Denmark,17,3,13,0,27,-0.9,0,1,23
Lydia-SARIMA,inc death,2023-10-30,2023-11-18,3,DK,Denmark,19,5,15,0,39,-0.8,0,1,23
Lydia-SARIMA,inc death,2023-11-06,2023-11-18,2,DK,Denmark,24,3,20,0,42,-0.9,0,1,23
Lydia-SARIMA,inc death,2023-11-13,2023-11-18,1,DK,Denmark,16,3,13,0,27,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-10-23,2023-11-18,4,DK,Denmark,15,6,9,0,33,-0.6,0,1,23
Lydia-simpleARIMA,inc death,2023-10-30,2023-11-18,3,DK,Denmark,19,5,15,0,40,-0.8,0,1,23
Lydia-simpleARIMA,inc death,2023-11-06,2023-11-18,2,DK,Denmark,23,3,20,0,42,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-11-13,2023-11-18,1,DK,Denmark,16,3,13,0,27,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-30,2023-11-18,3,DK,Denmark,29,2,27,0,38,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-11-06,2023-11-18,2,DK,Denmark,30,1,29,0,39,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-11-13,2023-11-18,1,DK,Denmark,19,2,17,0,30,-0.9,0,1,23
epiforecasts-tsensemble,inc death,2023-10-23,2023-11-18,4,DK,Denmark,31,2,29,0,36,-1,0,0,23
epiforecasts-weeklygrowth,inc death,2023-10-30,2023-11-18,3,DK,Denmark,26,2,24,0,42,-0.9,0,1,23
epiforecasts-weeklygrowth,inc death,2023-11-06,2023-11-18,2,DK,Denmark,26,2,24,0,42,-0.9,0,1,23
EuroCOVIDhub-baseline,inc death,2023-10-30,2023-11-25,4,DK,Denmark,18,7,11,0,41,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-11-06,2023-11-25,3,DK,Denmark,19,6,12,0,41,-0.7,0,1,23
EuroCOVIDhub-baseline,inc death,2023-11-13,2023-11-25,2,DK,Denmark,15,7,8,0,32,-0.6,0,1,23
EuroCOVIDhub-baseline,inc death,2023-11-20,2023-11-25,1,DK,Denmark,13,7,6,0,25,-0.6,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-10-30,2023-11-25,4,DK,Denmark,19,6,13,0,41,-0.7,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-11-06,2023-11-25,3,DK,Denmark,22,4,18,0,43,-0.9,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-11-13,2023-11-25,2,DK,Denmark,16,5,11,0,31,-0.8,0,1,23
Lydia-SARIMA,inc death,2023-10-30,2023-11-25,4,DK,Denmark,18,6,12,0,39,-0.7,0,1,23
Lydia-SARIMA,inc death,2023-11-06,2023-11-25,3,DK,Denmark,22,5,17,0,43,-0.9,0,1,23
Lydia-SARIMA,inc death,2023-11-13,2023-11-25,2,DK,Denmark,16,5,11,0,30,-0.8,0,1,23
Lydia-SARIMA,inc death,2023-11-20,2023-11-25,1,DK,Denmark,12,5,7,0,24,-0.7,0,1,23
Lydia-simpleARIMA,inc death,2023-10-30,2023-11-25,4,DK,Denmark,19,6,13,0,40,-0.7,0,1,23
Lydia-simpleARIMA,inc death,2023-11-06,2023-11-25,3,DK,Denmark,22,4,18,0,44,-0.9,0,1,23
Lydia-simpleARIMA,inc death,2023-11-13,2023-11-25,2,DK,Denmark,16,5,11,0,29,-0.8,0,1,23
Lydia-simpleARIMA,inc death,2023-11-20,2023-11-25,1,DK,Denmark,13,5,8,0,24,-0.7,0,1,23
epiforecasts-EpiNow2,inc death,2023-10-30,2023-11-25,4,DK,Denmark,32,2,30,0,43,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-11-06,2023-11-25,3,DK,Denmark,34,1,32,0,43,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-11-13,2023-11-25,2,DK,Denmark,21,3,19,0,34,-0.9,0,1,23
epiforecasts-EpiNow2,inc death,2023-11-20,2023-11-25,1,DK,Denmark,16,4,12,0,30,-0.8,0,1,23
EuroCOVIDhub-baseline,inc death,2023-11-06,2023-12-02,4,DK,Denmark,13,7,6,0,30,-0.5,1,1,23
EuroCOVIDhub-baseline,inc death,2023-11-13,2023-12-02,3,DK,Denmark,11,8,4,0,21,-0.4,1,1,23
EuroCOVIDhub-baseline,inc death,2023-11-20,2023-12-02,2,DK,Denmark,9,8,2,0,14,-0.3,1,1,23
EuroCOVIDhub-baseline,inc death,2023-11-27,2023-12-02,1,DK,Denmark,19,3,16,0,34,-0.9,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-11-06,2023-12-02,4,DK,Denmark,13,6,7,0,29,-0.6,0,1,23
EuroCOVIDhub-ensemble,inc death,2023-11-13,2023-12-02,3,DK,Denmark,9,6,3,0,18,-0.4,1,1,23
Lydia-SARIMA,inc death,2023-11-06,2023-12-02,4,DK,Denmark,13,6,7,0,28,-0.6,0,1,23
Lydia-SARIMA,inc death,2023-11-13,2023-12-02,3,DK,Denmark,9,6,3,0,16,-0.4,1,1,23
Lydia-SARIMA,inc death,2023-11-20,2023-12-02,2,DK,Denmark,8,7,1,0,11,-0.3,1,1,23
Lydia-SARIMA,inc death,2023-11-27,2023-12-02,1,DK,Denmark,6,5,1,0,6,-0.2,1,1,23
Lydia-simpleARIMA,inc death,2023-11-06,2023-12-02,4,DK,Denmark,13,6,7,0,28,-0.6,0,1,23
Lydia-simpleARIMA,inc death,2023-11-13,2023-12-02,3,DK,Denmark,9,6,3,0,16,-0.4,1,1,23
Lydia-simpleARIMA,inc death,2023-11-20,2023-12-02,2,DK,Denmark,8,6,1,0,11,-0.3,1,1,23
Lydia-simpleARIMA,inc death,2023-11-27,2023-12-02,1,DK,Denmark,6,5,1,0,6,-0.2,1,1,23
epiforecasts-EpiNow2,inc death,2023-11-06,2023-12-02,4,DK,Denmark,22,2,20,0,32,-1,0,0,23
epiforecasts-EpiNow2,inc death,2023-11-13,2023-12-02,3,DK,Denmark,12,3,10,0,22,-0.8,0,1,23
epiforecasts-EpiNow2,inc death,2023-11-20,2023-12-02,2,DK,Denmark,10,4,5,0,19,-0.6,0,1,23
