model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
RobertWalraven-ESG,inc death,3,HU,174,16,56,102,0.57,194,0.54,0.61,0.61,0.1,1,23,Hungary
USC-SIkJalpha,inc death,3,HU,131,61,1,69,0.38,161,0.42,0.35,0.48,0.51,1,23,Hungary
epiforecasts-EpiNow2,inc death,3,HU,151,46,14,91,0.29,233,0.4,0.57,0.9,0.18,1,21,Hungary
EuroCOVIDhub-baseline,inc death,4,HU,328,31,74,223,1,407,1,0.41,0.55,0.35,1,22,Hungary
EuroCOVIDhub-ensemble,inc death,4,HU,124,58,0,67,0.3,203,0.38,0.5,0.82,0.47,1,22,Hungary
EuroCOVIDhub-mean,inc death,4,HU,125,58,0,67,0.3,203,0.38,0.5,0.82,0.49,1,22,Hungary
EuroCOVIDhub-median,inc death,4,HU,109,53,6,50,0.25,188,0.34,0.55,0.91,0.29,1,22,Hungary
IEM_Health-CovidProject,inc death,4,HU,337,63,7,268,0.84,486,0.96,0.27,0.59,0.5,1,22,Hungary
ILM-EKF,inc death,4,HU,246,93,1,153,0.35,405,0.46,0.59,1,0.25,1,22,Hungary
LANL-GrowthRate,inc death,4,HU,73,27,38,8,0.15,119,0.17,0.33,0.76,0.15,1,21,Hungary
RobertWalraven-ESG,inc death,4,HU,234,18,69,147,0.56,258,0.47,0.59,0.64,0.1,1,22,Hungary
UMass-MechBayes,inc death,1,HU,32,18,3,10,0.39,46,0.49,0.5,0.91,-0.01,1,22,Hungary
USC-SIkJalpha,inc death,4,HU,162,83,0,79,0.4,205,0.38,0.27,0.36,0.42,1,22,Hungary
epiforecasts-EpiNow2,inc death,4,HU,216,84,8,124,0.28,345,0.34,0.5,1,0.13,1,20,Hungary
EuroCOVIDhub-relative_skill_weighted_mean,inc death,1,HU,24,13,1,9,0.36,39,0.48,0.67,1,0.21,1,21,Hungary
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,1,HU,24,14,2,9,0.37,40,0.48,0.67,1,0.18,1,21,Hungary
EuroCOVIDhub-relative_skill_weighted_median,inc death,1,HU,23,14,2,6,0.34,38,0.46,0.71,0.95,0.13,1,21,Hungary
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,1,HU,24,14,3,7,0.35,40,0.47,0.71,1,0.12,1,21,Hungary
LANL-GrowthRate,inc death,5,HU,88,35,37,16,NA,149,NA,0.3,0.7,0.24,1,20,Hungary
UMass-MechBayes,inc death,2,HU,43,20,1,21,0.28,58,0.35,0.24,0.86,0.03,1,21,Hungary
USC-SIkJalpha,inc death,5,HU,215,111,0,104,NA,275,NA,0.19,0.43,0.51,1,21,Hungary
EuroCOVIDhub-relative_skill_weighted_mean,inc death,2,HU,29,16,0,13,0.25,44,0.34,0.65,1,0.32,1,20,Hungary
EuroCOVIDhub-relative_skill_weighted_median,inc death,2,HU,28,17,1,10,0.25,41,0.32,0.65,0.95,0.18,1,20,Hungary
LANL-GrowthRate,inc death,6,HU,124,42,39,43,NA,218,NA,0.16,0.68,0.37,1,19,Hungary
UMass-MechBayes,inc death,3,HU,56,23,1,32,0.27,83,0.36,0.2,0.65,0.08,1,20,Hungary
EuroCOVIDhub-relative_skill_weighted_mean,inc death,3,HU,56,19,0,37,0.32,84,0.44,0.53,0.79,0.44,1,19,Hungary
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,2,HU,25,12,0,13,0.26,38,0.33,0.63,1,0.32,1,19,Hungary
EuroCOVIDhub-relative_skill_weighted_median,inc death,3,HU,46,18,3,25,0.26,81,0.4,0.58,0.89,0.26,1,19,Hungary
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,2,HU,24,13,1,10,0.24,31,0.28,0.58,0.89,0.2,1,19,Hungary
UMass-MechBayes,inc death,4,HU,86,28,1,57,0.32,130,0.39,0.11,0.63,0.14,1,19,Hungary
EuroCOVIDhub-relative_skill_weighted_mean,inc death,4,HU,81,23,0,58,0.42,125,0.51,0.44,0.67,0.52,1,18,Hungary
EuroCOVIDhub-relative_skill_weighted_median,inc death,4,HU,53,20,0,33,0.29,83,0.36,0.5,0.67,0.32,1,18,Hungary
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,3,HU,41,9,0,31,0.34,62,0.47,0.53,0.76,0.4,1,17,Hungary
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,3,HU,29,8,0,20,0.25,44,0.34,0.59,0.88,0.31,1,17,Hungary
MUNI-ARIMA,inc death,1,HU,25,7,2,16,0.72,37,0.84,0.65,0.88,-0.01,1,17,Hungary
MUNI-ARIMA,inc death,2,HU,37,12,2,23,0.69,58,0.88,0.62,0.88,0.02,1,16,Hungary
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,4,HU,36,8,0,28,0.36,49,0.42,0.53,0.67,0.39,1,15,Hungary
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,4,HU,23,6,0,17,0.24,32,0.27,0.33,0.8,0.25,1,15,Hungary
MUNI-ARIMA,inc death,3,HU,23,13,1,9,0.47,37,0.77,0.71,0.93,-0.05,1,14,Hungary
MUNI-ARIMA,inc death,4,HU,28,16,2,10,0.54,43,0.79,0.62,0.92,-0.07,1,13,Hungary
Karlen-pypm,inc death,1,HU,2,1,1,0,0.39,2,0.43,0.67,1,-0.37,1,6,Hungary
Karlen-pypm,inc death,2,HU,2,1,1,0,0.31,3,0.43,0.6,0.8,-0.2,1,5,Hungary
Karlen-pypm,inc death,3,HU,3,1,0,1,0.37,5,0.69,0.25,1,0.15,1,4,Hungary
EuroCOVIDhub-baseline,inc case,1,IE,523,174,314,35,1,702,1,0.55,1,-0.28,1,20,Ireland
EuroCOVIDhub-ensemble,inc case,1,IE,389,213,107,68,0.72,567,0.79,0.65,1,-0.08,1,20,Ireland
EuroCOVIDhub-mean,inc case,1,IE,420,237,109,73,0.8,610,0.86,0.65,1,-0.08,1,20,Ireland
EuroCOVIDhub-median,inc case,1,IE,389,202,117,70,0.72,606,0.82,0.6,1,-0.12,1,20,Ireland
IEM_Health-CovidProject,inc case,1,IE,460,183,118,159,0.88,765,1.09,0.35,0.95,-0.04,1,20,Ireland
ILM-EKF,inc case,1,IE,664,347,127,190,1.33,1105,1.62,0.55,1,-0.08,1,20,Ireland
LANL-GrowthRate,inc case,1,IE,374,171,149,54,0.68,600,0.82,0.5,0.95,-0.17,1,20,Ireland
USC-SIkJalpha,inc case,1,IE,582,128,389,65,1.07,720,0.99,0.5,0.65,-0.29,1,20,Ireland
epiforecasts-EpiNow2,inc case,1,IE,667,327,154,186,1.28,1053,1.48,0.5,0.9,-0.1,1,20,Ireland
EuroCOVIDhub-baseline,inc case,2,IE,1008,364,604,41,1,1384,1,0.5,1,-0.32,1,18,Ireland
EuroCOVIDhub-ensemble,inc case,2,IE,1019,445,395,179,0.96,1552,1.11,0.33,1,-0.15,1,18,Ireland
EuroCOVIDhub-mean,inc case,2,IE,1086,503,357,227,1.05,1698,1.25,0.39,1,-0.14,1,18,Ireland
EuroCOVIDhub-median,inc case,2,IE,913,312,432,168,0.91,1515,1.09,0.33,0.89,-0.21,1,18,Ireland
IEM_Health-CovidProject,inc case,2,IE,1191,284,494,413,1.28,1887,1.47,0.22,0.83,-0.09,1,18,Ireland
ILM-EKF,inc case,2,IE,1336,620,286,430,1.49,2100,1.66,0.44,0.94,-0.11,1,18,Ireland
LANL-GrowthRate,inc case,2,IE,865,255,459,150,0.85,1351,0.99,0.28,0.89,-0.23,1,18,Ireland
USC-SIkJalpha,inc case,2,IE,1466,140,1077,249,1.48,1820,1.34,0.22,0.44,-0.3,1,18,Ireland
epiforecasts-EpiNow2,inc case,2,IE,1965,978,409,578,1.84,2744,1.95,0.33,0.78,-0.08,1,18,Ireland
EuroCOVIDhub-baseline,inc case,3,IE,1507,525,947,36,1,2132,1,0.44,1,-0.38,1,16,Ireland
EuroCOVIDhub-ensemble,inc case,3,IE,1889,1007,687,194,1.05,2442,1.05,0.31,0.94,-0.28,1,16,Ireland
EuroCOVIDhub-mean,inc case,3,IE,2081,1101,620,359,1.22,2752,1.24,0.31,0.94,-0.2,1,16,Ireland
EuroCOVIDhub-median,inc case,3,IE,1373,428,804,142,0.87,2187,0.98,0.31,0.81,-0.34,1,16,Ireland
IEM_Health-CovidProject,inc case,3,IE,1594,409,840,344,1.06,2389,1.12,0.31,0.81,-0.27,1,16,Ireland
ILM-EKF,inc case,3,IE,2249,993,510,746,1.63,3597,1.78,0.44,1,-0.13,1,16,Ireland
LANL-GrowthRate,inc case,3,IE,1197,353,762,82,0.73,1688,0.7,0.25,0.75,-0.33,1,16,Ireland
USC-SIkJalpha,inc case,3,IE,2608,147,1879,582,1.79,2923,1.38,0.19,0.31,-0.5,1,16,Ireland
epiforecasts-EpiNow2,inc case,3,IE,4217,2331,766,1120,2.43,5418,2.38,0.38,0.81,-0.17,1,16,Ireland
EuroCOVIDhub-baseline,inc case,4,IE,1996,669,1297,29,1,2862,1,0.5,1,-0.36,1,14,Ireland
EuroCOVIDhub-ensemble,inc case,4,IE,2634,1414,972,248,1.15,3347,1.09,0.29,0.93,-0.33,1,14,Ireland
EuroCOVIDhub-mean,inc case,4,IE,3075,1577,901,598,1.42,4056,1.37,0.29,0.93,-0.22,1,14,Ireland
EuroCOVIDhub-median,inc case,4,IE,1874,553,1182,139,0.92,2836,0.96,0.29,0.79,-0.38,1,14,Ireland
IEM_Health-CovidProject,inc case,4,IE,1826,507,1218,101,0.9,2659,0.9,0.43,0.79,-0.39,1,14,Ireland
ILM-EKF,inc case,4,IE,3947,1655,775,1517,2.1,6160,2.21,0.43,1,-0.13,1,14,Ireland
LANL-GrowthRate,inc case,4,IE,1651,421,1156,74,0.81,2266,0.75,0.43,0.71,-0.34,1,14,Ireland
USC-SIkJalpha,inc case,4,IE,3651,165,2327,1159,1.89,4052,1.41,0.21,0.29,-0.46,1,14,Ireland
epiforecasts-EpiNow2,inc case,4,IE,5951,2833,1197,1922,2.71,9036,2.93,0.43,0.79,-0.24,1,14,Ireland
EuroCOVIDhub-relative_skill_weighted_mean,inc case,1,IE,387,258,37,93,0.7,553,0.72,0.83,1,0.08,1,12,Ireland
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,1,IE,394,257,40,98,0.71,579,0.75,0.75,1,0.06,1,12,Ireland
EuroCOVIDhub-relative_skill_weighted_median,inc case,1,IE,371,220,50,101,0.66,564,0.73,0.75,1,0.1,1,12,Ireland
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,1,IE,380,221,52,107,0.68,578,0.75,0.67,1,0.11,1,12,Ireland
LANL-GrowthRate,inc case,5,IE,2093,453,1569,70,NA,2732,NA,0.54,0.77,-0.25,1,13,Ireland
USC-SIkJalpha,inc case,5,IE,5264,180,2643,2441,NA,5805,NA,0.15,0.38,-0.48,1,13,Ireland
EuroCOVIDhub-relative_skill_weighted_mean,inc case,2,IE,834,466,121,247,0.88,1385,1.01,0.5,1,0.09,1,10,Ireland
EuroCOVIDhub-relative_skill_weighted_median,inc case,2,IE,833,383,212,238,0.88,1350,0.98,0.6,1,0.07,1,10,Ireland
LANL-GrowthRate,inc case,6,IE,2462,479,1874,109,NA,3439,NA,0.42,0.67,-0.18,1,12,Ireland
EuroCOVIDhub-relative_skill_weighted_mean,inc case,3,IE,1131,714,117,300,0.89,1817,0.9,0.5,1,-0.02,1,8,Ireland
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,2,IE,817,461,139,217,0.87,1284,0.96,0.75,1,-0.01,1,8,Ireland
EuroCOVIDhub-relative_skill_weighted_median,inc case,3,IE,959,527,274,157,0.75,1686,0.83,0.5,1,-0.14,1,8,Ireland
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,2,IE,819,362,254,203,0.88,1263,0.94,0.62,1,-0.06,1,8,Ireland
MUNI-ARIMA,inc case,1,IE,535,286,173,76,0.83,844,0.98,0.58,1,-0.02,1,12,Ireland
MUNI-ARIMA,inc case,2,IE,1362,662,657,44,1.09,2128,1.22,0.7,1,-0.33,1,10,Ireland
RobertWalraven-ESG,inc case,1,IE,959,153,736,69,1.23,800,1.1,0.5,0.8,-0.34,1,20,Ireland
RobertWalraven-ESG,inc case,2,IE,1979,178,1743,58,1.22,1536,1.09,0.44,0.72,-0.61,1,18,Ireland
MUNI-ARIMA,inc case,3,IE,2080,838,1210,32,0.99,3762,1.19,0.5,1,-0.52,1,8,Ireland
RobertWalraven-ESG,inc case,3,IE,3267,192,3075,0,1.42,2291,1.05,0.44,0.56,-0.78,1,16,Ireland
Karlen-pypm,inc case,1,IE,1402,682,232,488,1.69,2303,2.06,0.71,1,0.17,1,7,Ireland
MUNI-ARIMA,inc case,4,IE,2604,975,1630,0,0.88,4532,0.99,0.29,1,-0.66,1,7,Ireland
RobertWalraven-ESG,inc case,4,IE,4889,208,4681,0,1.63,3062,1.07,0.43,0.5,-0.78,1,14,Ireland
Karlen-pypm,inc case,2,IE,3523,1204,405,1914,2.27,5643,2.61,0.33,0.83,0.1,1,6,Ireland
Karlen-pypm,inc case,3,IE,6438,1751,608,4080,3.12,9708,2.99,0.2,0.6,0.12,1,5,Ireland
Karlen-pypm,inc case,4,IE,11635,2890,295,8450,4.3,17469,3.92,0.25,0.5,0.42,1,4,Ireland
EuroCOVIDhub-baseline,inc death,1,IE,8,4,1,4,1,11,1,0.7,1,0.08,1,20,Ireland
EuroCOVIDhub-ensemble,inc death,1,IE,6,4,0,2,0.73,8,0.78,0.9,0.95,0.15,1,20,Ireland
EuroCOVIDhub-mean,inc death,1,IE,6,4,0,2,0.73,8,0.77,0.9,0.95,0.14,1,20,Ireland
EuroCOVIDhub-median,inc death,1,IE,6,3,1,2,0.73,8,0.81,0.8,0.95,0.15,1,20,Ireland
IEM_Health-CovidProject,inc death,1,IE,9,4,3,1,1.1,11,1.25,0.4,0.65,-0.36,1,20,Ireland
ILM-EKF,inc death,1,IE,10,8,0,2,1.27,12,1.08,0.75,1,0.27,1,20,Ireland
LANL-GrowthRate,inc death,1,IE,7,2,3,3,0.94,11,1.09,0.45,0.85,-0.23,1,20,Ireland
RobertWalraven-ESG,inc death,1,IE,6,4,1,1,0.86,9,0.94,0.7,1,0.03,1,20,Ireland
USC-SIkJalpha,inc death,1,IE,8,2,0,6,0.94,9,0.89,0.35,0.55,0.47,1,20,Ireland
epiforecasts-EpiNow2,inc death,1,IE,7,4,0,3,0.95,10,1.05,0.65,0.95,0.35,1,20,Ireland
EuroCOVIDhub-baseline,inc death,2,IE,12,7,0,4,1,14,1,0.72,1,0.19,1,18,Ireland
EuroCOVIDhub-ensemble,inc death,2,IE,7,4,0,2,0.59,9,0.71,0.83,1,0.24,1,18,Ireland
EuroCOVIDhub-mean,inc death,2,IE,7,4,0,2,0.58,9,0.66,0.83,1,0.24,1,18,Ireland
EuroCOVIDhub-median,inc death,2,IE,6,4,0,2,0.54,9,0.72,0.83,0.94,0.26,1,18,Ireland
IEM_Health-CovidProject,inc death,2,IE,11,5,5,2,0.97,17,1.21,0.22,0.56,-0.45,1,18,Ireland
ILM-EKF,inc death,2,IE,10,8,0,2,0.96,12,0.98,0.83,1,0.37,1,18,Ireland
LANL-GrowthRate,inc death,2,IE,7,2,2,3,0.63,11,0.8,0.44,0.83,-0.16,1,18,Ireland
RobertWalraven-ESG,inc death,2,IE,7,5,1,1,0.69,11,0.82,0.78,1,-0.02,1,18,Ireland
USC-SIkJalpha,inc death,2,IE,9,2,0,7,0.86,12,0.96,0.28,0.5,0.69,1,18,Ireland
epiforecasts-EpiNow2,inc death,2,IE,10,5,0,5,0.91,16,1.2,0.5,1,0.52,1,18,Ireland
EuroCOVIDhub-baseline,inc death,3,IE,14,10,0,4,1,19,1,0.88,1,0.17,1,16,Ireland
EuroCOVIDhub-ensemble,inc death,3,IE,8,6,0,2,0.55,9,0.56,0.75,1,0.28,1,16,Ireland
EuroCOVIDhub-mean,inc death,3,IE,8,6,0,2,0.55,8,0.5,0.75,1,0.3,1,16,Ireland
EuroCOVIDhub-median,inc death,3,IE,7,5,0,2,0.48,10,0.6,0.69,1,0.3,1,16,Ireland
IEM_Health-CovidProject,inc death,3,IE,12,5,5,2,0.85,17,0.97,0.25,0.62,-0.47,1,16,Ireland
ILM-EKF,inc death,3,IE,12,9,0,3,0.89,14,0.91,0.69,1,0.4,1,16,Ireland
LANL-GrowthRate,inc death,3,IE,6,3,2,1,0.39,8,0.48,0.44,0.94,-0.18,1,16,Ireland
RobertWalraven-ESG,inc death,3,IE,8,6,1,1,0.55,11,0.61,0.88,1,-0.09,1,16,Ireland
USC-SIkJalpha,inc death,3,IE,12,2,0,9,0.88,16,0.97,0.12,0.44,0.76,1,16,Ireland
epiforecasts-EpiNow2,inc death,3,IE,19,13,0,6,1.17,21,1.23,0.38,1,0.56,1,16,Ireland
EuroCOVIDhub-baseline,inc death,4,IE,17,13,0,4,1,21,1,0.93,1,0.2,1,14,Ireland
EuroCOVIDhub-ensemble,inc death,4,IE,12,10,0,2,0.68,11,0.63,0.86,1,0.28,1,14,Ireland
EuroCOVIDhub-mean,inc death,4,IE,12,10,0,2,0.68,11,0.62,0.79,1,0.3,1,14,Ireland
EuroCOVIDhub-median,inc death,4,IE,8,6,0,2,0.5,10,0.61,0.79,1,0.26,1,14,Ireland
IEM_Health-CovidProject,inc death,4,IE,13,6,6,1,0.76,19,0.99,0.29,0.71,-0.53,1,14,Ireland
ILM-EKF,inc death,4,IE,14,10,0,4,0.92,18,1.06,0.64,1,0.41,1,14,Ireland
LANL-GrowthRate,inc death,4,IE,6,3,2,1,0.36,8,0.46,0.57,0.86,-0.27,1,14,Ireland
RobertWalraven-ESG,inc death,4,IE,8,6,1,1,0.52,12,0.67,0.86,1,-0.17,1,14,Ireland
UMass-MechBayes,inc death,1,IE,5,2,0,2,0.72,6,0.83,0.59,0.94,0.33,1,17,Ireland
USC-SIkJalpha,inc death,4,IE,12,2,0,10,0.77,16,0.91,0.29,0.43,0.69,1,14,Ireland
epiforecasts-EpiNow2,inc death,4,IE,41,32,0,9,2.05,37,1.88,0.5,1,0.5,1,14,Ireland
EuroCOVIDhub-relative_skill_weighted_mean,inc death,1,IE,5,3,0,2,0.74,7,0.84,0.83,0.92,0.18,1,12,Ireland
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,1,IE,5,3,0,2,0.74,7,0.84,0.83,0.92,0.17,1,12,Ireland
EuroCOVIDhub-relative_skill_weighted_median,inc death,1,IE,5,3,1,1,0.74,8,0.93,0.75,0.92,0.16,1,12,Ireland
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,1,IE,5,3,1,1,0.74,8,0.93,0.75,0.92,0.16,1,12,Ireland
LANL-GrowthRate,inc death,5,IE,6,3,2,1,NA,10,NA,0.38,0.92,-0.29,1,13,Ireland
UMass-MechBayes,inc death,2,IE,6,3,0,3,0.6,7,0.74,0.53,0.93,0.43,1,15,Ireland
USC-SIkJalpha,inc death,5,IE,14,3,2,10,NA,19,NA,0.31,0.38,0.51,1,13,Ireland
EuroCOVIDhub-relative_skill_weighted_mean,inc death,2,IE,6,4,0,2,0.58,9,0.7,0.7,1,0.3,1,10,Ireland
EuroCOVIDhub-relative_skill_weighted_median,inc death,2,IE,6,4,0,2,0.57,10,0.79,0.8,1,0.23,1,10,Ireland
LANL-GrowthRate,inc death,6,IE,9,4,2,3,NA,12,NA,0.33,0.83,-0.15,1,12,Ireland
UMass-MechBayes,inc death,3,IE,7,3,0,4,0.62,10,0.71,0.54,0.92,0.53,1,13,Ireland
EuroCOVIDhub-relative_skill_weighted_mean,inc death,3,IE,8,5,0,3,0.54,11,0.58,0.62,0.88,0.42,1,8,Ireland
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,2,IE,7,4,0,3,0.6,10,0.77,0.62,1,0.36,1,8,Ireland
EuroCOVIDhub-relative_skill_weighted_median,inc death,3,IE,7,5,0,2,0.51,11,0.58,0.75,1,0.34,1,8,Ireland
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,2,IE,7,4,0,3,0.6,10,0.82,0.75,1,0.32,1,8,Ireland
UMass-MechBayes,inc death,4,IE,11,5,0,6,0.86,16,1.05,0.36,1,0.57,1,11,Ireland
MUNI-ARIMA,inc death,1,IE,4,2,2,1,0.81,6,1.04,0.75,1,-0.22,1,12,Ireland
MUNI-ARIMA,inc death,2,IE,4,3,1,0,0.58,4,0.56,0.9,1,-0.14,1,10,Ireland
MUNI-ARIMA,inc death,3,IE,5,4,1,0,0.57,6,0.53,1,1,-0.16,1,8,Ireland
Karlen-pypm,inc death,1,IE,2,2,0,0,0.75,4,1.08,0.86,1,0.1,1,7,Ireland
MUNI-ARIMA,inc death,4,IE,7,6,1,0,0.68,7,0.6,1,1,-0.11,1,7,Ireland
Karlen-pypm,inc death,2,IE,4,2,0,2,0.73,8,1.28,0.67,1,0.25,1,6,Ireland
Karlen-pypm,inc death,3,IE,8,3,0,5,0.91,15,1.46,0.4,0.8,0.42,1,5,Ireland
Karlen-pypm,inc death,4,IE,16,6,0,11,1.3,29,2.22,0.25,0.75,0.71,1,4,Ireland
EuroCOVIDhub-baseline,inc case,1,IS,45,5,32,8,1,59,1,0.28,0.92,-0.09,1,25,Iceland
EuroCOVIDhub-ensemble,inc case,1,IS,49,10,31,8,1.07,63,1.07,0.32,0.84,-0.22,1,25,Iceland
EuroCOVIDhub-mean,inc case,1,IS,73,29,23,21,1.63,96,1.65,0.28,0.88,-0.14,1,25,Iceland
EuroCOVIDhub-median,inc case,1,IS,49,9,33,7,1.07,64,1.08,0.36,0.68,-0.38,1,25,Iceland
ILM-EKF,inc case,1,IS,144,22,55,67,3.24,198,3.4,0.28,0.84,-0.18,1,25,Iceland
LANL-GrowthRate,inc case,1,IS,71,11,56,4,1.51,86,1.41,0.46,0.58,-0.39,1,24,Iceland
USC-SIkJalpha,inc case,1,IS,51,11,28,12,1.11,56,0.94,0.28,0.44,-0.34,1,25,Iceland
epiforecasts-EpiNow2,inc case,1,IS,256,114,28,114,5.79,365,6.3,0.24,0.56,-0.31,1,25,Iceland
EuroCOVIDhub-baseline,inc case,2,IS,82,10,59,13,1,108,1,0.5,0.88,-0.12,1,24,Iceland
EuroCOVIDhub-ensemble,inc case,2,IS,91,17,59,15,1.1,114,1.06,0.29,0.83,-0.16,1,24,Iceland
EuroCOVIDhub-mean,inc case,2,IS,179,47,56,76,2.21,255,2.4,0.29,0.79,-0.08,1,24,Iceland
EuroCOVIDhub-median,inc case,2,IS,89,12,63,13,1.09,114,1.06,0.17,0.67,-0.32,1,24,Iceland
ILM-EKF,inc case,2,IS,223,36,77,110,2.77,292,2.75,0.29,0.79,-0.17,1,24,Iceland
LANL-GrowthRate,inc case,2,IS,113,11,95,8,1.33,125,1.11,0.3,0.57,-0.33,1,23,Iceland
USC-SIkJalpha,inc case,2,IS,154,17,64,72,1.87,163,1.52,0.25,0.33,-0.35,1,24,Iceland
epiforecasts-EpiNow2,inc case,2,IS,633,189,64,380,7.86,941,8.85,0.25,0.5,-0.31,1,24,Iceland
EuroCOVIDhub-baseline,inc case,3,IS,110,14,84,12,1,142,1,0.65,0.87,-0.17,1,23,Iceland
EuroCOVIDhub-ensemble,inc case,3,IS,145,32,91,22,1.26,165,1.15,0.39,0.78,-0.08,1,23,Iceland
EuroCOVIDhub-mean,inc case,3,IS,222,51,90,81,1.98,278,1.96,0.35,0.7,-0.01,1,23,Iceland
EuroCOVIDhub-median,inc case,3,IS,132,18,96,19,1.2,157,1.11,0.35,0.74,-0.33,1,23,Iceland
ILM-EKF,inc case,3,IS,250,45,105,100,2.3,336,2.4,0.17,0.74,-0.18,1,23,Iceland
LANL-GrowthRate,inc case,3,IS,145,8,132,5,1.26,155,1.05,0.32,0.45,-0.38,1,22,Iceland
USC-SIkJalpha,inc case,3,IS,311,28,99,184,2.83,319,2.28,0.3,0.35,-0.41,1,23,Iceland
epiforecasts-EpiNow2,inc case,3,IS,544,166,97,281,4.86,716,5.06,0.22,0.52,-0.3,1,23,Iceland
EuroCOVIDhub-baseline,inc case,4,IS,130,17,106,8,1,162,1,0.68,0.82,-0.21,1,22,Iceland
EuroCOVIDhub-ensemble,inc case,4,IS,211,59,125,27,1.51,232,1.37,0.36,0.73,-0.04,1,22,Iceland
EuroCOVIDhub-mean,inc case,4,IS,255,59,124,71,1.85,281,1.68,0.32,0.64,-0.01,1,22,Iceland
EuroCOVIDhub-median,inc case,4,IS,174,26,130,19,1.35,200,1.24,0.41,0.73,-0.33,1,22,Iceland
ILM-EKF,inc case,4,IS,190,29,130,32,1.46,243,1.49,0.18,0.77,-0.2,1,22,Iceland
LANL-GrowthRate,inc case,4,IS,178,7,165,6,1.31,191,1.12,0.24,0.43,-0.39,1,21,Iceland
USC-SIkJalpha,inc case,4,IS,539,46,134,358,4.15,541,3.36,0.32,0.36,-0.45,1,22,Iceland
epiforecasts-EpiNow2,inc case,4,IS,372,161,132,78,2.49,440,2.46,0.27,0.59,-0.33,1,22,Iceland
EuroCOVIDhub-relative_skill_weighted_mean,inc case,1,IS,75,26,27,22,1.44,107,1.59,0.19,0.86,-0.09,1,21,Iceland
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,1,IS,68,24,26,18,1.32,89,1.32,0.24,0.86,-0.1,1,21,Iceland
EuroCOVIDhub-relative_skill_weighted_median,inc case,1,IS,61,9,43,8,1.17,75,1.12,0.24,0.67,-0.28,1,21,Iceland
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,1,IS,56,9,39,8,1.08,70,1.04,0.29,0.62,-0.29,1,21,Iceland
LANL-GrowthRate,inc case,5,IS,206,4,199,3,NA,213,NA,0.25,0.4,-0.37,1,20,Iceland
USC-SIkJalpha,inc case,5,IS,666,62,167,438,NA,651,NA,0.29,0.38,-0.54,1,21,Iceland
EuroCOVIDhub-relative_skill_weighted_mean,inc case,2,IS,176,41,66,70,1.85,247,1.98,0.15,0.8,-0.02,1,20,Iceland
EuroCOVIDhub-relative_skill_weighted_median,inc case,2,IS,113,13,83,17,1.18,139,1.12,0.15,0.65,-0.21,1,20,Iceland
LANL-GrowthRate,inc case,6,IS,219,3,213,3,NA,225,NA,0.16,0.42,-0.29,1,19,Iceland
EuroCOVIDhub-relative_skill_weighted_mean,inc case,3,IS,225,44,106,75,1.74,282,1.72,0.37,0.68,-0.02,1,19,Iceland
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,2,IS,202,45,69,88,2.07,292,2.26,0.21,0.74,-0.03,1,19,Iceland
EuroCOVIDhub-relative_skill_weighted_median,inc case,3,IS,163,23,119,21,1.27,196,1.19,0.42,0.74,-0.26,1,19,Iceland
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,2,IS,112,12,81,18,1.14,142,1.09,0.11,0.68,-0.24,1,19,Iceland
EuroCOVIDhub-relative_skill_weighted_mean,inc case,4,IS,268,45,148,74,1.74,305,1.58,0.33,0.56,0.01,1,18,Iceland
EuroCOVIDhub-relative_skill_weighted_median,inc case,4,IS,216,33,156,26,1.42,240,1.27,0.5,0.72,-0.23,1,18,Iceland
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc case,3,IS,239,40,117,81,1.73,308,1.73,0.24,0.65,0.02,1,17,Iceland
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc case,3,IS,174,19,132,22,1.26,213,1.19,0.35,0.71,-0.23,1,17,Iceland
MUNI-ARIMA,inc case,1,IS,49,11,33,6,0.83,63,0.82,0.35,0.88,-0.46,1,17,Iceland
