model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
IEM_Health-CovidProject,inc death,3,AT,21,9,3,10,0.8,33,0.91,0.43,0.83,0.21,1,23,Austria
ILM-EKF,inc death,3,AT,18,14,0,4,0.68,25,0.7,0.74,1,0.24,1,23,Austria
LANL-GrowthRate,inc death,3,AT,13,4,4,6,0.5,20,0.56,0.27,0.77,0.14,1,22,Austria
RobertWalraven-ESG,inc death,3,AT,13,5,4,4,0.47,21,0.57,0.61,0.96,0,1,23,Austria
USC-SIkJalpha,inc death,3,AT,21,4,0,17,0.87,25,0.76,0.13,0.22,0.8,1,23,Austria
epiforecasts-EpiNow2,inc death,3,AT,19,7,1,12,0.75,28,0.79,0.39,0.87,0.38,1,23,Austria
EuroCOVIDhub-baseline,inc death,4,AT,29,16,1,12,1,44,1,0.68,1,0.24,1,22,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,15,9,0,6,0.48,22,0.52,0.55,0.95,0.41,1,22,Austria
EuroCOVIDhub-mean,inc death,4,AT,16,9,0,7,0.56,24,0.59,0.55,0.91,0.42,1,22,Austria
EuroCOVIDhub-median,inc death,4,AT,14,7,0,6,0.4,22,0.47,0.64,0.95,0.3,1,22,Austria
IEM_Health-CovidProject,inc death,4,AT,31,11,5,15,0.89,48,1,0.36,0.82,0.24,1,22,Austria
ILM-EKF,inc death,4,AT,24,16,0,8,0.66,36,0.72,0.55,1,0.27,1,22,Austria
LANL-GrowthRate,inc death,4,AT,17,5,5,8,0.5,25,0.5,0.43,0.71,0.23,1,21,Austria
RobertWalraven-ESG,inc death,4,AT,17,5,7,5,0.46,28,0.51,0.59,0.91,-0.03,1,22,Austria
UMass-MechBayes,inc death,1,AT,6,3,1,1,0.57,8,0.56,0.5,0.95,0.03,1,22,Austria
USC-SIkJalpha,inc death,4,AT,26,5,0,20,0.81,31,0.7,0.27,0.36,0.59,1,22,Austria
epiforecasts-EpiNow2,inc death,4,AT,31,13,0,18,1.12,45,1.1,0.5,0.91,0.32,1,22,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc death,1,AT,5,3,1,1,0.55,8,0.58,0.71,1,0.16,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,1,AT,5,3,1,1,0.57,8,0.61,0.62,1,0.14,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc death,1,AT,5,3,1,1,0.54,8,0.58,0.52,1,0.1,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_median_by_horizon,inc death,1,AT,5,3,1,1,0.55,8,0.59,0.57,1,0.1,1,21,Austria
LANL-GrowthRate,inc death,5,AT,23,6,6,11,NA,33,NA,0.2,0.65,0.26,1,20,Austria
UMass-MechBayes,inc death,2,AT,6,4,1,1,0.39,8,0.36,0.57,1,0.1,1,21,Austria
USC-SIkJalpha,inc death,5,AT,34,7,1,26,NA,42,NA,0.24,0.38,0.5,1,21,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc death,2,AT,7,4,0,3,0.46,10,0.49,0.6,1,0.29,1,20,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc death,2,AT,6,3,0,3,0.44,10,0.49,0.45,1,0.23,1,20,Austria
LANL-GrowthRate,inc death,6,AT,27,7,5,14,NA,40,NA,0.21,0.63,0.45,1,19,Austria
UMass-MechBayes,inc death,3,AT,8,5,1,2,0.36,12,0.4,0.5,0.9,0.15,1,20,Austria
EuroCOVIDhub-relative_skill_weighted_mean,inc death,3,AT,10,5,0,5,0.47,14,0.51,0.42,1,0.46,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_mean_by_horizon,inc death,2,AT,7,3,0,3,0.48,11,0.53,0.47,1,0.27,1,19,Austria
EuroCOVIDhub-relative_skill_weighted_median,inc death,3,AT,8,4,0,4,0.4,14,0.47,0.53,1,0.34,1,19,Austria
