model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,DE,11272,1350,8600,1322,1,1,0,1,-0.44,1,4,Germany
EuroCOVIDhub-ensemble,inc case,1,DE,10129,4288,3005,2836,0.9,0.96,0.5,1,-0.17,1,4,Germany
FIAS_FZJ-Epi1Ger,inc case,1,DE,10494,2121,3367,5006,0.93,0.93,0.25,0.75,-0.19,1,4,Germany
IEM_Health-CovidProject,inc case,1,DE,13968,6687,7148,133,1.24,1.26,0.25,1,-0.52,1,4,Germany
ILM-EKF,inc case,1,DE,11733,3699,2658,5375,1.04,1.17,0.5,1,0.06,1,4,Germany
ITWW-county_repro,inc case,1,DE,14908,1073,173,13662,1.32,1.06,0.5,0.5,0.48,1,4,Germany
Karlen-pypm,inc case,1,DE,10475,5294,1222,3959,0.93,1,0.5,1,0.13,1,4,Germany
LANL-GrowthRate,inc case,1,DE,11826,7075,4510,241,1.05,1.01,0.5,1,-0.4,1,4,Germany
UNIPV-BayesINGARCHX,inc case,1,DE,12364,1993,4375,5996,1.1,0.99,0.25,0.5,0.21,1,4,Germany
USC-SIkJalpha,inc case,1,DE,20063,8777,9772,1515,1.78,1.4,0.75,0.75,-0.35,1,4,Germany
epiforecasts-EpiExpert,inc case,1,DE,11234,2297,3635,5303,1,1.08,0,0.75,-0.02,1,4,Germany
epiforecasts-EpiNow2,inc case,1,DE,13130,5797,3794,3539,1.16,1.43,0.25,1,-0.23,1,4,Germany
itwm-dSEIR,inc case,1,DE,11862,1633,3021,7208,1.05,0.93,0.25,0.5,-0.12,1,4,Germany
EuroCOVIDhub-baseline,inc death,1,DE,132,44,0,89,1,1,0.25,1,0.62,1,4,Germany
EuroCOVIDhub-ensemble,inc death,1,DE,119,79,0,40,0.9,1,1,1,0.4,1,4,Germany
FIAS_FZJ-Epi1Ger,inc death,1,DE,431,19,0,412,3.26,2.63,0,0,1,1,4,Germany
IEM_Health-CovidProject,inc death,1,DE,215,136,79,0,1.63,1.73,0.75,1,-0.4,1,4,Germany
