model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
USC-SIkJalpha,inc case,4,AT,3344,448,908,1987,1.12,3933,0.76,0.25,0.29,0.19,1,24,Austria
epiforecasts-EpiNow2,inc case,4,AT,6938,2938,555,3445,2.99,10164,2.32,0.33,0.67,0.1,1,24,Austria
LANL-GrowthRate,inc case,5,AT,3513,699,1296,1518,NA,4991,NA,0.14,0.45,0.07,1,22,Austria
USC-SIkJalpha,inc case,5,AT,4655,561,1355,2739,NA,5644,NA,0.09,0.13,0.14,1,23,Austria
LANL-GrowthRate,inc case,6,AT,4338,853,1441,2044,NA,5843,NA,0.19,0.29,0.11,1,21,Austria
MUNI-ARIMA,inc case,1,AT,322,185,48,88,0.41,449,0.37,0.63,1,0.05,1,19,Austria
MUNI-ARIMA,inc case,2,AT,679,431,126,121,0.49,874,0.38,0.72,1,-0.07,1,18,Austria
RobertWalraven-ESG,inc case,1,AT,546,179,328,39,0.85,1043,0.7,0.52,0.85,-0.22,1,27,Austria
MUNI-ARIMA,inc case,3,AT,941,632,260,49,0.58,1249,0.46,0.81,1,-0.19,1,16,Austria
RobertWalraven-ESG,inc case,2,AT,1148,218,912,17,1.01,1878,0.66,0.38,0.62,-0.35,1,26,Austria
MUNI-ARIMA,inc case,4,AT,1282,832,415,35,0.63,1853,0.55,0.67,1,-0.23,1,15,Austria
RobertWalraven-ESG,inc case,3,AT,1940,250,1682,9,1.24,2736,0.69,0.36,0.56,-0.37,1,25,Austria
RobertWalraven-ESG,inc case,4,AT,2669,272,2393,3,1.36,3415,0.7,0.33,0.54,-0.4,1,24,Austria
Karlen-pypm,inc case,1,AT,757,420,70,267,0.87,1118,0.85,0.56,1,0.27,1,9,Austria
Karlen-pypm,inc case,2,AT,1969,684,254,1031,1.18,2988,1.1,0.38,0.75,0.29,1,8,Austria
Karlen-pypm,inc case,3,AT,4277,1280,468,2529,1.74,6266,1.51,0.14,0.71,0.26,1,7,Austria
Karlen-pypm,inc case,4,AT,8548,2558,646,5344,2.59,12045,2.19,0.17,0.67,0.18,1,6,Austria
EuroCOVIDhub-baseline,inc death,1,AT,11,5,2,4,1,16,1,0.56,1,0.12,1,27,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,7,4,1,1,0.61,10,0.6,0.7,0.96,0.1,1,27,Austria
IEM_Health-CovidProject,inc death,1,AT,9,5,2,2,0.81,14,0.82,0.44,0.93,0.1,1,27,Austria
ILM-EKF,inc death,1,AT,13,11,0,1,1.08,11,0.68,0.93,1,0.11,1,27,Austria
LANL-GrowthRate,inc death,1,AT,8,2,4,2,0.77,12,0.74,0.35,0.88,0.07,1,26,Austria
RobertWalraven-ESG,inc death,1,AT,7,3,2,2,0.66,12,0.74,0.52,0.96,0.03,1,27,Austria
USC-SIkJalpha,inc death,1,AT,12,3,2,7,1.06,13,0.78,0.26,0.41,0.28,1,27,Austria
epiforecasts-EpiNow2,inc death,1,AT,7,4,1,3,0.66,11,0.66,0.52,1,0.19,1,27,Austria
EuroCOVIDhub-baseline,inc death,2,AT,16,9,2,5,1,24,1,0.65,1,0.13,1,26,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,8,5,1,2,0.5,11,0.49,0.65,0.96,0.22,1,26,Austria
IEM_Health-CovidProject,inc death,2,AT,14,7,3,4,0.77,21,0.81,0.35,0.88,0.13,1,26,Austria
ILM-EKF,inc death,2,AT,14,12,0,2,0.81,16,0.65,0.88,1,0.19,1,26,Austria
LANL-GrowthRate,inc death,2,AT,11,3,5,3,0.67,17,0.72,0.12,0.72,-0.03,1,25,Austria
RobertWalraven-ESG,inc death,2,AT,10,4,4,3,0.62,17,0.7,0.58,0.92,0.02,1,26,Austria
USC-SIkJalpha,inc death,2,AT,14,4,1,9,0.84,15,0.64,0.27,0.31,0.4,1,26,Austria
epiforecasts-EpiNow2,inc death,2,AT,11,4,1,6,0.67,17,0.69,0.38,0.92,0.29,1,26,Austria
EuroCOVIDhub-baseline,inc death,3,AT,22,13,1,8,1,32,1,0.72,1,0.16,1,25,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,11,6,0,4,0.46,14,0.45,0.56,1,0.32,1,25,Austria
IEM_Health-CovidProject,inc death,3,AT,21,8,4,9,0.91,33,0.95,0.4,0.8,0.12,1,25,Austria
ILM-EKF,inc death,3,AT,18,13,0,4,0.74,25,0.73,0.76,1,0.23,1,25,Austria
LANL-GrowthRate,inc death,3,AT,13,3,5,5,0.59,20,0.61,0.25,0.75,0.05,1,24,Austria
RobertWalraven-ESG,inc death,3,AT,12,5,4,3,0.5,20,0.58,0.6,0.96,-0.05,1,25,Austria
USC-SIkJalpha,inc death,3,AT,20,4,1,15,0.89,25,0.77,0.12,0.24,0.73,1,25,Austria
epiforecasts-EpiNow2,inc death,3,AT,19,6,1,11,0.85,28,0.87,0.36,0.88,0.36,1,25,Austria
EuroCOVIDhub-baseline,inc death,4,AT,28,16,2,11,1,42,1,0.71,1,0.2,1,24,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,15,8,1,6,0.52,22,0.55,0.54,0.96,0.36,1,24,Austria
IEM_Health-CovidProject,inc death,4,AT,30,11,6,14,0.98,45,1.03,0.38,0.79,0.18,1,24,Austria
ILM-EKF,inc death,4,AT,24,15,0,8,0.76,35,0.78,0.54,1,0.27,1,24,Austria
LANL-GrowthRate,inc death,4,AT,18,4,6,7,0.59,25,0.56,0.39,0.7,0.13,1,23,Austria
RobertWalraven-ESG,inc death,4,AT,17,5,7,5,0.56,27,0.6,0.58,0.88,-0.07,1,24,Austria
UMass-MechBayes,inc death,1,AT,6,3,2,1,0.66,9,0.63,0.46,0.92,0.02,1,24,Austria
USC-SIkJalpha,inc death,4,AT,24,5,1,19,0.84,30,0.72,0.25,0.33,0.54,1,24,Austria
epiforecasts-EpiNow2,inc death,4,AT,30,13,0,17,1.2,43,1.14,0.54,0.92,0.33,1,24,Austria
LANL-GrowthRate,inc death,5,AT,23,5,7,10,NA,32,NA,0.18,0.64,0.16,1,22,Austria
UMass-MechBayes,inc death,2,AT,6,4,1,1,0.41,8,0.38,0.57,1,0.07,1,23,Austria
USC-SIkJalpha,inc death,5,AT,32,6,1,24,NA,39,NA,0.22,0.35,0.45,1,23,Austria
LANL-GrowthRate,inc death,6,AT,26,7,6,13,NA,38,NA,0.19,0.62,0.32,1,21,Austria
UMass-MechBayes,inc death,3,AT,8,5,1,2,0.4,13,0.47,0.45,0.86,0.13,1,22,Austria
UMass-MechBayes,inc death,4,AT,10,6,1,4,0.46,16,0.48,0.48,0.95,0.06,1,21,Austria
MUNI-ARIMA,inc death,1,AT,7,3,1,2,0.88,12,0.96,0.63,1,0.04,1,19,Austria
MUNI-ARIMA,inc death,2,AT,10,5,2,3,0.83,16,0.93,0.56,1,0.01,1,18,Austria
MUNI-ARIMA,inc death,3,AT,9,5,2,2,0.78,14,0.91,0.75,1,-0.05,1,16,Austria
MUNI-ARIMA,inc death,4,AT,11,7,2,2,0.79,16,0.9,0.73,1,-0.04,1,15,Austria
Karlen-pypm,inc death,1,AT,4,1,2,1,0.73,8,0.82,0.44,0.89,0.12,1,9,Austria
Karlen-pypm,inc death,2,AT,6,2,2,2,0.61,9,0.69,0.5,0.75,0.3,1,8,Austria
Karlen-pypm,inc death,3,AT,9,3,1,5,0.79,16,0.97,0.29,0.71,0.43,1,7,Austria
Karlen-pypm,inc death,4,AT,21,6,1,14,1.24,30,1.44,0.33,0.83,0.38,1,6,Austria
EuroCOVIDhub-baseline,inc case,1,BE,1944,600,653,691,1,2659,1,0.48,1,-0,1,27,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,1595,877,351,366,0.89,2375,0.94,0.56,0.96,-0.02,1,27,Belgium
IEM_Health-CovidProject,inc case,1,BE,1821,844,276,701,0.98,2939,1.19,0.41,0.96,0.15,1,27,Belgium
ILM-EKF,inc case,1,BE,1773,749,374,649,0.96,2775,1.11,0.52,0.89,0.05,1,27,Belgium
LANL-GrowthRate,inc case,1,BE,2132,1074,993,65,1.35,3247,1.47,0.54,0.92,-0.43,1,26,Belgium
USC-SIkJalpha,inc case,1,BE,2350,630,856,864,1.34,3024,1.23,0.33,0.52,0.09,1,27,Belgium
epiforecasts-EpiNow2,inc case,1,BE,2256,1264,436,556,1.35,3226,1.38,0.63,0.81,-0.06,1,27,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,3106,1215,916,974,1,4567,1,0.46,1,0.04,1,26,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,2882,1341,731,810,0.92,4144,0.87,0.62,0.92,0.03,1,26,Belgium
IEM_Health-CovidProject,inc case,2,BE,3461,1213,760,1488,1.08,5614,1.24,0.27,0.85,0.24,1,26,Belgium
ILM-EKF,inc case,2,BE,3603,1390,839,1374,1.17,5178,1.16,0.54,0.85,0.11,1,26,Belgium
LANL-GrowthRate,inc case,2,BE,3061,1297,1339,426,1.08,4786,1.17,0.56,0.92,-0.36,1,25,Belgium
USC-SIkJalpha,inc case,2,BE,4401,723,1661,2016,1.68,5098,1.3,0.31,0.42,0.11,1,26,Belgium
epiforecasts-EpiNow2,inc case,2,BE,3932,1886,895,1151,1.37,5195,1.19,0.62,0.77,-0.04,1,26,Belgium
EuroCOVIDhub-baseline,inc case,3,BE,3938,1759,992,1187,1,6063,1,0.52,1,0.07,1,25,Belgium
EuroCOVIDhub-ensemble,inc case,3,BE,4485,1921,1191,1373,1.08,6253,0.97,0.56,0.88,0.09,1,25,Belgium
IEM_Health-CovidProject,inc case,3,BE,5511,1706,1249,2556,1.29,8577,1.38,0.28,0.8,0.26,1,25,Belgium
ILM-EKF,inc case,3,BE,5818,2253,1224,2341,1.47,8490,1.45,0.48,0.84,0.12,1,25,Belgium
LANL-GrowthRate,inc case,3,BE,3998,1471,1809,718,1.04,6158,1.1,0.5,0.79,-0.27,1,24,Belgium
USC-SIkJalpha,inc case,3,BE,7787,834,2506,4447,2.5,8608,1.74,0.32,0.32,0.06,1,25,Belgium
epiforecasts-EpiNow2,inc case,3,BE,5657,2622,1365,1669,1.5,7308,1.21,0.56,0.8,0.02,1,25,Belgium
EuroCOVIDhub-baseline,inc case,4,BE,4339,2269,671,1400,1,6827,1,0.46,1,0.05,1,24,Belgium
EuroCOVIDhub-ensemble,inc case,4,BE,5620,2692,1097,1832,1.21,7766,1.08,0.5,0.88,0.14,1,24,Belgium
IEM_Health-CovidProject,inc case,4,BE,7198,2366,1246,3586,1.44,11082,1.49,0.29,0.75,0.22,1,24,Belgium
ILM-EKF,inc case,4,BE,8148,3446,1353,3349,1.88,11789,1.81,0.46,0.88,0.17,1,24,Belgium
LANL-GrowthRate,inc case,4,BE,4148,1625,1624,899,0.98,6564,1.04,0.43,0.83,-0.15,1,23,Belgium
USC-SIkJalpha,inc case,4,BE,13112,1038,2602,9471,4.01,14343,2.67,0.29,0.33,0,1,24,Belgium
epiforecasts-EpiNow2,inc case,4,BE,6941,3350,1521,2071,1.65,8642,1.23,0.58,0.75,0.06,1,24,Belgium
LANL-GrowthRate,inc case,5,BE,4683,1767,1543,1373,NA,7478,NA,0.32,0.77,-0.09,1,22,Belgium
USC-SIkJalpha,inc case,5,BE,5753,1125,2953,1674,NA,6564,NA,0.26,0.35,-0.11,1,23,Belgium
LANL-GrowthRate,inc case,6,BE,5424,1979,1588,1858,NA,8913,NA,0.33,0.81,-0.04,1,21,Belgium
MUNI-ARIMA,inc case,1,BE,2381,655,1250,476,1.79,3317,1.8,0.37,0.84,-0.06,1,19,Belgium
MUNI-ARIMA,inc case,2,BE,3270,1363,1291,616,1.57,4623,1.54,0.61,0.89,-0.03,1,18,Belgium
RobertWalraven-ESG,inc case,1,BE,1587,496,555,536,1.13,3128,1.29,0.33,0.85,-0.09,1,27,Belgium
MUNI-ARIMA,inc case,3,BE,4208,1883,1433,891,1.52,6335,1.52,0.56,0.94,-0.05,1,16,Belgium
RobertWalraven-ESG,inc case,2,BE,2425,618,1085,722,1.07,4470,1.05,0.27,0.81,-0.08,1,26,Belgium
MUNI-ARIMA,inc case,4,BE,4998,2385,1525,1088,1.49,7870,1.52,0.4,1,-0.05,1,15,Belgium
RobertWalraven-ESG,inc case,3,BE,3140,728,1640,772,1.06,5596,0.97,0.28,0.8,-0.06,1,25,Belgium
RobertWalraven-ESG,inc case,4,BE,3584,831,2046,707,0.99,4983,0.78,0.33,0.83,-0.15,1,24,Belgium
Karlen-pypm,inc case,1,BE,1387,934,109,343,1.12,2054,1.2,0.78,1,-0.04,1,9,Belgium
Karlen-pypm,inc case,2,BE,3638,1745,154,1738,1.92,5709,2.24,0.5,1,0.01,1,8,Belgium
Karlen-pypm,inc case,3,BE,8476,3316,255,4906,3.36,13217,3.95,0.43,0.86,0,1,7,Belgium
Karlen-pypm,inc case,4,BE,17520,6020,303,11196,5.47,27229,6.5,0.5,0.67,0.06,1,6,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,19,14,2,3,1,18,1,0.89,1,0.11,1,27,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,11,7,2,2,0.54,14,0.77,0.74,1,-0,1,27,Belgium
IEM_Health-CovidProject,inc death,1,BE,13,5,4,4,0.69,21,1.06,0.56,0.85,-0,1,27,Belgium
ILM-EKF,inc death,1,BE,18,16,0,2,0.87,15,0.76,1,1,0.09,1,27,Belgium
LANL-GrowthRate,inc death,1,BE,14,3,6,5,0.71,21,1.09,0.27,0.81,-0.16,1,26,Belgium
RobertWalraven-ESG,inc death,1,BE,12,8,2,2,0.6,17,0.91,0.78,1,-0.04,1,27,Belgium
USC-SIkJalpha,inc death,1,BE,14,5,3,6,0.71,18,0.92,0.3,0.48,0.07,1,27,Belgium
epiforecasts-EpiNow2,inc death,1,BE,16,7,1,8,0.76,24,1.21,0.5,0.92,0.2,1,26,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,34,28,2,4,1,33,1,0.96,1,0.06,1,26,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,14,9,2,3,0.39,19,0.57,0.81,1,0.07,1,26,Belgium
IEM_Health-CovidProject,inc death,2,BE,21,8,6,7,0.59,32,0.95,0.42,0.88,0.08,1,26,Belgium
ILM-EKF,inc death,2,BE,21,18,0,3,0.59,21,0.63,0.92,1,0.16,1,26,Belgium
LANL-GrowthRate,inc death,2,BE,20,5,9,6,0.55,29,0.87,0.32,0.76,-0.25,1,25,Belgium
RobertWalraven-ESG,inc death,2,BE,17,10,5,2,0.45,26,0.71,0.77,1,-0.07,1,26,Belgium
USC-SIkJalpha,inc death,2,BE,19,5,3,11,0.53,24,0.71,0.38,0.58,0.2,1,26,Belgium
epiforecasts-EpiNow2,inc death,2,BE,21,10,1,11,0.58,34,1,0.56,0.96,0.28,1,25,Belgium
EuroCOVIDhub-baseline,inc death,3,BE,46,39,1,6,1,47,1,0.96,1,0.07,1,25,Belgium
EuroCOVIDhub-ensemble,inc death,3,BE,19,11,2,5,0.37,26,0.54,0.76,0.96,0.1,1,25,Belgium
IEM_Health-CovidProject,inc death,3,BE,30,10,8,12,0.58,46,0.91,0.32,0.84,0.12,1,25,Belgium
ILM-EKF,inc death,3,BE,28,20,0,7,0.55,35,0.68,0.76,1,0.22,1,25,Belgium
LANL-GrowthRate,inc death,3,BE,25,6,10,8,0.5,37,0.75,0.42,0.71,-0.21,1,24,Belgium
RobertWalraven-ESG,inc death,3,BE,21,11,7,2,0.4,32,0.61,0.76,1,-0.09,1,25,Belgium
USC-SIkJalpha,inc death,3,BE,27,6,4,17,0.52,34,0.66,0.36,0.44,0.36,1,25,Belgium
epiforecasts-EpiNow2,inc death,3,BE,31,14,1,16,0.59,48,0.94,0.5,0.92,0.3,1,24,Belgium
EuroCOVIDhub-baseline,inc death,4,BE,58,49,2,7,1,62,1,1,1,0.08,1,24,Belgium
EuroCOVIDhub-ensemble,inc death,4,BE,24,14,3,7,0.38,37,0.57,0.62,1,0.14,1,24,Belgium
IEM_Health-CovidProject,inc death,4,BE,44,13,12,19,0.68,67,1.03,0.33,0.79,0.16,1,24,Belgium
ILM-EKF,inc death,4,BE,40,24,1,14,0.61,58,0.84,0.58,1,0.27,1,24,Belgium
LANL-GrowthRate,inc death,4,BE,33,8,14,11,0.51,46,0.69,0.39,0.65,-0.12,1,23,Belgium
RobertWalraven-ESG,inc death,4,BE,24,13,10,2,0.37,38,0.56,0.75,1,-0.13,1,24,Belgium
UMass-MechBayes,inc death,1,BE,9,5,3,1,0.5,14,0.83,0.58,0.96,-0.17,1,24,Belgium
USC-SIkJalpha,inc death,4,BE,30,7,4,19,0.43,39,0.56,0.29,0.62,0.2,1,24,Belgium
epiforecasts-EpiNow2,inc death,4,BE,45,21,1,23,0.67,67,0.96,0.43,1,0.23,1,23,Belgium
LANL-GrowthRate,inc death,5,BE,42,10,16,16,NA,61,NA,0.14,0.64,-0.02,1,22,Belgium
UMass-MechBayes,inc death,2,BE,12,7,4,1,0.35,17,0.57,0.74,0.96,-0.2,1,23,Belgium
USC-SIkJalpha,inc death,5,BE,37,9,7,21,NA,45,NA,0.26,0.43,0.16,1,23,Belgium
LANL-GrowthRate,inc death,6,BE,49,12,15,22,NA,70,NA,0.19,0.57,-0.01,1,21,Belgium
UMass-MechBayes,inc death,3,BE,16,9,5,1,0.32,19,0.47,0.5,0.95,-0.25,1,22,Belgium
UMass-MechBayes,inc death,4,BE,15,10,4,1,0.27,17,0.35,0.67,0.95,-0.24,1,21,Belgium
MUNI-ARIMA,inc death,1,BE,10,6,2,3,0.72,15,1.06,0.63,0.95,-0.19,1,19,Belgium
MUNI-ARIMA,inc death,2,BE,15,10,2,4,0.62,22,0.97,0.67,1,-0.09,1,18,Belgium
MUNI-ARIMA,inc death,3,BE,18,13,2,4,0.65,26,0.95,0.75,1,-0.1,1,16,Belgium
MUNI-ARIMA,inc death,4,BE,22,16,3,3,0.7,30,0.99,0.8,1,-0.11,1,15,Belgium
Karlen-pypm,inc death,1,BE,5,3,2,1,0.55,7,0.78,0.44,1,-0.21,1,9,Belgium
Karlen-pypm,inc death,2,BE,7,3,2,1,0.49,12,0.87,0.5,1,-0.18,1,8,Belgium
Karlen-pypm,inc death,3,BE,12,5,3,3,0.7,20,1.25,0.29,1,-0.13,1,7,Belgium
Karlen-pypm,inc death,4,BE,25,9,4,11,1.21,42,1.94,0.17,0.83,-0.1,1,6,Belgium
EuroCOVIDhub-baseline,inc hosp,1,BE,61,41,20,0,1,90,1,0.67,1,-0.48,1,6,Belgium
EuroCOVIDhub-baseline,inc hosp,2,BE,94,68,26,0,1,142,1,1,1,-0.42,1,5,Belgium
EuroCOVIDhub-baseline,inc hosp,3,BE,123,90,33,0,NA,199,NA,1,1,-0.4,1,4,Belgium
Karlen-pypm,inc hosp,1,BE,29,11,18,0,0.46,44,0.5,0.5,1,-0.6,1,4,Belgium
EuroCOVIDhub-baseline,inc hosp,4,BE,141,106,35,0,NA,237,NA,1,1,-0.4,1,3,Belgium
Karlen-pypm,inc hosp,2,BE,42,14,28,0,0.45,74,0.57,0,1,-0.77,1,3,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,1269,175,521,574,1,1784,1,0.3,0.96,0.09,1,27,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,753,517,91,144,0.59,1083,0.61,0.7,1,-0.04,1,27,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,1261,574,243,444,0.98,2118,1.16,0.37,0.89,0.08,1,27,Bulgaria
ILM-EKF,inc case,1,BG,1237,415,122,700,1.16,1910,1.19,0.48,0.89,0.04,1,27,Bulgaria
LANL-GrowthRate,inc case,1,BG,885,767,101,17,0.63,912,0.46,0.81,1,-0.33,1,26,Bulgaria
USC-SIkJalpha,inc case,1,BG,1526,715,531,280,1.04,1626,0.85,0.37,0.56,0.05,1,27,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,689,428,17,244,0.53,963,0.54,0.7,1,0.07,1,27,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,2391,364,910,1117,1,3400,1,0.38,0.81,0.12,1,26,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,1596,790,229,577,0.71,2660,0.79,0.58,0.85,0.06,1,26,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,2720,840,513,1366,1.21,4246,1.25,0.31,0.65,0.16,1,26,Bulgaria
ILM-EKF,inc case,2,BG,3039,814,266,1959,1.55,4580,1.49,0.38,0.77,0.02,1,26,Bulgaria
LANL-GrowthRate,inc case,2,BG,1285,896,152,236,0.54,1608,0.48,0.64,0.92,-0.2,1,25,Bulgaria
USC-SIkJalpha,inc case,2,BG,2172,850,818,504,0.92,2245,0.66,0.38,0.46,0.02,1,26,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,1802,889,55,858,0.85,2827,0.9,0.5,0.96,0.05,1,26,Bulgaria
EuroCOVIDhub-baseline,inc case,3,BG,3328,523,1055,1749,1,4803,1,0.36,0.8,0.1,1,25,Bulgaria
EuroCOVIDhub-ensemble,inc case,3,BG,2922,1194,366,1362,0.96,4545,0.96,0.4,0.88,0.1,1,25,Bulgaria
IEM_Health-CovidProject,inc case,3,BG,4565,1230,789,2546,1.48,6984,1.46,0.28,0.52,0.17,1,25,Bulgaria
ILM-EKF,inc case,3,BG,5374,1419,476,3479,1.94,7728,1.78,0.44,0.68,0.01,1,25,Bulgaria
LANL-GrowthRate,inc case,3,BG,2026,1075,361,590,0.64,2988,0.64,0.67,0.88,-0.08,1,24,Bulgaria
USC-SIkJalpha,inc case,3,BG,2720,966,1037,717,0.91,3034,0.65,0.36,0.36,-0.04,1,25,Bulgaria
epiforecasts-EpiNow2,inc case,3,BG,3972,1624,149,2198,1.46,6170,1.45,0.48,0.84,0.02,1,25,Bulgaria
EuroCOVIDhub-baseline,inc case,4,BG,4036,651,1038,2347,1,5844,1,0.33,0.75,0.11,1,24,Bulgaria
EuroCOVIDhub-ensemble,inc case,4,BG,4419,1709,653,2057,1.11,6539,1.09,0.33,0.88,0.13,1,24,Bulgaria
IEM_Health-CovidProject,inc case,4,BG,6474,1757,1093,3624,1.62,9674,1.6,0.21,0.38,0.15,1,24,Bulgaria
ILM-EKF,inc case,4,BG,7498,2186,817,4495,2,10842,1.91,0.38,0.71,-0.03,1,24,Bulgaria
LANL-GrowthRate,inc case,4,BG,2892,1194,796,903,0.77,4462,0.76,0.43,0.83,-0.01,1,23,Bulgaria
USC-SIkJalpha,inc case,4,BG,3287,1196,1263,829,0.92,3876,0.68,0.38,0.38,-0.07,1,24,Bulgaria
epiforecasts-EpiNow2,inc case,4,BG,7323,2649,325,4349,2.32,11326,2.25,0.42,0.75,-0.05,1,24,Bulgaria
LANL-GrowthRate,inc case,5,BG,3777,1176,1304,1297,NA,5567,NA,0.23,0.82,0.08,1,22,Bulgaria
USC-SIkJalpha,inc case,5,BG,3593,1427,1325,841,NA,4617,NA,0.35,0.35,-0.17,1,23,Bulgaria
LANL-GrowthRate,inc case,6,BG,4683,1238,1691,1754,NA,6825,NA,0.14,0.71,0.15,1,21,Bulgaria
MUNI-ARIMA,inc case,1,BG,349,160,65,124,0.54,533,0.54,0.68,0.95,0.04,1,19,Bulgaria
MUNI-ARIMA,inc case,2,BG,600,333,147,120,0.49,969,0.53,0.72,1,-0.08,1,18,Bulgaria
RobertWalraven-ESG,inc case,1,BG,615,140,390,86,1.12,1607,0.9,0.44,0.67,-0.32,1,27,Bulgaria
MUNI-ARIMA,inc case,3,BG,822,467,275,80,0.46,1281,0.49,0.75,1,-0.21,1,16,Bulgaria
RobertWalraven-ESG,inc case,2,BG,1140,153,949,37,0.95,2842,0.84,0.42,0.58,-0.42,1,26,Bulgaria
MUNI-ARIMA,inc case,4,BG,1082,612,446,24,0.51,1663,0.54,0.73,1,-0.28,1,15,Bulgaria
RobertWalraven-ESG,inc case,3,BG,1765,162,1604,0,0.98,3868,0.83,0.4,0.6,-0.51,1,25,Bulgaria
RobertWalraven-ESG,inc case,4,BG,2451,167,2283,0,1.13,4759,0.84,0.46,0.58,-0.47,1,24,Bulgaria
Karlen-pypm,inc case,1,BG,1215,438,47,729,1.43,2080,1.52,0.44,1,0.24,1,9,Bulgaria
Karlen-pypm,inc case,2,BG,4058,730,201,3128,1.87,5864,1.77,0.12,0.62,0.16,1,8,Bulgaria
Karlen-pypm,inc case,3,BG,9317,1056,510,7751,2.62,12135,2.31,0,0.57,0.01,1,7,Bulgaria
