model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
LANL-GrowthRate,inc death,1,AT,17,4,12,1,1.2,1.08,0.4,0.8,-0.25,1,5,Austria
RobertWalraven-ESG,inc death,1,AT,13,5,6,1,0.91,1.08,0.2,1,-0.42,1,5,Austria
USC-SIkJalpha,inc death,1,AT,16,12,1,3,1.14,0.82,0.8,1,0.12,1,5,Austria
epiforecasts-EpiNow2,inc death,1,AT,18,6,0,12,1.3,1.42,0.4,1,0.55,1,5,Austria
EuroCOVIDhub-baseline,inc death,2,AT,20,11,9,0,1,1,0.5,1,-0.48,1,4,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,15,12,2,1,0.74,0.53,1,1,0,1,4,Austria
IEM_Health-CovidProject,inc death,2,AT,28,15,13,0,1.37,1.41,0.75,1,-0.4,1,4,Austria
ILM-EKF,inc death,2,AT,32,27,0,4,1.59,1.05,1,1,0.17,1,4,Austria
LANL-GrowthRate,inc death,2,AT,16,6,10,0,0.81,0.93,0.25,1,-0.6,1,4,Austria
RobertWalraven-ESG,inc death,2,AT,24,7,17,0,1.17,1.16,0.5,0.75,-0.56,1,4,Austria
USC-SIkJalpha,inc death,2,AT,18,13,0,4,0.88,0.57,0.75,1,0.35,1,4,Austria
epiforecasts-EpiNow2,inc death,2,AT,34,8,0,26,1.69,1.89,0,0.75,0.86,1,4,Austria
EuroCOVIDhub-baseline,inc case,1,BE,4967,586,2805,1576,1,1,0,1,-0.15,1,5,Belgium
EuroCOVIDhub-ensemble,inc case,1,BE,2818,1360,458,1000,0.57,0.68,0.4,1,0.04,1,5,Belgium
IEM_Health-CovidProject,inc case,1,BE,3983,1478,528,1977,0.8,0.94,0.4,1,0.1,1,5,Belgium
ILM-EKF,inc case,1,BE,4159,1177,644,2338,0.84,0.96,0.4,0.8,0.06,1,5,Belgium
LANL-GrowthRate,inc case,1,BE,2145,1477,293,376,0.43,0.34,0.6,1,-0.04,1,5,Belgium
USC-SIkJalpha,inc case,1,BE,4364,1304,2899,161,0.88,0.99,0.6,0.8,-0.42,1,5,Belgium
epiforecasts-EpiNow2,inc case,1,BE,4090,1569,392,2129,0.82,0.94,0.6,0.8,0.14,1,5,Belgium
DSMPG-bayes,inc case,1,BE,3841,1320,0,2521,0.7,0.64,0.25,0.75,0.64,1,4,Belgium
EuroCOVIDhub-baseline,inc case,2,BE,7774,1197,4763,1815,1,1,0,1,-0.42,1,4,Belgium
EuroCOVIDhub-ensemble,inc case,2,BE,7395,2247,2106,3041,0.95,1.05,0.25,1,-0.01,1,4,Belgium
IEM_Health-CovidProject,inc case,2,BE,8311,2218,2128,3965,1.07,1.16,0,0.75,0.02,1,4,Belgium
ILM-EKF,inc case,2,BE,10421,2475,2089,5857,1.34,1.36,0.25,0.75,0.05,1,4,Belgium
LANL-GrowthRate,inc case,2,BE,7217,2113,2303,2800,0.93,1.05,0,1,-0.05,1,4,Belgium
USC-SIkJalpha,inc case,2,BE,7371,1311,6060,0,0.95,0.79,0.25,0.5,-0.7,1,4,Belgium
epiforecasts-EpiNow2,inc case,2,BE,8044,2548,1731,3765,1.03,1.1,0.5,0.75,0.03,1,4,Belgium
EuroCOVIDhub-baseline,inc death,1,BE,27,18,8,1,1,1,0.8,1,-0.2,1,5,Belgium
EuroCOVIDhub-ensemble,inc death,1,BE,19,14,4,1,0.72,0.82,0.8,1,-0.1,1,5,Belgium
IEM_Health-CovidProject,inc death,1,BE,28,11,17,1,1.04,1.65,0.6,1,-0.47,1,5,Belgium
ILM-EKF,inc death,1,BE,32,27,1,4,1.18,0.94,1,1,-0,1,5,Belgium
LANL-GrowthRate,inc death,1,BE,32,6,20,6,1.21,1.77,0,1,-0.5,1,5,Belgium
RobertWalraven-ESG,inc death,1,BE,23,14,9,0,0.85,1.13,0.6,1,-0.44,1,5,Belgium
USC-SIkJalpha,inc death,1,BE,24,13,10,0,0.89,1.18,0.4,1,-0.44,1,5,Belgium
epiforecasts-EpiNow2,inc death,1,BE,39,18,2,20,1.48,2.27,0.2,1,0.42,1,5,Belgium
EuroCOVIDhub-baseline,inc death,2,BE,45,35,9,0,1,1,1,1,-0.35,1,4,Belgium
EuroCOVIDhub-ensemble,inc death,2,BE,23,17,6,0,0.51,0.66,1,1,-0.25,1,4,Belgium
IEM_Health-CovidProject,inc death,2,BE,45,13,32,0,1,1.53,0.25,1,-0.68,1,4,Belgium
ILM-EKF,inc death,2,BE,42,32,3,7,0.93,1.04,1,1,0.05,1,4,Belgium
LANL-GrowthRate,inc death,2,BE,37,10,25,2,0.82,1.23,0.25,0.75,-0.47,1,4,Belgium
RobertWalraven-ESG,inc death,2,BE,43,17,26,0,0.96,1.6,0.25,1,-0.7,1,4,Belgium
USC-SIkJalpha,inc death,2,BE,26,13,13,0,0.58,0.85,0.5,1,-0.58,1,4,Belgium
epiforecasts-EpiNow2,inc death,2,BE,44,19,0,25,0.98,1.47,0.5,1,0.5,1,4,Belgium
EuroCOVIDhub-baseline,inc case,1,BG,2763,153,1785,824,1,1,0,0.8,-0.2,1,5,Bulgaria
EuroCOVIDhub-ensemble,inc case,1,BG,2102,1521,228,353,0.76,0.8,0.8,1,-0,1,5,Bulgaria
IEM_Health-CovidProject,inc case,1,BG,3101,1665,593,843,1.12,1.41,0.6,1,0.04,1,5,Bulgaria
ILM-EKF,inc case,1,BG,2833,1005,41,1787,1.03,1.2,0.4,1,0.45,1,5,Bulgaria
LANL-GrowthRate,inc case,1,BG,2193,1892,189,113,0.79,0.59,1,1,-0.1,1,5,Bulgaria
USC-SIkJalpha,inc case,1,BG,5618,3077,2440,101,2.03,1.4,0.4,0.6,-0.52,1,5,Bulgaria
epiforecasts-EpiNow2,inc case,1,BG,1893,1041,0,852,0.69,0.69,0.8,1,0.38,1,5,Bulgaria
DSMPG-bayes,inc case,1,BG,3209,1245,0,1964,0.99,0.94,0.25,1,0.7,1,4,Bulgaria
EuroCOVIDhub-baseline,inc case,2,BG,4845,324,3575,946,1,1,0.25,0.5,-0.21,1,4,Bulgaria
EuroCOVIDhub-ensemble,inc case,2,BG,4595,2447,464,1683,0.95,1.29,0.5,1,0.2,1,4,Bulgaria
IEM_Health-CovidProject,inc case,2,BG,5873,2529,947,2397,1.21,1.51,0.25,1,0.2,1,4,Bulgaria
ILM-EKF,inc case,2,BG,7728,2269,117,5342,1.6,1.92,0.25,0.75,0.56,1,4,Bulgaria
LANL-GrowthRate,inc case,2,BG,3503,2304,118,1081,0.72,0.77,0.75,1,0.2,1,4,Bulgaria
USC-SIkJalpha,inc case,2,BG,6308,2485,3772,51,1.3,0.99,0.5,0.75,-0.43,1,4,Bulgaria
epiforecasts-EpiNow2,inc case,2,BG,6037,2792,0,3245,1.25,1.48,0.5,1,0.52,1,4,Bulgaria
EuroCOVIDhub-baseline,inc death,1,BG,80,6,68,6,1,1,0,0.8,-0.29,1,5,Bulgaria
EuroCOVIDhub-ensemble,inc death,1,BG,82,40,17,25,1.03,0.96,0.6,1,0,1,5,Bulgaria
IEM_Health-CovidProject,inc death,1,BG,122,68,50,4,1.53,1.6,0.8,1,-0.31,1,5,Bulgaria
ILM-EKF,inc death,1,BG,95,61,4,30,1.19,1.2,0.8,1,0.22,1,5,Bulgaria
LANL-GrowthRate,inc death,1,BG,146,16,57,73,1.83,1.95,0,0.8,-0.19,1,5,Bulgaria
RobertWalraven-ESG,inc death,1,BG,103,11,79,12,1.28,1.29,0,0.6,-0.59,1,5,Bulgaria
USC-SIkJalpha,inc death,1,BG,133,58,47,28,1.66,1.29,0.4,0.6,-0.28,1,5,Bulgaria
epiforecasts-EpiNow2,inc death,1,BG,121,33,6,83,1.52,1.78,0,0.8,0.48,1,5,Bulgaria
EuroCOVIDhub-baseline,inc death,2,BG,111,13,98,0,1,1,0,0.75,-0.84,1,4,Bulgaria
EuroCOVIDhub-ensemble,inc death,2,BG,141,57,15,68,1.27,1.41,0.25,1,0.25,1,4,Bulgaria
IEM_Health-CovidProject,inc death,2,BG,174,103,61,10,1.57,1.37,0.75,1,-0.15,1,4,Bulgaria
ILM-EKF,inc death,2,BG,190,85,0,105,1.71,1.81,0.5,1,0.52,1,4,Bulgaria
LANL-GrowthRate,inc death,2,BG,253,28,50,174,2.28,2.33,0,0.75,0.09,1,4,Bulgaria
RobertWalraven-ESG,inc death,2,BG,103,14,89,0,0.93,0.74,0.5,0.5,-0.58,1,4,Bulgaria
USC-SIkJalpha,inc death,2,BG,132,52,37,43,1.19,1.2,0.25,0.75,0.1,1,4,Bulgaria
epiforecasts-EpiNow2,inc death,2,BG,251,61,0,190,2.27,2.34,0.25,0.5,0.69,1,4,Bulgaria
EuroCOVIDhub-baseline,inc case,1,CH,921,306,540,75,1,1,0,1,-0.44,1,5,Switzerland
EuroCOVIDhub-ensemble,inc case,1,CH,985,650,251,84,1.07,1.04,0.6,1,-0.22,1,5,Switzerland
IEM_Health-CovidProject,inc case,1,CH,1793,752,919,122,1.95,1.99,0.6,0.8,-0.38,1,5,Switzerland
ILM-EKF,inc case,1,CH,972,547,187,238,1.06,1.11,0.6,1,-0.06,1,5,Switzerland
LANL-GrowthRate,inc case,1,CH,1558,835,350,374,1.69,2.03,0.6,1,-0.06,1,5,Switzerland
USC-SIkJalpha,inc case,1,CH,1605,736,869,0,1.74,1.61,0,1,-0.68,1,5,Switzerland
epiforecasts-EpiNow2,inc case,1,CH,854,505,39,309,0.93,0.75,0.6,0.8,0.26,1,5,Switzerland
EuroCOVIDhub-baseline,inc case,2,CH,1590,644,946,0,1,1,0.25,1,-0.6,1,4,Switzerland
EuroCOVIDhub-ensemble,inc case,2,CH,1669,860,718,91,1.05,0.99,0.5,1,-0.32,1,4,Switzerland
IEM_Health-CovidProject,inc case,2,CH,2998,912,2029,56,1.89,1.78,0.5,0.75,-0.51,1,4,Switzerland
ILM-EKF,inc case,2,CH,1711,955,510,246,1.08,1.1,0.5,1,-0.18,1,4,Switzerland
LANL-GrowthRate,inc case,2,CH,2044,953,656,435,1.29,1.4,0.25,1,-0.22,1,4,Switzerland
USC-SIkJalpha,inc case,2,CH,2606,699,1907,0,1.64,1.34,0.25,0.5,-0.7,1,4,Switzerland
epiforecasts-EpiNow2,inc case,2,CH,1966,882,349,735,1.24,1.16,0.5,0.75,-0.05,1,4,Switzerland
EuroCOVIDhub-baseline,inc death,1,CH,19,7,7,5,1,1,0.4,1,-0.08,1,5,Switzerland
EuroCOVIDhub-ensemble,inc death,1,CH,14,7,3,4,0.74,0.76,0.6,1,-0.04,1,5,Switzerland
IEM_Health-CovidProject,inc death,1,CH,21,8,12,1,1.08,1.27,0.6,1,-0.44,1,5,Switzerland
ILM-EKF,inc death,1,CH,19,12,2,5,0.99,0.84,0.8,1,0.04,1,5,Switzerland
LANL-GrowthRate,inc death,1,CH,13,5,4,5,0.69,0.81,0.4,1,0.14,1,5,Switzerland
RobertWalraven-ESG,inc death,1,CH,19,7,9,3,1.01,1.1,0.2,0.8,-0.2,1,5,Switzerland
USC-SIkJalpha,inc death,1,CH,17,5,8,4,0.86,0.93,0.4,0.6,-0.17,1,5,Switzerland
epiforecasts-EpiNow2,inc death,1,CH,19,8,1,10,0.98,0.92,0.4,0.8,0.32,1,5,Switzerland
EuroCOVIDhub-baseline,inc death,2,CH,20,14,3,3,1,1,1,1,-0.12,1,4,Switzerland
EuroCOVIDhub-ensemble,inc death,2,CH,18,9,5,5,0.92,1.19,0.25,1,-0.08,1,4,Switzerland
IEM_Health-CovidProject,inc death,2,CH,27,10,17,0,1.37,1.77,0.5,1,-0.45,1,4,Switzerland
ILM-EKF,inc death,2,CH,26,14,4,7,1.31,1.7,0.5,1,0.07,1,4,Switzerland
LANL-GrowthRate,inc death,2,CH,25,6,4,15,1.27,1.43,0.5,0.75,-0.15,1,4,Switzerland
RobertWalraven-ESG,inc death,2,CH,17,9,8,0,0.87,1.09,0.5,1,-0.42,1,4,Switzerland
USC-SIkJalpha,inc death,2,CH,18,5,5,8,0.92,1.24,0.25,0.75,-0.07,1,4,Switzerland
epiforecasts-EpiNow2,inc death,2,CH,22,9,1,12,1.13,1.33,0.5,1,0.26,1,4,Switzerland
EuroCOVIDhub-baseline,inc case,1,CY,308,27,253,28,1,1,0,1,-0.25,1,5,Cyprus
EuroCOVIDhub-ensemble,inc case,1,CY,358,248,48,62,1.16,1.06,0.4,1,0.02,1,5,Cyprus
IEM_Health-CovidProject,inc case,1,CY,541,80,220,241,1.75,1.83,0,0.4,-0.14,1,5,Cyprus
ILM-EKF,inc case,1,CY,474,171,160,143,1.54,1.63,0.4,0.8,0.12,1,5,Cyprus
LANL-GrowthRate,inc case,1,CY,310,68,194,48,1,1.1,0.2,0.8,-0.39,1,5,Cyprus
USC-SIkJalpha,inc case,1,CY,895,783,100,12,2.9,1.01,0.8,0.8,-0.18,1,5,Cyprus
epiforecasts-EpiNow2,inc case,1,CY,448,252,77,119,1.45,1.64,0.6,1,0.08,1,5,Cyprus
DSMPG-bayes,inc case,1,CY,360,180,19,161,1.54,1.46,0.5,1,0.32,1,4,Cyprus
EuroCOVIDhub-baseline,inc case,2,CY,413,61,323,28,1,1,0,1,-0.46,1,4,Cyprus
EuroCOVIDhub-ensemble,inc case,2,CY,677,382,110,185,1.64,1.48,0.5,1,0.12,1,4,Cyprus
IEM_Health-CovidProject,inc case,2,CY,918,111,274,532,2.22,2.08,0,0.5,0.01,1,4,Cyprus
ILM-EKF,inc case,2,CY,683,296,110,278,1.66,1.88,0.25,1,0.28,1,4,Cyprus
LANL-GrowthRate,inc case,2,CY,674,120,411,144,1.63,1.61,0.25,0.75,-0.14,1,4,Cyprus
USC-SIkJalpha,inc case,2,CY,1181,837,281,63,2.86,1.15,0.5,0.75,-0.1,1,4,Cyprus
epiforecasts-EpiNow2,inc case,2,CY,1278,584,227,467,3.1,3.41,0.25,1,0.1,1,4,Cyprus
EuroCOVIDhub-baseline,inc death,1,CY,2,0,1,0,1,1,0.2,1,-0.36,1,5,Cyprus
EuroCOVIDhub-ensemble,inc death,1,CY,2,1,1,0,0.98,0.93,1,1,-0.26,1,5,Cyprus
IEM_Health-CovidProject,inc death,1,CY,3,1,1,0,1.39,1.79,0.6,1,-0.5,1,5,Cyprus
ILM-EKF,inc death,1,CY,3,3,0,0,1.76,0.79,1,1,-0.08,1,5,Cyprus
LANL-GrowthRate,inc death,1,CY,3,1,2,0,1.39,1.71,0.2,1,-0.52,1,5,Cyprus
RobertWalraven-ESG,inc death,1,CY,1,1,1,0,0.63,0.71,0.6,1,-0.4,1,5,Cyprus
USC-SIkJalpha,inc death,1,CY,2,1,1,0,1.19,1,0.6,0.8,-0.46,1,5,Cyprus
epiforecasts-EpiNow2,inc death,1,CY,2,1,0,0,0.84,0.79,0.8,1,0.08,1,5,Cyprus
EuroCOVIDhub-baseline,inc death,2,CY,2,1,2,0,1,1,0.25,1,-0.65,1,4,Cyprus
EuroCOVIDhub-ensemble,inc death,2,CY,2,2,1,0,1.02,0.73,1,1,-0.28,1,4,Cyprus
IEM_Health-CovidProject,inc death,2,CY,3,1,2,0,1.45,1.6,0.5,1,-0.52,1,4,Cyprus
ILM-EKF,inc death,2,CY,4,4,0,0,1.68,0.4,1,1,-0.08,1,4,Cyprus
LANL-GrowthRate,inc death,2,CY,3,1,3,0,1.45,1.4,0.25,0.75,-0.74,1,4,Cyprus
RobertWalraven-ESG,inc death,2,CY,2,1,1,0,0.88,0.87,0.75,1,-0.49,1,4,Cyprus
USC-SIkJalpha,inc death,2,CY,2,1,1,0,1.01,0.93,0.75,1,-0.47,1,4,Cyprus
epiforecasts-EpiNow2,inc death,2,CY,3,1,0,1,1.11,1.07,0.75,1,0.05,1,4,Cyprus
EuroCOVIDhub-baseline,inc case,1,CZ,7689,730,0,6958,1,1,0,1,0.86,1,5,Czechia
EuroCOVIDhub-ensemble,inc case,1,CZ,4739,3440,0,1300,0.62,0.57,0.8,1,0.38,1,5,Czechia
IEM_Health-CovidProject,inc case,1,CZ,10177,5424,0,4753,1.32,1.51,0.6,1,0.54,1,5,Czechia
ILM-EKF,inc case,1,CZ,4920,2330,28,2562,0.64,0.72,0.6,1,0.44,1,5,Czechia
LANL-GrowthRate,inc case,1,CZ,5963,3752,2210,0,0.78,0.81,0.8,1,-0.4,1,5,Czechia
USC-SIkJalpha,inc case,1,CZ,10122,5178,0,4944,1.32,0.98,0.4,0.4,0.74,1,5,Czechia
epiforecasts-EpiNow2,inc case,1,CZ,6550,2979,15,3557,0.85,0.86,0.8,0.8,0.4,1,5,Czechia
EuroCOVIDhub-baseline,inc case,2,CZ,16487,1592,0,14895,1,1,0,0.5,0.95,1,4,Czechia
EuroCOVIDhub-ensemble,inc case,2,CZ,9880,4991,0,4889,0.6,0.66,0.25,1,0.6,1,4,Czechia
IEM_Health-CovidProject,inc case,2,CZ,19243,7402,0,11840,1.17,1.34,0,1,0.72,1,4,Czechia
ILM-EKF,inc case,2,CZ,11679,4866,12,6801,0.71,0.79,0.25,1,0.55,1,4,Czechia
LANL-GrowthRate,inc case,2,CZ,5386,4951,142,293,0.33,0.15,1,1,0.05,1,4,Czechia
USC-SIkJalpha,inc case,2,CZ,15634,6125,0,9508,0.95,0.77,0.25,0.5,0.78,1,4,Czechia
epiforecasts-EpiNow2,inc case,2,CZ,11672,5290,0,6382,0.71,0.73,0.5,0.75,0.55,1,4,Czechia
EuroCOVIDhub-baseline,inc death,1,CZ,110,11,20,79,1,1,0,1,0.49,1,5,Czechia
EuroCOVIDhub-ensemble,inc death,1,CZ,64,42,1,22,0.59,0.45,0.8,1,0.24,1,5,Czechia
IEM_Health-CovidProject,inc death,1,CZ,109,59,6,45,1,1.08,0.6,1,0.32,1,5,Czechia
ILM-EKF,inc death,1,CZ,91,81,1,8,0.82,0.41,1,1,0.1,1,5,Czechia
LANL-GrowthRate,inc death,1,CZ,86,21,61,4,0.78,0.82,0,0.6,-0.52,1,5,Czechia
RobertWalraven-ESG,inc death,1,CZ,123,9,9,105,1.12,0.9,0.2,0.4,0.51,1,5,Czechia
USC-SIkJalpha,inc death,1,CZ,147,80,0,66,1.33,1.06,0.6,0.8,0.46,1,5,Czechia
epiforecasts-EpiNow2,inc death,1,CZ,41,20,9,12,0.38,0.38,0.6,1,0.14,1,5,Czechia
EuroCOVIDhub-baseline,inc death,2,CZ,184,24,8,153,1,1,0,0.5,0.56,1,4,Czechia
EuroCOVIDhub-ensemble,inc death,2,CZ,135,58,0,77,0.73,0.78,0.5,1,0.64,1,4,Czechia
IEM_Health-CovidProject,inc death,2,CZ,241,80,0,161,1.31,1.39,0.25,1,0.66,1,4,Czechia
ILM-EKF,inc death,2,CZ,141,100,0,41,0.77,0.71,1,1,0.32,1,4,Czechia
LANL-GrowthRate,inc death,2,CZ,90,35,55,0,0.49,0.52,0.75,1,-0.46,1,4,Czechia
RobertWalraven-ESG,inc death,2,CZ,279,9,0,270,1.51,1.12,0,0.25,0.98,1,4,Czechia
USC-SIkJalpha,inc death,2,CZ,280,97,0,183,1.52,1.38,0.25,0.5,0.75,1,4,Czechia
epiforecasts-EpiNow2,inc death,2,CZ,139,48,6,86,0.75,0.86,0.25,1,0.55,1,4,Czechia
DSMPG-bayes,inc case,1,DE,11805,5380,301,6124,1.01,0.87,0.8,0.8,0.18,1,5,Germany
EuroCOVIDhub-baseline,inc case,1,DE,11743,1366,9319,1058,1,1,0,1,-0.53,1,5,Germany
EuroCOVIDhub-ensemble,inc case,1,DE,9653,4373,3011,2269,0.82,0.89,0.6,1,-0.24,1,5,Germany
FIAS_FZJ-Epi1Ger,inc case,1,DE,9954,2165,3784,4005,0.85,0.87,0.2,0.8,-0.31,1,5,Germany
IEM_Health-CovidProject,inc case,1,DE,13711,7768,5837,107,1.17,1.04,0.4,1,-0.46,1,5,Germany
ILM-EKF,inc case,1,DE,11238,3747,3191,4300,0.96,1.1,0.4,1,-0.07,1,5,Germany
ITWW-county_repro,inc case,1,DE,13650,1057,1663,10929,1.16,0.95,0.4,0.4,0.18,1,5,Germany
Karlen-pypm,inc case,1,DE,10322,5133,2023,3167,0.88,0.99,0.4,1,-0.02,1,5,Germany
LANL-GrowthRate,inc case,1,DE,12578,8113,4272,193,1.07,1.02,0.6,1,-0.38,1,5,Germany
UNIPV-BayesINGARCHX,inc case,1,DE,11739,1831,5111,4797,1,0.9,0.2,0.4,-0.03,1,5,Germany
USC-SIkJalpha,inc case,1,DE,17782,8301,8269,1212,1.51,1.23,0.8,0.8,-0.34,1,5,Germany
epiforecasts-EpiExpert,inc case,1,DE,11794,2267,5284,4242,1,1.08,0,0.8,-0.2,1,5,Germany
epiforecasts-EpiNow2,inc case,1,DE,12331,6198,3302,2832,1.05,1.21,0.4,1,-0.24,1,5,Germany
itwm-dSEIR,inc case,1,DE,13689,1588,2417,9685,1.17,1.01,0.2,0.4,0.1,1,5,Germany
DSMPG-bayes,inc case,2,DE,24548,12153,2300,10096,1.38,1.49,0.25,1,0.2,1,4,Germany
EuroCOVIDhub-baseline,inc case,2,DE,17797,2731,15065,0,1,1,0.25,0.5,-0.74,1,4,Germany
EuroCOVIDhub-ensemble,inc case,2,DE,20466,7265,6226,6975,1.15,1.4,0,1,0,1,4,Germany
FIAS_FZJ-Epi1Ger,inc case,2,DE,22776,4226,9095,9454,1.28,1.4,0,0.75,0.04,1,4,Germany
IEM_Health-CovidProject,inc case,2,DE,22066,9486,12509,71,1.24,1.04,0.5,0.75,-0.5,1,4,Germany
ILM-EKF,inc case,2,DE,26097,9326,5306,11466,1.47,1.77,0.25,1,0.07,1,4,Germany
ITWW-county_repro,inc case,2,DE,33589,2496,3408,27685,1.89,1.61,0.25,0.25,0.38,1,4,Germany
Karlen-pypm,inc case,2,DE,23172,9537,75,13560,1.3,1.37,0.5,1,0.35,1,4,Germany
LANL-GrowthRate,inc case,2,DE,19890,9145,9310,1435,1.12,1.13,0.5,0.75,-0.27,1,4,Germany
UNIPV-BayesINGARCHX,inc case,2,DE,22442,1722,8127,12593,1.26,1.07,0,0.25,0.05,1,4,Germany
USC-SIkJalpha,inc case,2,DE,33725,10150,19094,4481,1.9,1.56,0.25,0.5,-0.25,1,4,Germany
epiforecasts-EpiExpert,inc case,2,DE,25962,3929,8606,13427,1.46,1.44,0,0.5,0.03,1,4,Germany
epiforecasts-EpiNow2,inc case,2,DE,21782,9962,7441,4379,1.22,1.37,0.5,1,-0.1,1,4,Germany
itwm-dSEIR,inc case,2,DE,23494,5011,5186,13297,1.32,1.45,0.25,0.75,0.15,1,4,Germany
EuroCOVIDhub-baseline,inc death,1,DE,142,44,28,71,1,1,0.2,1,0.36,1,5,Germany
EuroCOVIDhub-ensemble,inc death,1,DE,124,78,14,32,0.87,0.97,0.8,1,0.2,1,5,Germany
FIAS_FZJ-Epi1Ger,inc death,1,DE,372,18,25,329,2.62,2.07,0,0,0.6,1,5,Germany
IEM_Health-CovidProject,inc death,1,DE,238,129,109,0,1.67,1.82,0.6,1,-0.46,1,5,Germany
ILM-EKF,inc death,1,DE,175,95,6,73,1.23,1.39,0.4,1,0.4,1,5,Germany
ITWW-county_repro,inc death,1,DE,161,7,133,21,1.13,0.88,0,0.2,-0.59,1,5,Germany
Karlen-pypm,inc death,1,DE,138,90,3,46,0.97,1.07,0.8,1,0.34,1,5,Germany
LANL-GrowthRate,inc death,1,DE,160,40,98,22,1.12,1.04,0.4,0.8,0.2,1,5,Germany
MIT_CovidAnalytics-DELPHI,inc death,1,DE,153,93,9,51,1.08,1.15,0.8,1,0.28,1,5,Germany
RobertWalraven-ESG,inc death,1,DE,189,63,126,0,1.33,1.35,0.4,0.8,-0.66,1,5,Germany
USC-SIkJalpha,inc death,1,DE,199,158,6,35,1.4,1.15,1,1,0.14,1,5,Germany
epiforecasts-EpiExpert,inc death,1,DE,129,28,58,43,0.91,0.94,0,0.8,0.11,1,5,Germany
epiforecasts-EpiNow2,inc death,1,DE,420,108,0,311,2.95,3.08,0.2,0.8,0.85,1,5,Germany
itwm-dSEIR,inc death,1,DE,129,60,0,69,0.91,0.98,0.8,1,0.5,1,5,Germany
EuroCOVIDhub-baseline,inc death,2,DE,184,90,11,83,1,1,0.75,1,0.33,1,4,Germany
EuroCOVIDhub-ensemble,inc death,2,DE,180,104,0,76,0.98,0.99,0.75,1,0.5,1,4,Germany
FIAS_FZJ-Epi1Ger,inc death,2,DE,615,50,0,565,3.35,2.7,0,0.25,0.95,1,4,Germany
IEM_Health-CovidProject,inc death,2,DE,305,138,167,0,1.66,1.85,0.5,1,-0.55,1,4,Germany
ILM-EKF,inc death,2,DE,343,135,0,208,1.87,1.98,0,1,0.74,1,4,Germany
ITWW-county_repro,inc death,2,DE,191,13,23,155,1.04,0.81,0,0,0.5,1,4,Germany
Karlen-pypm,inc death,2,DE,229,112,0,117,1.24,1.41,0.5,1,0.58,1,4,Germany
LANL-GrowthRate,inc death,2,DE,121,64,30,28,0.66,0.7,0.75,1,0.18,1,4,Germany
MIT_CovidAnalytics-DELPHI,inc death,2,DE,273,142,0,132,1.49,1.55,0.75,1,0.52,1,4,Germany
RobertWalraven-ESG,inc death,2,DE,331,83,248,0,1.8,1.71,0.25,0.75,-0.71,1,4,Germany
USC-SIkJalpha,inc death,2,DE,265,171,0,93,1.44,1.69,0.75,1,0.4,1,4,Germany
epiforecasts-EpiExpert,inc death,2,DE,122,42,22,58,0.67,0.71,0.25,1,0.06,1,4,Germany
epiforecasts-EpiNow2,inc death,2,DE,729,150,0,579,3.97,3.75,0,0.25,0.97,1,4,Germany
