model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,coverage_deviation,bias,aem,relative_skill,scaled_rel_skill,cov_50,cov_95,mae,n,continuous_weeks
bisop-seirfilterlite,inc case,1,HR,1911.201884057971,322.9989855072464,278.27536231884056,1309.927536231884,-0.15333333333333332,0.0666666666666667,2298,1.0410933852503461,NA,0.3333333333333333,0.6666666666666666,2298,3,0
LANL-GrowthRate,inc case,6,HR,4526.99483972332,1332.4982389328063,1506.1525296442687,1688.3440711462451,-0.29035573122529645,0.3936363636363636,6925.045454545455,NA,NA,0.18181818181818182,0.7272727272727273,6925.045454545455,11,1
UMass-SemiMech,inc case,3,HR,2676.4239130434785,1258.7282608695652,0,1417.695652173913,-0.21130434782608695,0.7372727272727273,3936.818181818182,0.7877126063007432,NA,0.36363636363636365,0.6363636363636364,3936.818181818182,11,14
bisop-seirfilterlite,inc case,2,HR,3397.2265217391305,546.5888405797101,33.05797101449275,2817.5797101449275,-0.18231884057971015,0.5,4472.666666666667,1.1377769381941378,NA,0.3333333333333333,0.6666666666666666,4472.666666666667,3,0
UMass-SemiMech,inc case,4,HR,4087.078043478261,1803.6258695652175,0,2283.4521739130437,-0.2982608695652174,0.834,6351.2,0.8103302266989686,NA,0.1,0.6,6351.2,10,14
bisop-seirfilterlite,inc case,3,HR,7603.631304347826,1069.2544927536233,0,6534.376811594203,-0.2692753623188406,0.8,10462,1.5071181076642406,NA,0.3333333333333333,0.6666666666666666,10462,3,0
epiforecasts-EpiExpert_Rt,inc case,1,HR,1216.449770652174,390.0823793478261,0,826.3673913043478,-0.25478260869565217,0.8375,2122.75,0.9632316983313671,NA,0,1,2122.75,4,0
BIOCOMSC-Gompertz,inc case,1,HR,490.2375,487.5708333333333,2.6666666666666665,0,0.21944444444444447,-0.95,NA,0.7489078623919204,NA,0.8888888888888888,1,522.4444444444445,9,10
bisop-seirfilterlite,inc case,4,HR,14113.623623188405,1993.4062318840581,0,12120.217391304348,-0.3272463768115942,0.8666666666666667,19955.666666666668,1.6419742627770932,NA,0,0.6666666666666666,19955.666666666668,3,0
epiforecasts-EpiExpert_Rt,inc case,2,HR,3038.91164076087,528.1035972826088,0,2510.808043478261,-0.4504347826086956,0.9450000000000001,4447,1.121627467611282,NA,0,0.25,4447,4,0
