model,target_variable,location,horizon,weight
LANL-GrowthRate,inc case,MT,1,0.26803975232908195
USC-SIkJalpha,inc case,MT,1,0.2562577851937377
epiforecasts-EpiNow2,inc case,MT,1,0.18361778309157584
IEM_Health-CovidProject,inc death,MT,1,0.09677543810249176
ILM-EKF,inc death,MT,1,0.07080375503345243
LANL-GrowthRate,inc death,MT,1,0.3574447633140421
RobertWalraven-ESG,inc death,MT,1,0.19612013562363373
USC-SIkJalpha,inc death,MT,1,0.10706075036459234
epiforecasts-EpiNow2,inc death,MT,1,0.17179515756178768
IEM_Health-CovidProject,inc case,NL,1,0.2301644837925142
ILM-EKF,inc case,NL,1,0.16698207647692206
LANL-GrowthRate,inc case,NL,1,0.10645107375403783
USC-SIkJalpha,inc case,NL,1,0.08110558000307642
epiforecasts-EpiExpert,inc case,NL,1,0.2301644837925142
epiforecasts-EpiNow2,inc case,NL,1,0.18513230218093532
IEM_Health-CovidProject,inc death,NL,1,0.09811060283190466
ILM-EKF,inc death,NL,1,0.07152891240946745
LANL-GrowthRate,inc death,NL,1,0.2547433196337174
RobertWalraven-ESG,inc death,NL,1,0.31566020041569326
USC-SIkJalpha,inc death,NL,1,0.06000152569885079
epiforecasts-EpiExpert,inc death,NL,1,0.161337435768021
epiforecasts-EpiNow2,inc death,NL,1,0.038618003242345454
IEM_Health-CovidProject,inc case,NO,1,0.15740201983572708
ILM-EKF,inc case,NO,1,0.13588663582940466
LANL-GrowthRate,inc case,NO,1,0.18888242380287248
USC-SIkJalpha,inc case,NO,1,0.13991290652064628
epiforecasts-EpiExpert,inc case,NO,1,0.19273716714578826
epiforecasts-EpiNow2,inc case,NO,1,0.18517884686556124
IEM_Health-CovidProject,inc death,NO,1,0.17603318251812855
ILM-EKF,inc death,NO,1,0.07149933891481829
LANL-GrowthRate,inc death,NO,1,0.1866660593145256
RobertWalraven-ESG,inc death,NO,1,0.1806054729731449
USC-SIkJalpha,inc death,NO,1,0.15282001559266106
epiforecasts-EpiExpert,inc death,NO,1,0.1293639201761131
epiforecasts-EpiNow2,inc death,NO,1,0.10301201051060857
IEM_Health-CovidProject,inc case,Overall,1,0.12765084171077207
ILM-EKF,inc case,Overall,1,0.14100965072701568
LANL-GrowthRate,inc case,Overall,1,0.14266858779439232
USC-SIkJalpha,inc case,Overall,1,0.10022173522746568
epiforecasts-EpiExpert,inc case,Overall,1,0.18099746212721413
epiforecasts-EpiNow2,inc case,Overall,1,0.1595635521384651
DSMPG-bayes,inc case,Overall,1,0.14788817027467496
IEM_Health-CovidProject,inc death,Overall,1,0.12460462386125977
ILM-EKF,inc death,Overall,1,0.14923577043848554
LANL-GrowthRate,inc death,Overall,1,0.19745040396476546
RobertWalraven-ESG,inc death,Overall,1,0.14103600283197534
USC-SIkJalpha,inc death,Overall,1,0.1296391541182804
epiforecasts-EpiExpert,inc death,Overall,1,0.12707204215554216
epiforecasts-EpiNow2,inc death,Overall,1,0.1309620026296914
ICM-agentModel,inc case,PL,1,0.03452606290180515
IEM_Health-CovidProject,inc case,PL,1,0.12407803855336223
ILM-EKF,inc case,PL,1,0.15881988934830366
ITWW-county_repro,inc case,PL,1,0.04411663593008435
LANL-GrowthRate,inc case,PL,1,0.09926243084268979
MIMUW-StochSEIR,inc case,PL,1,0.08271869236890816
MOCOS-agent1,inc case,PL,1,0.10731073604615111
USC-SIkJalpha,inc case,PL,1,0.044612328468624625
epiforecasts-EpiExpert,inc case,PL,1,0.12407803855336223
epiforecasts-EpiNow2,inc case,PL,1,0.18047714698670872
ICM-agentModel,inc death,PL,1,0.031827524329916555
IEM_Health-CovidProject,inc death,PL,1,0.05237757940907527
ILM-EKF,inc death,PL,1,0.11086587641587599
ITWW-county_repro,inc death,PL,1,0.04183617977957584
LANL-GrowthRate,inc death,PL,1,0.11274495906699254
MIMUW-StochSEIR,inc death,PL,1,0.1279221650952415
MIT_CovidAnalytics-DELPHI,inc death,PL,1,0.041316475682935144
MOCOS-agent1,inc death,PL,1,0.12318430712875109
RobertWalraven-ESG,inc death,PL,1,0.07559037028355181
USC-SIkJalpha,inc death,PL,1,0.10904840303200918
epiforecasts-EpiExpert,inc death,PL,1,0.09502789407075085
epiforecasts-EpiNow2,inc death,PL,1,0.07825826570532422
