weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,compare_against,mean_scores_ratio,cov_50,cov_95,bias,n,n_loc,location_name
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,EuroCOVIDhub-median,1.39,0.28,0.68,-0.07,1318,32,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_median,1.32,0.28,0.68,-0.07,1318,32,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,EuroCOVIDhub-mean,1.22,0.28,0.68,-0.07,1318,32,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,EuroCOVIDhub-All_relative_skill_weighted_mean,1.21,0.28,0.68,-0.07,1318,32,NA
All,EuroCOVIDhub-baseline,inc case,3,Overall,1,1,EuroCOVIDhub-baseline,1,0.28,0.68,-0.07,1318,32,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.99,0.82,EuroCOVIDhub-baseline,0.82,0.35,0.76,-0,1205,32,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.99,0.82,EuroCOVIDhub-median,1.13,0.35,0.76,-0,1205,32,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.99,0.82,EuroCOVIDhub-All_relative_skill_weighted_median,1.1,0.35,0.76,-0,1205,32,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.99,0.82,EuroCOVIDhub-All_relative_skill_weighted_mean,1.01,0.35,0.76,-0,1205,32,NA
All,EuroCOVIDhub-mean,inc case,3,Overall,0.99,0.82,EuroCOVIDhub-mean,1,0.35,0.76,-0,1205,32,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.87,0.72,EuroCOVIDhub-baseline,0.72,0.33,0.73,-0.12,1205,32,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.87,0.72,EuroCOVIDhub-All_relative_skill_weighted_median,0.96,0.33,0.73,-0.12,1205,32,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.87,0.72,EuroCOVIDhub-mean,0.88,0.33,0.73,-0.12,1205,32,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.87,0.72,EuroCOVIDhub-All_relative_skill_weighted_mean,0.88,0.33,0.73,-0.12,1205,32,NA
All,EuroCOVIDhub-median,inc case,3,Overall,0.87,0.72,EuroCOVIDhub-median,1,0.33,0.73,-0.12,1205,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.27,1.07,EuroCOVIDhub-mean,0.97,0.3,0.71,-0.01,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.27,1.07,EuroCOVIDhub-baseline,1.07,0.3,0.71,-0.01,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.27,1.07,EuroCOVIDhub-All_relative_skill_weighted_median,1.23,0.3,0.71,-0.01,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.27,1.07,EuroCOVIDhub-median,1.38,0.3,0.71,-0.01,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_mean,inc case,4,Overall,1.27,1.07,EuroCOVIDhub-All_relative_skill_weighted_mean,1,0.3,0.71,-0.01,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,1.03,0.87,EuroCOVIDhub-mean,0.79,0.3,0.69,-0.09,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,1.03,0.87,EuroCOVIDhub-baseline,0.86,0.3,0.69,-0.09,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,1.03,0.87,EuroCOVIDhub-median,1.12,0.3,0.69,-0.09,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,1.03,0.87,EuroCOVIDhub-All_relative_skill_weighted_mean,0.81,0.3,0.69,-0.09,1094,32,NA
All,EuroCOVIDhub-All_relative_skill_weighted_median,inc case,4,Overall,1.03,0.87,EuroCOVIDhub-All_relative_skill_weighted_median,1,0.3,0.69,-0.09,1094,32,NA
