weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,1,BE,0.82,0.66,0.86,1,0.19,7,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,1,BE,0.75,0.63,0.86,1,0.17,7,1,Belgium
10,EuroCOVIDhub-baseline,inc death,1,BE,1,1,0.8,1,0.12,10,1,Belgium
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_mean,inc death,1,BE,0.97,0.63,0.75,0.75,0.22,4,1,Belgium
10,EuroCOVIDhub-cutoff_10_relative_skill_weighted_median,inc death,1,BE,0.94,0.64,0.75,1,0.17,4,1,Belgium
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_mean,inc death,1,BE,0.97,0.63,0.75,0.75,0.22,4,1,Belgium
10,EuroCOVIDhub-cutoff_All_relative_skill_weighted_median,inc death,1,BE,0.94,0.64,0.75,1,0.17,4,1,Belgium
10,EuroCOVIDhub-cutoff_mean,inc death,1,BE,0.97,0.6,0.75,0.75,0.22,4,1,Belgium
10,EuroCOVIDhub-cutoff_median,inc death,1,BE,0.93,0.6,0.75,1,0.17,4,1,Belgium
10,EuroCOVIDhub-mean,inc death,1,BE,0.81,0.64,0.8,1,0.02,10,1,Belgium
10,EuroCOVIDhub-median,inc death,1,BE,0.9,0.62,0.8,1,0.01,10,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_mean,inc death,3,BE,0.67,0.49,0.6,1,0.42,5,1,Belgium
10,EuroCOVIDhub-10_relative_skill_weighted_median,inc death,3,BE,0.71,0.48,0.6,1,0.44,5,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_mean,inc death,3,BE,0.67,0.49,0.6,1,0.42,5,1,Belgium
10,EuroCOVIDhub-All_relative_skill_weighted_median,inc death,3,BE,0.71,0.48,0.6,1,0.44,5,1,Belgium
