scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LV,quantile,0.5,1180.7559
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LV,quantile,0.75,615.69977
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LV,quantile,0.975,2374.4143
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LI,point,NA, 121.56928
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LI,quantile,0.025,60.824036
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LI,quantile,0.25,45.769638
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LI,quantile,0.5,121.56928
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LI,quantile,0.75,137.5498
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LI,quantile,0.975,81.5094
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LT,point,NA, 5470.4937
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LT,quantile,0.025,386.3733
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LT,quantile,0.25,6458.644
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LT,quantile,0.5,5470.4937
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LT,quantile,0.75,5105.373
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LT,quantile,0.975,6445.0215
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LU,point,NA, 203.72723
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LU,quantile,0.025,460.46497
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LU,quantile,0.25,352.09268
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LU,quantile,0.5,203.72723
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LU,quantile,0.75,291.81985
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,LU,quantile,0.975,378.02536
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,MT,point,NA, 709.02185
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,MT,quantile,0.025,774.67816
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,MT,quantile,0.25,489.3354
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,MT,quantile,0.5,709.02185
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,MT,quantile,0.75,308.71198
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,MT,quantile,0.975,377.06656
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NL,point,NA, 15611.132
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NL,quantile,0.025,20354.615
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NL,quantile,0.25,21044.309
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NL,quantile,0.5,15611.132
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NL,quantile,0.75,17631.66
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NL,quantile,0.975,26278.346
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NO,point,NA, 1655.8319
forecast,2021-09-12,1 wk ahead inc case,2021-09-19,NO,quantile,0.025,847.4164
