target,forecast_date,target_end_date,location,type,quantile,value
2 wk ahead inc death,2021-04-12,2021-04-24,PT,point,NA,124
3 wk ahead inc death,2021-04-12,2021-05-01,PT,point,NA,180
4 wk ahead inc death,2021-04-12,2021-05-08,PT,point,NA,225
1 wk ahead inc death,2021-04-12,2021-04-17,RO,point,NA,1063
2 wk ahead inc death,2021-04-12,2021-04-24,RO,point,NA,1070
3 wk ahead inc death,2021-04-12,2021-05-01,RO,point,NA,1070
4 wk ahead inc death,2021-04-12,2021-05-08,RO,point,NA,1042
1 wk ahead inc death,2021-04-12,2021-04-17,SE,point,NA,145
2 wk ahead inc death,2021-04-12,2021-04-24,SE,point,NA,143
3 wk ahead inc death,2021-04-12,2021-05-01,SE,point,NA,149
4 wk ahead inc death,2021-04-12,2021-05-08,SE,point,NA,191
1 wk ahead inc death,2021-04-12,2021-04-17,SI,point,NA,50
2 wk ahead inc death,2021-04-12,2021-04-24,SI,point,NA,60
3 wk ahead inc death,2021-04-12,2021-05-01,SI,point,NA,68
4 wk ahead inc death,2021-04-12,2021-05-08,SI,point,NA,77
1 wk ahead inc death,2021-04-12,2021-04-17,SK,point,NA,550
2 wk ahead inc death,2021-04-12,2021-04-24,SK,point,NA,567
3 wk ahead inc death,2021-04-12,2021-05-01,SK,point,NA,582
4 wk ahead inc death,2021-04-12,2021-05-08,SK,point,NA,602
