forecast_date,location,target_end_date,value,target,type,scenario_id,quantile
2021-04-19,MT,2021-05-15,9,4 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-04-24,209,1 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-05-01,280,2 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-05-08,353,3 wk ahead inc death,point,forecast,NA
2021-04-19,NL,2021-05-15,412,4 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-04-24,22,1 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-05-01,22,2 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-05-08,22,3 wk ahead inc death,point,forecast,NA
2021-04-19,NO,2021-05-15,21,4 wk ahead inc death,point,forecast,NA
2021-04-19,PL,2021-04-24,3602,1 wk ahead inc death,point,forecast,NA
2021-04-19,PL,2021-05-01,3142,2 wk ahead inc death,point,forecast,NA
2021-04-19,PL,2021-05-08,2657,3 wk ahead inc death,point,forecast,NA
2021-04-19,PL,2021-05-15,2401,4 wk ahead inc death,point,forecast,NA
2021-04-19,PT,2021-04-24,34,1 wk ahead inc death,point,forecast,NA
2021-04-19,PT,2021-05-01,48,2 wk ahead inc death,point,forecast,NA
2021-04-19,PT,2021-05-08,72,3 wk ahead inc death,point,forecast,NA
2021-04-19,PT,2021-05-15,98,4 wk ahead inc death,point,forecast,NA
2021-04-19,RO,2021-04-24,962,1 wk ahead inc death,point,forecast,NA
2021-04-19,RO,2021-05-01,847,2 wk ahead inc death,point,forecast,NA
2021-04-19,RO,2021-05-08,742,3 wk ahead inc death,point,forecast,NA
2021-04-19,RO,2021-05-15,653,4 wk ahead inc death,point,forecast,NA
2021-04-19,SE,2021-04-24,232,1 wk ahead inc death,point,forecast,NA
2021-04-19,SE,2021-05-01,287,2 wk ahead inc death,point,forecast,NA
2021-04-19,SE,2021-05-08,327,3 wk ahead inc death,point,forecast,NA
2021-04-19,SE,2021-05-15,345,4 wk ahead inc death,point,forecast,NA
2021-04-19,SI,2021-04-24,39,1 wk ahead inc death,point,forecast,NA
2021-04-19,SI,2021-05-01,31,2 wk ahead inc death,point,forecast,NA
2021-04-19,SI,2021-05-08,23,3 wk ahead inc death,point,forecast,NA
2021-04-19,SI,2021-05-15,20,4 wk ahead inc death,point,forecast,NA
2021-04-19,SK,2021-04-24,499,1 wk ahead inc death,point,forecast,NA
2021-04-19,SK,2021-05-01,449,2 wk ahead inc death,point,forecast,NA
2021-04-19,SK,2021-05-08,411,3 wk ahead inc death,point,forecast,NA
2021-04-19,SK,2021-05-15,385,4 wk ahead inc death,point,forecast,NA
