forecast_date,location,variable,target_end_date,value,target,type,scenario_id,quantile
2021-04-26,RO,deaths,2021-05-08,888.4498800053296,2 wk ahead inc death,point,forecast,NA
2021-04-26,RO,deaths,2021-05-15,767.2136983750532,3 wk ahead inc death,point,forecast,NA
2021-04-26,RO,deaths,2021-05-22,677.30206116187,4 wk ahead inc death,point,forecast,NA
2021-04-26,SE,deaths,2021-05-01,186.6795606107135,1 wk ahead inc death,point,forecast,NA
2021-04-26,SE,deaths,2021-05-08,215.37985208434515,2 wk ahead inc death,point,forecast,NA
2021-04-26,SE,deaths,2021-05-15,229.0065105691415,3 wk ahead inc death,point,forecast,NA
2021-04-26,SE,deaths,2021-05-22,233.05722586357143,4 wk ahead inc death,point,forecast,NA
2021-04-26,SI,deaths,2021-05-01,48.09447301839489,1 wk ahead inc death,point,forecast,NA
2021-04-26,SI,deaths,2021-05-08,45.266610698968655,2 wk ahead inc death,point,forecast,NA
2021-04-26,SI,deaths,2021-05-15,45.5274686069162,3 wk ahead inc death,point,forecast,NA
2021-04-26,SI,deaths,2021-05-22,45.068166691647896,4 wk ahead inc death,point,forecast,NA
2021-04-26,SK,deaths,2021-05-01,363.26458524174956,1 wk ahead inc death,point,forecast,NA
2021-04-26,SK,deaths,2021-05-08,322.19882036602303,2 wk ahead inc death,point,forecast,NA
2021-04-26,SK,deaths,2021-05-15,291.5178460938801,3 wk ahead inc death,point,forecast,NA
2021-04-26,SK,deaths,2021-05-22,266.21444997340427,4 wk ahead inc death,point,forecast,NA
