model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,BE,3,0.11075172218412639
ILM-EKF,inc case,BE,3,0.10401682015941599
Karlen-pypm,inc case,BE,3,0.055777135447802786
LANL-GrowthRate,inc case,BE,3,0.15394489383593565
MUNI-ARIMA,inc case,BE,3,0.14123384755590426
RobertWalraven-ESG,inc case,BE,3,0.19005542448880944
USC-SIkJalpha,inc case,BE,3,0.13503938055783832
epiforecasts-EpiNow2,inc case,BE,3,0.10918077577016715
IEM_Health-CovidProject,inc case,BE,4,0.10088017969436204
ILM-EKF,inc case,BE,4,0.0891375132749125
Karlen-pypm,inc case,BE,4,0.029923605699748595
LANL-GrowthRate,inc case,BE,4,0.17922329796764316
MUNI-ARIMA,inc case,BE,4,0.1427711017708344
RobertWalraven-ESG,inc case,BE,4,0.20798753097479578
USC-SIkJalpha,inc case,BE,4,0.1427711017708344
epiforecasts-EpiNow2,inc case,BE,4,0.10730566884686915
IEM_Health-CovidProject,inc death,BE,1,0.08720319792257411
ILM-EKF,inc death,BE,1,0.0667371412672761
Karlen-pypm,inc death,BE,1,0.3114399925806218
LANL-GrowthRate,inc death,BE,1,0.07108956352383759
MUNI-ARIMA,inc death,BE,1,0.10219124756551654
RobertWalraven-ESG,inc death,BE,1,0.0921160541435642
UMass-MechBayes,inc death,BE,1,0.12340075177722751
USC-SIkJalpha,inc death,BE,1,0.07975902249015925
epiforecasts-EpiNow2,inc death,BE,1,0.06606302872922282
IEM_Health-CovidProject,inc death,BE,2,0.07142538318443482
ILM-EKF,inc death,BE,2,0.079000802613087
Karlen-pypm,inc death,BE,2,0.27442384065598646
LANL-GrowthRate,inc death,BE,2,0.0755659851081702
MUNI-ARIMA,inc death,BE,2,0.11093729728646261
RobertWalraven-ESG,inc death,BE,2,0.10027024947045658
UMass-MechBayes,inc death,BE,2,0.12414411839199387
USC-SIkJalpha,inc death,BE,2,0.08276274559466257
epiforecasts-EpiNow2,inc death,BE,2,0.08146957769474597
IEM_Health-CovidProject,inc death,BE,3,0.07740745660674243
ILM-EKF,inc death,BE,3,0.08708338868258525
Karlen-pypm,inc death,BE,3,0.21435911060328675
LANL-GrowthRate,inc death,BE,3,0.09446333687602468
