model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
LANL-GrowthRate,inc death,1,Overall,0.93,0.78,0.42,0.78,-0.28,320,32,NA
MUNI-ARIMA,inc death,1,Overall,1,0.76,0.65,0.96,-0.14,320,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.88,0.74,0.57,0.85,-0.18,320,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,1.03,NA,NA,NA,NA,320,32,NA
UMass-MechBayes,inc death,1,Overall,1.24,0.88,0.44,0.93,-0.07,320,32,NA
USC-SIkJalpha,inc death,1,Overall,1.17,1.15,0.25,0.41,-0.04,320,32,NA
USyd-OneModelMan,inc death,1,Overall,0.98,NA,NA,NA,NA,320,32,NA
epiforecasts-EpiNow2,inc death,1,Overall,1.16,0.87,0.54,0.94,-0.05,316,32,NA
LANL-GrowthRate,inc death,5,Overall,NA,NA,0.24,0.58,-0.34,320,32,NA
USC-SIkJalpha,inc death,5,Overall,NA,NA,0.26,0.39,-0.25,320,32,NA
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,4,AT,1.05,1.23,0.3,0.9,-0.12,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,4,AT,0.62,0.86,0.3,0.6,-0.54,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,4,AT,1.01,1.18,0.4,0.9,-0.14,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,4,AT,0.64,0.92,0.3,0.5,-0.51,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,4,AT,1.02,1.2,0.3,0.9,-0.11,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,4,AT,0.59,0.85,0.3,0.6,-0.55,10,1,Austria
EuroCOVIDhub-baseline,inc case,4,AT,1,1,0.4,1,-0.64,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,4,AT,1.13,1.3,0.2,0.9,-0.19,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,4,AT,0.74,1.03,0.3,0.5,-0.55,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,4,AT,1.02,1.19,0.3,0.9,-0.3,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,4,AT,0.63,0.93,0.4,0.5,-0.62,10,1,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,0.8,1,0.2,0.7,-0.23,10,1,Austria
EuroCOVIDhub-mean,inc case,4,AT,1.17,1.38,0.4,0.7,0.02,10,1,Austria
EuroCOVIDhub-median,inc case,4,AT,0.6,0.82,0.3,0.7,-0.46,10,1,Austria
IEM_Health-CovidProject,inc case,4,AT,0.91,1.18,0.2,0.6,-0.46,10,1,Austria
ILM-EKF,inc case,4,AT,1.43,1.77,0.3,0.7,-0.04,10,1,Austria
Karlen-pypm,inc case,4,AT,2.78,3.33,0.12,0.5,0.38,8,1,Austria
LANL-GrowthRate,inc case,4,AT,0.74,1.01,0.3,0.5,-0.68,10,1,Austria
MUNI-ARIMA,inc case,4,AT,0.56,0.71,0.6,1,-0.31,10,1,Austria
RobertWalraven-ESG,inc case,4,AT,1.06,1.65,0,0.1,-0.99,10,1,Austria
USC-SIkJalpha,inc case,4,AT,0.87,1.44,0.1,0.1,-0.33,10,1,Austria
UVA-Ensemble,inc case,4,AT,1.15,NA,0,0.5,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,4,AT,4.13,5.46,0.4,0.6,-0.08,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,3,AT,0.73,0.84,0.4,0.9,-0.04,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,3,AT,0.6,0.78,0.4,0.8,-0.31,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,3,AT,0.72,0.84,0.4,0.9,-0.06,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,3,AT,0.63,0.83,0.4,0.7,-0.3,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,3,AT,0.71,0.83,0.5,0.9,-0.04,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,3,AT,0.56,0.78,0.4,0.8,-0.32,10,1,Austria
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.4,1,-0.63,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,3,AT,0.79,0.94,0.4,0.8,-0.09,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_median,inc case,3,AT,0.67,0.89,0.4,0.7,-0.28,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_mean,inc case,3,AT,0.67,0.85,0.5,0.8,-0.21,10,1,Austria
EuroCOVIDhub-cutoff_All_history_relative_skill_weighted_median,inc case,3,AT,0.55,0.83,0.5,0.7,-0.42,10,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,0.6,0.76,0.3,0.8,-0.08,10,1,Austria
EuroCOVIDhub-mean,inc case,3,AT,0.78,0.9,0.5,0.8,0.07,10,1,Austria
EuroCOVIDhub-median,inc case,3,AT,0.56,0.74,0.4,0.8,-0.27,10,1,Austria
IEM_Health-CovidProject,inc case,3,AT,0.8,0.96,0.1,0.7,-0.12,10,1,Austria
ILM-EKF,inc case,3,AT,1.15,1.33,0.4,0.8,0.09,10,1,Austria
Karlen-pypm,inc case,3,AT,1.89,2.2,0.11,0.78,0.39,9,1,Austria
LANL-GrowthRate,inc case,3,AT,0.53,0.82,0.5,0.7,-0.48,10,1,Austria
MUNI-ARIMA,inc case,3,AT,0.58,0.72,0.7,1,-0.22,10,1,Austria
RobertWalraven-ESG,inc case,3,AT,0.96,1.41,0.1,0.1,-0.93,10,1,Austria
USC-SIkJalpha,inc case,3,AT,0.66,0.99,0.1,0.3,-0.27,10,1,Austria
UVA-Ensemble,inc case,3,AT,1.16,NA,0.4,0.8,NA,10,1,Austria
epiforecasts-EpiNow2,inc case,3,AT,2.49,3.25,0.4,0.6,-0.03,10,1,Austria
BIOCOMSC-Gompertz,inc case,2,AT,1.03,NA,0.57,1,NA,7,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_mean,inc case,2,AT,0.59,0.69,0.7,1,0.03,10,1,Austria
EuroCOVIDhub-10_weeks_history_relative_skill_weighted_median,inc case,2,AT,0.6,0.7,0.6,0.9,-0.06,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_mean,inc case,2,AT,0.62,0.71,0.6,1,0.02,10,1,Austria
EuroCOVIDhub-5_weeks_history_relative_skill_weighted_median,inc case,2,AT,0.63,0.75,0.6,0.8,-0.06,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_mean,inc case,2,AT,0.6,0.71,0.7,1,0.02,10,1,Austria
EuroCOVIDhub-All_history_relative_skill_weighted_median,inc case,2,AT,0.56,0.69,0.6,0.8,-0.09,10,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.3,1,-0.55,10,1,Austria
EuroCOVIDhub-cutoff_10_weeks_history_relative_skill_weighted_mean,inc case,2,AT,0.67,0.74,0.6,0.9,0.04,10,1,Austria
