location_name,location,indicator,date,value,source,type
Austria,AT,Daily hospital occupancy,2020-10-05,387,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-06,397,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-07,425,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-08,399,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-09,405,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-10,410,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-11,431,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-12,464,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-13,504,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-14,542,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-15,545,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-16,584,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-17,594,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-18,607,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-19,654,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-20,744,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-21,813,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-22,841,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-23,900,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-24,1002,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-25,1051,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-26,1142,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-27,1197,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-28,1345,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-29,1444,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-30,1540,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-10-31,1602,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-01,1657,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-02,1825,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-03,2065,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-04,2201,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-05,2330,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-06,2504,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-07,2574,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-08,2533,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-09,2755,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-10,3054,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-11,3183,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-12,3265,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-13,3355,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-14,3425,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-15,3579,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-16,3685,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-17,3867,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-18,3910,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-19,3931,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-20,3942,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-21,3900,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-22,3775,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-23,3863,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-24,3985,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-25,3867,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-26,3756,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-27,3702,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-28,3591,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-29,3560,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-11-30,3639,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-01,3791,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-02,3571,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-03,3414,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-04,3338,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-05,3231,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-06,3170,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-07,3269,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-08,3308,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-09,3244,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-10,3195,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-11,3079,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-12,3008,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-13,2867,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-14,2885,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-15,2951,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-16,2862,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-17,2690,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-18,2578,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-19,2475,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-20,2412,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-21,2393,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-22,2435,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-23,2303,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-24,2203,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-25,2045,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-26,2024,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-27,2043,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-28,2089,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-29,2116,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-30,2012,Public,ECDC
Austria,AT,Daily hospital occupancy,2020-12-31,1946,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-01,1858,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-02,1858,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-03,1864,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-04,1953,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-05,2033,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-06,2022,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-07,1981,Public,ECDC
Austria,AT,Daily hospital occupancy,2021-01-08,2000,Public,ECDC
