location_name,location,target_variable,date,value,source,snapshot_date
Austria,AT,inc case,2021-07-24,2529,ECDC,2023-11-24
Austria,AT,inc death,2021-07-31,15,ECDC,2023-11-24
Austria,AT,inc case,2021-07-31,3261,ECDC,2023-11-24
Austria,AT,inc death,2021-08-07,19,ECDC,2023-11-24
Austria,AT,inc case,2021-08-07,3662,ECDC,2023-11-24
Austria,AT,inc death,2021-08-14,16,ECDC,2023-11-24
Austria,AT,inc case,2021-08-14,5903,ECDC,2023-11-24
Austria,AT,inc death,2021-08-21,13,ECDC,2023-11-24
Austria,AT,inc case,2021-08-21,8066,ECDC,2023-11-24
Austria,AT,inc death,2021-08-28,34,ECDC,2023-11-24
Austria,AT,inc case,2021-08-28,9437,ECDC,2023-11-24
Austria,AT,inc death,2021-09-04,44,ECDC,2023-11-24
Austria,AT,inc case,2021-09-04,11273,ECDC,2023-11-24
Austria,AT,inc death,2021-09-11,51,ECDC,2023-11-24
Austria,AT,inc case,2021-09-11,14084,ECDC,2023-11-24
Austria,AT,inc death,2021-09-18,86,ECDC,2023-11-24
Austria,AT,inc case,2021-09-18,13761,ECDC,2023-11-24
Austria,AT,inc death,2021-09-25,73,ECDC,2023-11-24
Austria,AT,inc case,2021-09-25,11753,ECDC,2023-11-24
Austria,AT,inc death,2021-10-02,80,ECDC,2023-11-24
Austria,AT,inc case,2021-10-02,12600,ECDC,2023-11-24
Austria,AT,inc death,2021-10-09,73,ECDC,2023-11-24
Austria,AT,inc case,2021-10-09,12771,ECDC,2023-11-24
Austria,AT,inc death,2021-10-16,106,ECDC,2023-11-24
Austria,AT,inc case,2021-10-16,15338,ECDC,2023-11-24
Austria,AT,inc death,2021-10-23,112,ECDC,2023-11-24
Austria,AT,inc case,2021-10-23,23830,ECDC,2023-11-24
Austria,AT,inc death,2021-10-30,141,ECDC,2023-11-24
Austria,AT,inc case,2021-10-30,34557,ECDC,2023-11-24
Austria,AT,inc death,2021-11-06,208,ECDC,2023-11-24
Austria,AT,inc case,2021-11-06,56412,ECDC,2023-11-24
Austria,AT,inc death,2021-11-13,334,ECDC,2023-11-24
Austria,AT,inc case,2021-11-13,78621,ECDC,2023-11-24
Austria,AT,inc death,2021-11-20,395,ECDC,2023-11-24
Austria,AT,inc case,2021-11-20,97085,ECDC,2023-11-24
Austria,AT,inc death,2021-11-27,481,ECDC,2023-11-24
Austria,AT,inc case,2021-11-27,82539,ECDC,2023-11-24
Austria,AT,inc death,2021-12-04,480,ECDC,2023-11-24
Austria,AT,inc case,2021-12-04,50813,ECDC,2023-11-24
Austria,AT,inc death,2021-12-11,406,ECDC,2023-11-24
Austria,AT,inc case,2021-12-11,29146,ECDC,2023-11-24
Austria,AT,inc death,2021-12-18,281,ECDC,2023-11-24
Austria,AT,inc case,2021-12-18,18844,ECDC,2023-11-24
Austria,AT,inc death,2021-12-25,172,ECDC,2023-11-24
Austria,AT,inc case,2021-12-25,14605,ECDC,2023-11-24
Austria,AT,inc death,2022-01-01,128,ECDC,2023-11-24
Austria,AT,inc case,2022-01-01,23029,ECDC,2023-11-24
Austria,AT,inc death,2022-01-08,91,ECDC,2023-11-24
Austria,AT,inc case,2022-01-08,62194,ECDC,2023-11-24
Austria,AT,inc death,2022-01-15,69,ECDC,2023-11-24
Austria,AT,inc case,2022-01-15,110554,ECDC,2023-11-24
Austria,AT,inc death,2022-01-22,80,ECDC,2023-11-24
Austria,AT,inc case,2022-01-22,175980,ECDC,2023-11-24
Austria,AT,inc death,2022-01-29,109,ECDC,2023-11-24
Austria,AT,inc case,2022-01-29,227274,ECDC,2023-11-24
Austria,AT,inc death,2022-02-05,141,ECDC,2023-11-24
Austria,AT,inc case,2022-02-05,231847,ECDC,2023-11-24
Austria,AT,inc death,2022-02-12,181,ECDC,2023-11-24
Austria,AT,inc case,2022-02-12,216386,ECDC,2023-11-24
Austria,AT,inc death,2022-02-19,197,ECDC,2023-11-24
Austria,AT,inc case,2022-02-19,195511,ECDC,2023-11-24
Austria,AT,inc death,2022-02-26,219,ECDC,2023-11-24
Austria,AT,inc case,2022-02-26,185349,ECDC,2023-11-24
Austria,AT,inc death,2022-03-05,221,ECDC,2023-11-24
Austria,AT,inc case,2022-03-05,217009,ECDC,2023-11-24
Austria,AT,inc death,2022-03-12,195,ECDC,2023-11-24
Austria,AT,inc case,2022-03-12,299203,ECDC,2023-11-24
Austria,AT,inc death,2022-03-19,239,ECDC,2023-11-24
Austria,AT,inc case,2022-03-19,315892,ECDC,2023-11-24
Austria,AT,inc death,2022-03-26,290,ECDC,2023-11-24
Austria,AT,inc case,2022-03-26,248044,ECDC,2023-11-24
Austria,AT,inc death,2022-04-02,285,ECDC,2023-11-24
Austria,AT,inc case,2022-04-02,151681,ECDC,2023-11-24
Austria,AT,inc death,2022-04-09,216,ECDC,2023-11-24
Austria,AT,inc case,2022-04-09,96521,ECDC,2023-11-24
Austria,AT,inc death,2022-04-16,162,ECDC,2023-11-24
Austria,AT,inc case,2022-04-16,63286,ECDC,2023-11-24
Austria,AT,inc death,2022-04-23,129,ECDC,2023-11-24
Austria,AT,inc case,2022-04-23,48996,ECDC,2023-11-24
Austria,AT,inc death,2022-04-30,91,ECDC,2023-11-24
Austria,AT,inc case,2022-04-30,40350,ECDC,2023-11-24
Austria,AT,inc death,2022-05-07,80,ECDC,2023-11-24
Austria,AT,inc case,2022-05-07,36971,ECDC,2023-11-24
Austria,AT,inc death,2022-05-14,42,ECDC,2023-11-24
Austria,AT,inc case,2022-05-14,29760,ECDC,2023-11-24
Austria,AT,inc death,2022-05-21,36,ECDC,2023-11-24
Austria,AT,inc case,2022-05-21,20282,ECDC,2023-11-24
Austria,AT,inc death,2022-05-28,33,ECDC,2023-11-24
Austria,AT,inc case,2022-05-28,15294,ECDC,2023-11-24
Austria,AT,inc death,2022-06-04,24,ECDC,2023-11-24
Austria,AT,inc case,2022-06-04,19505,ECDC,2023-11-24
Austria,AT,inc death,2022-06-11,24,ECDC,2023-11-24
Austria,AT,inc case,2022-06-11,25414,ECDC,2023-11-24
