weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc,location_name
10,EuroCOVIDhub-ensemble,inc hosp,4,BE,0.96,0.92,0.93,0.38,1,0.62,8,1,Belgium
10,epiforecasts-EpiNow2,inc hosp,4,BE,1.12,1.36,1.35,0.6,0.8,0.5,5,1,Belgium
10,epiforecasts-tsensemble,inc hosp,4,BE,1.15,1.18,1.18,0.14,0.86,0.77,7,1,Belgium
10,epiforecasts-weeklygrowth,inc hosp,4,BE,0.67,0.78,0.78,0.4,1,0.48,5,1,Belgium
10,EuroCOVIDhub-baseline,inc case,1,BG,1,1,1,1,1,-0.12,9,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,1,BG,1.12,0.8,0.83,0.89,1,-0.02,9,1,Bulgaria
10,epiforecasts-EpiNow2,inc case,1,BG,2.44,1,0.99,0.43,0.86,0.43,7,1,Bulgaria
10,epiforecasts-tsensemble,inc case,1,BG,1.01,0.43,0.42,0.57,1,0.06,7,1,Bulgaria
10,fjordhest-ensemble,inc case,1,BG,1.24,1.18,1.16,1,1,-0.04,7,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,2,BG,1,1,1,1,1,-0.08,8,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,2,BG,1.04,0.61,0.68,0.88,1,0,8,1,Bulgaria
10,epiforecasts-EpiNow2,inc case,2,BG,2.68,0.86,0.83,0.5,0.67,0.47,6,1,Bulgaria
10,epiforecasts-tsensemble,inc case,2,BG,1.22,0.36,0.35,0.33,0.83,0.05,6,1,Bulgaria
10,fjordhest-ensemble,inc case,2,BG,1.04,0.77,0.74,0.83,1,-0.08,6,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,3,BG,1,1,1,1,1,-0.06,7,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,3,BG,1.18,0.58,0.66,0.86,1,0.01,7,1,Bulgaria
10,epiforecasts-EpiNow2,inc case,3,BG,3.31,0.9,0.86,0.6,0.6,0.4,5,1,Bulgaria
10,epiforecasts-tsensemble,inc case,3,BG,1.14,0.26,0.25,0.2,1,0.04,5,1,Bulgaria
10,fjordhest-ensemble,inc case,3,BG,1.25,0.66,0.63,1,1,-0.08,5,1,Bulgaria
10,EuroCOVIDhub-baseline,inc case,4,BG,1,1,1,1,1,-0.05,6,1,Bulgaria
10,EuroCOVIDhub-ensemble,inc case,4,BG,1.42,0.62,0.71,0.83,1,-0,6,1,Bulgaria
10,epiforecasts-EpiNow2,inc case,4,BG,3.49,0.79,0.76,0.5,0.75,0.35,4,1,Bulgaria
