weeks_included,model,target_variable,horizon,location,location_name,rel_ae,rel_wis,msr_baseline,cov_50,cov_95,bias,n,n_loc
52,ECDC-norrsken_blue,inc case,4,BE,Belgium,1.51,0.47,0.43,0.65,1,0.15,17,1
52,ECDC-norrsken_green,inc case,4,BE,Belgium,1.43,0.41,0.38,0.18,0.53,0.19,17,1
52,EuroCOVIDhub-baseline,inc case,4,BE,Belgium,1,1,1,1,1,0.07,30,1
52,EuroCOVIDhub-ensemble,inc case,4,BE,Belgium,1.07,0.38,0.43,0.73,1,0.24,26,1
52,epiforecasts-tsensemble,inc case,4,BE,Belgium,1.07,0.25,0.26,0.44,0.92,0.24,25,1
52,ECDC-norrsken_blue,inc case,1,BG,Bulgaria,1.44,1.1,1,0.47,1,0.31,17,1
52,ECDC-norrsken_green,inc case,1,BG,Bulgaria,1.34,1.06,0.96,0.29,0.59,0.38,17,1
52,EuroCOVIDhub-baseline,inc case,1,BG,Bulgaria,1,1,1,0.59,1,0.14,29,1
52,EuroCOVIDhub-ensemble,inc case,1,BG,Bulgaria,0.92,0.69,0.74,0.5,1,0.27,26,1
52,epiforecasts-tsensemble,inc case,1,BG,Bulgaria,0.98,0.72,0.73,0.6,0.84,0.39,25,1
52,fjordhest-ensemble,inc case,1,BG,Bulgaria,0.88,0.61,0.69,0.32,0.86,0.28,28,1
52,ECDC-norrsken_blue,inc case,2,BG,Bulgaria,1.48,0.87,0.78,0.47,1,0.35,17,1
52,ECDC-norrsken_green,inc case,2,BG,Bulgaria,1.3,0.77,0.69,0.18,0.71,0.42,17,1
52,EuroCOVIDhub-baseline,inc case,2,BG,Bulgaria,1,1,1,1,1,0.1,29,1
52,EuroCOVIDhub-ensemble,inc case,2,BG,Bulgaria,0.94,0.59,0.67,0.62,0.92,0.26,26,1
52,epiforecasts-tsensemble,inc case,2,BG,Bulgaria,1.05,0.6,0.65,0.6,0.84,0.39,25,1
52,ECDC-norrsken_blue,inc case,3,BG,Bulgaria,1.61,0.85,0.76,0.41,1,0.51,17,1
52,ECDC-norrsken_green,inc case,3,BG,Bulgaria,1.16,0.64,0.58,0.18,0.65,0.54,17,1
52,EuroCOVIDhub-baseline,inc case,3,BG,Bulgaria,1,1,1,1,1,0.11,29,1
52,EuroCOVIDhub-ensemble,inc case,3,BG,Bulgaria,0.95,0.56,0.64,0.69,0.88,0.35,26,1
52,epiforecasts-tsensemble,inc case,3,BG,Bulgaria,1.18,0.57,0.61,0.56,0.8,0.45,25,1
52,ECDC-norrsken_blue,inc case,4,BG,Bulgaria,1.75,0.86,0.76,0.41,0.94,0.55,17,1
52,ECDC-norrsken_green,inc case,4,BG,Bulgaria,1.22,0.6,0.54,0.18,0.65,0.53,17,1
52,EuroCOVIDhub-baseline,inc case,4,BG,Bulgaria,1,1,1,1,1,0.1,29,1
52,EuroCOVIDhub-ensemble,inc case,4,BG,Bulgaria,0.99,0.54,0.62,0.65,0.88,0.37,26,1
52,epiforecasts-tsensemble,inc case,4,BG,Bulgaria,1.27,0.55,0.6,0.52,0.84,0.44,25,1
52,ECDC-norrsken_blue,inc death,1,BG,Bulgaria,3.27,2.23,1.86,0.35,0.82,0.59,17,1
52,ECDC-norrsken_green,inc death,1,BG,Bulgaria,2.28,1.67,1.38,0.24,0.47,0.66,17,1
52,EuroCOVIDhub-baseline,inc death,1,BG,Bulgaria,1,1,1,0.86,1,-0.01,29,1
52,EuroCOVIDhub-ensemble,inc death,1,BG,Bulgaria,1.1,0.75,0.81,0.62,0.96,0.07,26,1
52,epiforecasts-tsensemble,inc death,1,BG,Bulgaria,1.05,0.68,0.8,0.52,0.88,0.03,25,1
52,fjordhest-ensemble,inc death,1,BG,Bulgaria,0.98,0.55,0.64,0.61,0.96,0.09,28,1
52,ECDC-norrsken_blue,inc death,2,BG,Bulgaria,4.01,1.81,1.55,0.29,0.88,0.62,17,1
52,ECDC-norrsken_green,inc death,2,BG,Bulgaria,3.08,1.51,1.28,0.24,0.41,0.7,17,1
52,EuroCOVIDhub-baseline,inc death,2,BG,Bulgaria,1,1,1,1,1,0.01,29,1
52,EuroCOVIDhub-ensemble,inc death,2,BG,Bulgaria,1.24,0.69,0.76,0.62,0.96,0.14,26,1
52,epiforecasts-tsensemble,inc death,2,BG,Bulgaria,1.06,0.48,0.61,0.4,0.88,0.12,25,1
52,ECDC-norrsken_blue,inc death,3,BG,Bulgaria,5.59,1.88,1.61,0.24,0.76,0.7,17,1
52,ECDC-norrsken_green,inc death,3,BG,Bulgaria,4.96,1.86,1.58,0.29,0.41,0.74,17,1
52,EuroCOVIDhub-baseline,inc death,3,BG,Bulgaria,1,1,1,1,1,0.02,29,1
52,EuroCOVIDhub-ensemble,inc death,3,BG,Bulgaria,1.29,0.69,0.76,0.54,1,0.18,26,1
52,epiforecasts-tsensemble,inc death,3,BG,Bulgaria,1.06,0.37,0.47,0.52,0.88,0.19,25,1
52,ECDC-norrsken_blue,inc death,4,BG,Bulgaria,6.44,1.88,1.6,0.18,0.82,0.73,17,1
52,ECDC-norrsken_green,inc death,4,BG,Bulgaria,7.3,2.55,2.16,0.24,0.35,0.78,17,1
52,EuroCOVIDhub-baseline,inc death,4,BG,Bulgaria,1,1,1,1,1,0.02,29,1
52,EuroCOVIDhub-ensemble,inc death,4,BG,Bulgaria,1.36,0.68,0.74,0.54,1,0.18,26,1
52,epiforecasts-tsensemble,inc death,4,BG,Bulgaria,1.08,0.33,0.42,0.64,0.88,0.18,25,1
52,ECDC-norrsken_blue,inc case,1,CZ,Czechia,1.32,0.87,0.85,0.67,0.89,0.36,18,1
52,ECDC-norrsken_green,inc case,1,CZ,Czechia,1.21,0.91,0.89,0.33,0.56,0.34,18,1
52,EuroCOVIDhub-baseline,inc case,1,CZ,Czechia,1,1,1,0.57,1,-0.06,30,1
52,EuroCOVIDhub-ensemble,inc case,1,CZ,Czechia,1.14,0.74,0.78,0.68,0.89,0.06,28,1
52,ECDC-norrsken_blue,inc case,2,CZ,Czechia,1.41,0.89,0.87,0.61,0.89,0.38,18,1
52,ECDC-norrsken_green,inc case,2,CZ,Czechia,1.31,0.93,0.91,0.33,0.56,0.28,18,1
52,EuroCOVIDhub-baseline,inc case,2,CZ,Czechia,1,1,1,0.77,1,-0.04,30,1
52,EuroCOVIDhub-ensemble,inc case,2,CZ,Czechia,1.16,0.71,0.75,0.75,0.89,0.04,28,1
52,ECDC-norrsken_blue,inc case,3,CZ,Czechia,1.51,0.91,0.9,0.5,0.89,0.43,18,1
52,ECDC-norrsken_green,inc case,3,CZ,Czechia,1.42,0.95,0.94,0.28,0.56,0.22,18,1
52,EuroCOVIDhub-baseline,inc case,3,CZ,Czechia,1,1,1,0.83,1,-0.01,30,1
52,EuroCOVIDhub-ensemble,inc case,3,CZ,Czechia,1.21,0.69,0.71,0.79,0.93,0.09,28,1
52,ECDC-norrsken_blue,inc case,4,CZ,Czechia,1.64,0.96,0.96,0.39,0.89,0.51,18,1
52,ECDC-norrsken_green,inc case,4,CZ,Czechia,1.53,0.98,0.97,0.22,0.56,0.17,18,1
52,EuroCOVIDhub-baseline,inc case,4,CZ,Czechia,1,1,1,0.9,1,0.01,30,1
52,EuroCOVIDhub-ensemble,inc case,4,CZ,Czechia,1.23,0.69,0.7,0.79,0.93,0.12,28,1
52,ECDC-norrsken_green,inc hosp,1,CZ,Czechia,1.31,1.19,1.18,0.24,0.53,0.76,17,1
52,EuroCOVIDhub-baseline,inc hosp,1,CZ,Czechia,1,1,1,0.8,1,-0,30,1
52,EuroCOVIDhub-ensemble,inc hosp,1,CZ,Czechia,0.99,0.85,0.86,0.7,1,0.03,27,1
52,epiforecasts-tsensemble,inc hosp,1,CZ,Czechia,1.09,0.97,0.98,0.54,0.92,-0.1,26,1
52,ECDC-norrsken_green,inc hosp,2,CZ,Czechia,1.23,1.16,1.12,0.24,0.59,0.74,17,1
52,EuroCOVIDhub-baseline,inc hosp,2,CZ,Czechia,1,1,1,0.8,1,-0.02,30,1
52,EuroCOVIDhub-ensemble,inc hosp,2,CZ,Czechia,0.99,0.87,0.88,0.7,1,0.06,27,1
52,epiforecasts-tsensemble,inc hosp,2,CZ,Czechia,1.07,0.98,1,0.5,0.92,-0.1,26,1
52,ECDC-norrsken_green,inc hosp,3,CZ,Czechia,1.22,1.14,1.11,0.29,0.53,0.72,17,1
52,EuroCOVIDhub-baseline,inc hosp,3,CZ,Czechia,1,1,1,0.8,1,0,30,1
52,EuroCOVIDhub-ensemble,inc hosp,3,CZ,Czechia,1.01,0.88,0.9,0.78,1,0.09,27,1
52,epiforecasts-tsensemble,inc hosp,3,CZ,Czechia,1.12,1.02,1.04,0.58,0.85,-0.08,26,1
52,ECDC-norrsken_green,inc hosp,4,CZ,Czechia,1.22,1.16,1.1,0.29,0.47,0.68,17,1
52,EuroCOVIDhub-baseline,inc hosp,4,CZ,Czechia,1,1,1,0.7,1,-0,30,1
52,EuroCOVIDhub-ensemble,inc hosp,4,CZ,Czechia,0.99,0.88,0.89,0.74,1,0.07,27,1
52,epiforecasts-tsensemble,inc hosp,4,CZ,Czechia,1.1,1.04,1.07,0.5,0.81,-0.08,26,1
52,ECDC-norrsken_blue,inc case,1,EE,Estonia,1.09,0.8,0.84,0.65,1,0.31,17,1
52,ECDC-norrsken_green,inc case,1,EE,Estonia,1.44,1.08,1.12,0.12,0.59,0.37,17,1
52,EuroCOVIDhub-baseline,inc case,1,EE,Estonia,1,1,1,0.57,1,0.07,30,1
52,EuroCOVIDhub-ensemble,inc case,1,EE,Estonia,0.94,0.67,0.63,0.5,1,0.15,24,1
52,Lydia-SARIMA,inc case,1,EE,Estonia,4.16,4.43,4.02,1,1,0.15,24,1
52,epiforecasts-tsensemble,inc case,1,EE,Estonia,1.07,0.8,0.86,0.48,0.78,0.07,23,1
52,ECDC-norrsken_blue,inc case,2,EE,Estonia,1.03,0.64,0.64,0.65,1,0.32,17,1
52,ECDC-norrsken_green,inc case,2,EE,Estonia,1.43,0.89,0.88,0.29,0.71,0.42,17,1
52,EuroCOVIDhub-baseline,inc case,2,EE,Estonia,1,1,1,0.9,1,0.02,30,1
52,EuroCOVIDhub-ensemble,inc case,2,EE,Estonia,0.91,0.56,0.55,0.67,0.96,0.14,24,1
52,Lydia-SARIMA,inc case,2,EE,Estonia,4.93,3.77,3.56,1,1,0.18,24,1
52,epiforecasts-tsensemble,inc case,2,EE,Estonia,1.03,0.64,0.7,0.48,0.78,0.07,23,1
52,ECDC-norrsken_blue,inc case,3,EE,Estonia,1.07,0.58,0.56,0.53,1,0.33,17,1
52,ECDC-norrsken_green,inc case,3,EE,Estonia,1.58,0.82,0.8,0.12,0.71,0.44,17,1
52,EuroCOVIDhub-baseline,inc case,3,EE,Estonia,1,1,1,0.97,1,0.01,30,1
52,EuroCOVIDhub-ensemble,inc case,3,EE,Estonia,0.92,0.5,0.5,0.67,0.96,0.11,24,1
52,Lydia-SARIMA,inc case,3,EE,Estonia,6.21,3.6,3.43,1,1,0.19,24,1
52,epiforecasts-tsensemble,inc case,3,EE,Estonia,1.03,0.55,0.6,0.52,0.78,0.03,23,1
52,ECDC-norrsken_blue,inc case,4,EE,Estonia,1.23,0.55,0.51,0.53,1,0.36,17,1
52,ECDC-norrsken_green,inc case,4,EE,Estonia,1.89,0.8,0.74,0.24,0.71,0.29,17,1
52,EuroCOVIDhub-baseline,inc case,4,EE,Estonia,1,1,1,1,1,0.02,30,1
52,EuroCOVIDhub-ensemble,inc case,4,EE,Estonia,0.98,0.45,0.48,0.71,0.96,0.1,24,1
52,epiforecasts-tsensemble,inc case,4,EE,Estonia,1.05,0.48,0.54,0.52,0.78,0.03,23,1
52,ECDC-norrsken_blue,inc death,1,EE,Estonia,1.54,1.4,1.41,0.35,0.94,0.59,17,1
52,ECDC-norrsken_green,inc death,1,EE,Estonia,1.34,1.38,1.37,0.29,0.65,0.59,17,1
52,EuroCOVIDhub-baseline,inc death,1,EE,Estonia,1,1,1,0.67,1,0.03,30,1
52,EuroCOVIDhub-ensemble,inc death,1,EE,Estonia,1.16,0.96,0.92,0.71,1,0.12,24,1
52,Lydia-SARIMA,inc death,1,EE,Estonia,1.04,1.18,1.11,0.79,1,0.01,24,1
52,epiforecasts-tsensemble,inc death,1,EE,Estonia,1.17,1.03,1.13,0.48,0.83,0.04,23,1
52,ECDC-norrsken_blue,inc death,2,EE,Estonia,1.82,1.51,1.53,0.24,1,0.61,17,1
52,ECDC-norrsken_green,inc death,2,EE,Estonia,1.61,1.43,1.43,0.35,0.71,0.58,17,1
52,EuroCOVIDhub-baseline,inc death,2,EE,Estonia,1,1,1,0.77,1,0.03,30,1
52,EuroCOVIDhub-ensemble,inc death,2,EE,Estonia,1.15,0.9,0.84,0.71,1,0.12,24,1
52,Lydia-SARIMA,inc death,2,EE,Estonia,1,1.16,1.07,0.79,1,0.03,24,1
52,epiforecasts-tsensemble,inc death,2,EE,Estonia,1.24,0.92,1.04,0.65,0.83,0.07,23,1
52,ECDC-norrsken_blue,inc death,3,EE,Estonia,2.09,1.4,1.45,0.24,1,0.66,17,1
52,ECDC-norrsken_green,inc death,3,EE,Estonia,1.76,1.37,1.39,0.41,0.82,0.61,17,1
52,EuroCOVIDhub-baseline,inc death,3,EE,Estonia,1,1,1,0.83,1,0.02,30,1
52,EuroCOVIDhub-ensemble,inc death,3,EE,Estonia,1.16,0.82,0.79,0.79,1,0.1,24,1
52,Lydia-SARIMA,inc death,3,EE,Estonia,1.05,1.15,1.09,0.83,1,0.03,24,1
52,epiforecasts-tsensemble,inc death,3,EE,Estonia,1.14,0.64,0.67,0.83,0.91,0.08,23,1
52,ECDC-norrsken_blue,inc death,4,EE,Estonia,2.31,1.52,1.44,0.29,1,0.65,17,1
52,ECDC-norrsken_green,inc death,4,EE,Estonia,1.89,1.61,1.53,0.47,0.76,0.52,17,1
52,EuroCOVIDhub-baseline,inc death,4,EE,Estonia,1,1,1,0.83,1,0.02,30,1
52,EuroCOVIDhub-ensemble,inc death,4,EE,Estonia,1.14,0.86,0.87,0.58,1,0.02,24,1
52,epiforecasts-tsensemble,inc death,4,EE,Estonia,1.11,0.67,0.73,0.74,0.91,0.1,23,1
52,EuroCOVIDhub-baseline,inc death,3,FI,Finland,1,1,1,0.71,0.94,-0.32,17,1
52,Lydia-SARIMA,inc death,3,FI,Finland,2.4,1.96,2.16,0.77,1,0.28,13,1
52,Lydia-simpleARIMA,inc death,3,FI,Finland,1.96,1.76,1.6,0.67,0.87,0.11,15,1
52,ECDC-norrsken_blue,inc case,1,GR,Greece,0.98,0.89,0.92,0.72,0.94,0.37,18,1
52,ECDC-norrsken_green,inc case,1,GR,Greece,1.26,1.3,1.33,0.33,0.56,0.14,18,1
52,EuroCOVIDhub-baseline,inc case,1,GR,Greece,1,1,1,0.47,1,0.09,30,1
52,EuroCOVIDhub-ensemble,inc case,1,GR,Greece,0.95,0.95,0.95,0.61,0.89,0.1,28,1
52,Lydia-SARIMA,inc case,1,GR,Greece,1.22,1.96,1.94,1,1,0.08,25,1
52,epiforecasts-tsensemble,inc case,1,GR,Greece,1.05,1.02,0.98,0.54,0.85,0.1,26,1
52,ECDC-norrsken_blue,inc case,2,GR,Greece,1.15,1.05,1.09,0.72,0.89,0.41,18,1
52,ECDC-norrsken_green,inc case,2,GR,Greece,1.37,1.35,1.4,0.11,0.67,0.15,18,1
52,EuroCOVIDhub-baseline,inc case,2,GR,Greece,1,1,1,0.63,1,0.13,30,1
52,EuroCOVIDhub-ensemble,inc case,2,GR,Greece,1.01,0.98,0.99,0.64,0.86,0.16,28,1
52,Lydia-SARIMA,inc case,2,GR,Greece,1.27,1.88,1.83,1,1,0.09,25,1
52,epiforecasts-tsensemble,inc case,2,GR,Greece,1.15,1.09,1.04,0.5,0.85,0.23,26,1
52,ECDC-norrsken_blue,inc case,3,GR,Greece,1.29,1.16,1.2,0.67,0.94,0.42,18,1
52,ECDC-norrsken_green,inc case,3,GR,Greece,1.49,1.4,1.46,0.17,0.61,0.26,18,1
52,EuroCOVIDhub-baseline,inc case,3,GR,Greece,1,1,1,0.73,1,0.15,30,1
52,EuroCOVIDhub-ensemble,inc case,3,GR,Greece,1.11,1.02,1.03,0.61,0.89,0.21,28,1
52,Lydia-SARIMA,inc case,3,GR,Greece,1.26,1.69,1.63,1,1,0.09,25,1
52,epiforecasts-tsensemble,inc case,3,GR,Greece,1.26,1.14,1.09,0.38,0.81,0.31,26,1
52,ECDC-norrsken_blue,inc case,4,GR,Greece,1.36,1.22,1.25,0.67,0.94,0.44,18,1
52,ECDC-norrsken_green,inc case,4,GR,Greece,1.54,1.44,1.5,0.11,0.56,0.24,18,1
52,EuroCOVIDhub-baseline,inc case,4,GR,Greece,1,1,1,0.7,1,0.15,30,1
52,EuroCOVIDhub-ensemble,inc case,4,GR,Greece,1.12,1.02,1.03,0.68,0.89,0.21,28,1
