weeks_included,model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
10,ILM-EKF,inc death,3,CY,1.33,1.33,0.8,1,0.09,10,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,2,CY,1,1,0.9,1,0.03,10,1,Cyprus
10,ILM-EKF,inc death,2,CY,1.09,1.3,0.9,1,0.1,10,1,Cyprus
10,USC-SIkJalpha,inc death,2,CY,1.18,1.67,0,0.11,0.12,9,1,Cyprus
10,EuroCOVIDhub-baseline,inc death,1,CY,1,1,0.8,1,0.02,10,1,Cyprus
10,ILM-EKF,inc death,1,CY,1.02,1.57,1,1,0.05,10,1,Cyprus
10,SDSC_ISG-TrendModel,inc death,1,CY,1.23,1.48,0.3,0.8,-0.21,10,1,Cyprus
10,USC-SIkJalpha,inc death,1,CY,0.78,1.2,0.11,0.33,0.2,9,1,Cyprus
10,EuroCOVIDhub-baseline,inc case,1,CZ,1,1,0.89,1,0.24,9,1,Czechia
10,EuroCOVIDhub-ensemble,inc case,1,CZ,1.4,1.36,0.57,0.86,0.16,7,1,Czechia
10,ILM-EKF,inc case,1,CZ,2.89,2.89,0.33,0.56,0.23,9,1,Czechia
10,SDSC_ISG-TrendModel,inc case,1,CZ,0.74,0.6,0.67,1,0.2,9,1,Czechia
10,USC-SIkJalpha,inc case,1,CZ,0.2,0.16,0.25,0.88,0.11,8,1,Czechia
10,EuroCOVIDhub-baseline,inc case,2,CZ,1,1,0.88,1,0.28,8,1,Czechia
10,EuroCOVIDhub-ensemble,inc case,2,CZ,3.71,3.58,0.5,0.67,0.17,6,1,Czechia
10,ILM-EKF,inc case,2,CZ,7.05,6.68,0.25,0.5,0.3,8,1,Czechia
10,USC-SIkJalpha,inc case,2,CZ,0.4,0.29,0,0.86,0.34,7,1,Czechia
10,AMM-EpiInvert,inc case,3,CZ,3.99,2.06,0.5,0.75,0.28,4,1,Czechia
10,EuroCOVIDhub-baseline,inc case,3,CZ,1,1,0.86,1,0.23,7,1,Czechia
10,ILM-EKF,inc case,3,CZ,6.81,4.44,0.29,0.43,0.34,7,1,Czechia
10,EuroCOVIDhub-baseline,inc case,4,CZ,1,1,0.83,1,0.27,6,1,Czechia
10,ILM-EKF,inc case,4,CZ,28.3,24.68,0,0.33,0.45,6,1,Czechia
10,EuroCOVIDhub-baseline,inc death,4,CZ,1,1,1,1,0.06,10,1,Czechia
10,ILM-EKF,inc death,4,CZ,13.05,8.24,0.2,0.7,-0.04,10,1,Czechia
10,EuroCOVIDhub-baseline,inc death,3,CZ,1,1,1,1,0.06,10,1,Czechia
10,ILM-EKF,inc death,3,CZ,5.99,3.95,0.5,0.8,0,10,1,Czechia
10,EuroCOVIDhub-baseline,inc death,2,CZ,1,1,0.9,1,0.07,10,1,Czechia
10,ILM-EKF,inc death,2,CZ,2.5,2.06,0.5,0.8,0.03,10,1,Czechia
10,USC-SIkJalpha,inc death,2,CZ,1.05,1.03,0.22,0.56,-0.27,9,1,Czechia
10,EuroCOVIDhub-baseline,inc death,1,CZ,1,1,0.6,1,0.08,10,1,Czechia
10,ILM-EKF,inc death,1,CZ,1.42,1.33,0.6,0.9,0.06,10,1,Czechia
10,SDSC_ISG-TrendModel,inc death,1,CZ,0.75,0.71,0.5,0.9,-0.07,10,1,Czechia
10,USC-SIkJalpha,inc death,1,CZ,1.18,1.19,0.33,0.56,-0.09,9,1,Czechia
10,AMM-EpiInvert,inc case,4,DE,1.51,1.5,0.3,0.9,0.12,10,1,Germany
10,EuroCOVIDhub-baseline,inc case,4,DE,1,1,0.7,1,0.28,10,1,Germany
10,EuroCOVIDhub-ensemble,inc case,4,DE,1.28,1.23,0.6,0.9,0.24,10,1,Germany
10,HZI-AgeExtendedSEIR,inc case,4,DE,1.21,2.93,1,1,0.14,10,1,Germany
10,ILM-EKF,inc case,4,DE,1.54,1.47,0.1,0.8,-0.01,10,1,Germany
