date,weekday,ecdc_year,ecdc_week,ecdc_year_week
28/11/2021,Sunday,2021,47,2021-47
29/11/2021,Monday,2021,48,2021-48
30/11/2021,Tuesday,2021,48,2021-48
01/12/2021,Wednesday,2021,48,2021-48
02/12/2021,Thursday,2021,48,2021-48
03/12/2021,Friday,2021,48,2021-48
04/12/2021,Saturday,2021,48,2021-48
05/12/2021,Sunday,2021,48,2021-48
06/12/2021,Monday,2021,49,2021-49
07/12/2021,Tuesday,2021,49,2021-49
08/12/2021,Wednesday,2021,49,2021-49
09/12/2021,Thursday,2021,49,2021-49
10/12/2021,Friday,2021,49,2021-49
11/12/2021,Saturday,2021,49,2021-49
12/12/2021,Sunday,2021,49,2021-49
13/12/2021,Monday,2021,50,2021-50
14/12/2021,Tuesday,2021,50,2021-50
15/12/2021,Wednesday,2021,50,2021-50
16/12/2021,Thursday,2021,50,2021-50
17/12/2021,Friday,2021,50,2021-50
18/12/2021,Saturday,2021,50,2021-50
19/12/2021,Sunday,2021,50,2021-50
20/12/2021,Monday,2021,51,2021-51
21/12/2021,Tuesday,2021,51,2021-51
22/12/2021,Wednesday,2021,51,2021-51
23/12/2021,Thursday,2021,51,2021-51
24/12/2021,Friday,2021,51,2021-51
25/12/2021,Saturday,2021,51,2021-51
26/12/2021,Sunday,2021,51,2021-51
27/12/2021,Monday,2021,52,2021-52
28/12/2021,Tuesday,2021,52,2021-52
29/12/2021,Wednesday,2021,52,2021-52
30/12/2021,Thursday,2021,52,2021-52
31/12/2021,Friday,2021,52,2021-52
01/01/2022,Saturday,2021,52,2021-52
02/01/2022,Sunday,2021,52,2021-52
