location,forecast_date,target_end_date,target,type,quantile,value
FI,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,51482
FI,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,59314
FI,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,45
FI,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,53
FI,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,62
FI,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,67
FI,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,64
FI,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,53
FI,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,40
FI,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,28
FI,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,21
FI,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,17
FI,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,14
FI,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,11
FI,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,10
FI,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,9
FI,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,9
FI,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,10
FI,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,12
FI,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,14
FI,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,16
FR,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,1273317
FR,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,1345325
FR,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,1168679
FR,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,766911
FR,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,411324
FR,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,221264
FR,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,141047
FR,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,128392
FR,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,150313
FR,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,171267
FR,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,195124
FR,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,220392
FR,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,245510
FR,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,268661
FR,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,287514
FR,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,299414
FR,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,302655
FR,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,296997
FR,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,284006
