date,location,location_name,value
2021-03-13,BE,Belgium,195
2021-03-14,BE,Belgium,159
2021-03-15,BE,Belgium,150
2021-03-16,BE,Belgium,208
2021-03-17,BE,Belgium,207
2021-03-18,BE,Belgium,208
2021-03-19,BE,Belgium,182
2021-03-20,BE,Belgium,243
2021-03-21,BE,Belgium,185
2021-03-22,BE,Belgium,201
2021-03-23,BE,Belgium,282
2021-03-24,BE,Belgium,251
2021-03-25,BE,Belgium,242
2021-03-26,BE,Belgium,205
2021-03-27,BE,Belgium,296
2021-03-28,BE,Belgium,213
2021-03-29,BE,Belgium,199
2021-03-30,BE,Belgium,319
2021-03-31,BE,Belgium,309
2021-04-01,BE,Belgium,290
2021-04-02,BE,Belgium,296
2021-04-03,BE,Belgium,259
2021-04-04,BE,Belgium,171
2021-04-05,BE,Belgium,230
2021-04-06,BE,Belgium,235
2021-04-07,BE,Belgium,333
2021-04-08,BE,Belgium,250
2021-04-09,BE,Belgium,275
2021-04-10,BE,Belgium,255
2021-04-11,BE,Belgium,202
2021-04-12,BE,Belgium,225
2021-04-13,BE,Belgium,267
2021-04-14,BE,Belgium,217
2021-04-15,BE,Belgium,239
2021-04-16,BE,Belgium,249
2021-04-17,BE,Belgium,245
2021-04-18,BE,Belgium,201
2021-04-19,BE,Belgium,210
2021-04-20,BE,Belgium,303
2021-04-21,BE,Belgium,244
2021-04-22,BE,Belgium,231
2021-04-23,BE,Belgium,222
2021-04-24,BE,Belgium,228
2021-04-25,BE,Belgium,162
2021-04-26,BE,Belgium,156
2021-04-27,BE,Belgium,231
2021-04-28,BE,Belgium,210
2021-04-29,BE,Belgium,206
2021-04-30,BE,Belgium,191
2021-05-01,BE,Belgium,195
2021-05-02,BE,Belgium,161
2021-05-03,BE,Belgium,153
2021-05-04,BE,Belgium,191
2021-05-05,BE,Belgium,164
2021-05-06,BE,Belgium,145
2021-05-07,BE,Belgium,163
2021-05-08,BE,Belgium,164
2021-05-09,BE,Belgium,159
2021-05-10,BE,Belgium,134
2021-05-11,BE,Belgium,166
2021-05-12,BE,Belgium,148
2021-05-13,BE,Belgium,144
2021-05-14,BE,Belgium,102
2021-05-15,BE,Belgium,168
2021-05-16,BE,Belgium,105
2021-05-17,BE,Belgium,99
2021-05-18,BE,Belgium,131
2021-05-19,BE,Belgium,141
2020-07-11,BE,Belgium,11
2020-07-12,BE,Belgium,7
2020-07-13,BE,Belgium,9
2020-07-14,BE,Belgium,18
2020-07-15,BE,Belgium,11
2020-07-16,BE,Belgium,13
2020-07-17,BE,Belgium,11
2020-07-18,BE,Belgium,27
2020-07-19,BE,Belgium,18
2020-07-20,BE,Belgium,14
2020-07-21,BE,Belgium,8
2020-07-22,BE,Belgium,23
2020-07-23,BE,Belgium,33
2020-07-24,BE,Belgium,34
2020-07-25,BE,Belgium,26
2020-07-26,BE,Belgium,15
2020-07-27,BE,Belgium,28
2020-07-28,BE,Belgium,41
2020-07-29,BE,Belgium,35
2020-07-30,BE,Belgium,30
2020-07-31,BE,Belgium,19
2020-08-01,BE,Belgium,29
2020-08-02,BE,Belgium,29
2020-08-03,BE,Belgium,29
2020-08-04,BE,Belgium,20
2020-08-05,BE,Belgium,50
2020-08-06,BE,Belgium,33
2020-08-07,BE,Belgium,33
2020-08-08,BE,Belgium,38
2020-08-09,BE,Belgium,23
2020-08-10,BE,Belgium,41
2020-08-11,BE,Belgium,52
2020-08-12,BE,Belgium,35
2020-08-13,BE,Belgium,46
2020-08-14,BE,Belgium,33
2020-08-15,BE,Belgium,43
2020-08-16,BE,Belgium,29
2020-08-17,BE,Belgium,21
2021-06-26,BE,Belgium,24
2021-06-27,BE,Belgium,12
2021-06-28,BE,Belgium,15
2021-06-29,BE,Belgium,18
2021-06-30,BE,Belgium,14
2021-07-01,BE,Belgium,7
2021-07-02,BE,Belgium,22
