location_name,location,date,value,source,snapshot_date,status
Belgium,BE,2020-10-24,3415,ECDC,2024-09-06,final
Belgium,BE,2020-10-31,4732,ECDC,2024-09-06,final
Belgium,BE,2020-11-07,4300,ECDC,2024-09-06,final
Belgium,BE,2020-11-14,3332,ECDC,2024-09-06,final
Belgium,BE,2020-11-21,2185,ECDC,2024-09-06,final
Belgium,BE,2020-11-28,1666,ECDC,2024-09-06,final
Belgium,BE,2020-12-05,1361,ECDC,2024-09-06,final
Belgium,BE,2020-12-12,1310,ECDC,2024-09-06,final
Belgium,BE,2020-12-19,1291,ECDC,2024-09-06,final
Belgium,BE,2020-12-26,1163,ECDC,2024-09-06,final
Belgium,BE,2021-01-02,662,ECDC,2024-09-06,final
Belgium,BE,2021-01-09,923,ECDC,2024-09-06,final
Belgium,BE,2021-01-16,840,ECDC,2024-09-06,final
Belgium,BE,2021-01-23,991,ECDC,2024-09-06,final
Belgium,BE,2021-01-30,837,ECDC,2024-09-06,final
Belgium,BE,2021-02-06,928,ECDC,2024-09-06,final
Belgium,BE,2021-02-13,834,ECDC,2024-09-06,final
Belgium,BE,2021-02-20,837,ECDC,2024-09-06,final
Belgium,BE,2021-02-27,1049,ECDC,2024-09-06,final
Belgium,BE,2021-03-06,1021,ECDC,2024-09-06,final
Belgium,BE,2021-03-13,1132,ECDC,2024-09-06,final
Belgium,BE,2021-03-20,1383,ECDC,2024-09-06,final
Belgium,BE,2021-03-27,1693,ECDC,2024-09-06,final
Belgium,BE,2021-04-03,1843,ECDC,2024-09-06,final
Belgium,BE,2021-04-10,1780,ECDC,2024-09-06,final
Belgium,BE,2021-04-17,1643,ECDC,2024-09-06,final
Belgium,BE,2021-04-24,1600,ECDC,2024-09-06,final
Belgium,BE,2021-05-01,1350,ECDC,2024-09-06,final
Belgium,BE,2021-05-08,1139,ECDC,2024-09-06,final
Belgium,BE,2021-05-15,967,ECDC,2024-09-06,final
Belgium,BE,2021-05-22,830,ECDC,2024-09-06,final
Belgium,BE,2021-05-29,611,ECDC,2024-09-06,final
Belgium,BE,2021-06-05,500,ECDC,2024-09-06,final
Belgium,BE,2021-06-12,345,ECDC,2024-09-06,final
Belgium,BE,2021-06-19,235,ECDC,2024-09-06,final
Belgium,BE,2021-06-26,161,ECDC,2024-09-06,final
Belgium,BE,2021-07-03,109,ECDC,2024-09-06,final
Belgium,BE,2021-07-10,118,ECDC,2024-09-06,final
Belgium,BE,2021-07-17,169,ECDC,2024-09-06,final
Belgium,BE,2021-07-24,201,ECDC,2024-09-06,final
Belgium,BE,2021-07-31,251,ECDC,2024-09-06,final
Belgium,BE,2021-08-07,303,ECDC,2024-09-06,final
Belgium,BE,2021-08-14,384,ECDC,2024-09-06,final
Belgium,BE,2021-08-21,412,ECDC,2024-09-06,final
Belgium,BE,2021-08-28,421,ECDC,2024-09-06,final
Belgium,BE,2021-09-04,483,ECDC,2024-09-06,final
Belgium,BE,2021-09-11,426,ECDC,2024-09-06,final
Belgium,BE,2021-09-18,430,ECDC,2024-09-06,final
Belgium,BE,2021-09-25,355,ECDC,2024-09-06,final
Belgium,BE,2021-10-02,426,ECDC,2024-09-06,final
Belgium,BE,2021-10-09,391,ECDC,2024-09-06,final
Belgium,BE,2021-10-16,485,ECDC,2024-09-06,final
Belgium,BE,2021-10-23,774,ECDC,2024-09-06,final
Belgium,BE,2021-10-30,1072,ECDC,2024-09-06,final
Belgium,BE,2021-11-06,1242,ECDC,2024-09-06,final
Belgium,BE,2021-11-13,1622,ECDC,2024-09-06,final
Belgium,BE,2021-11-20,1967,ECDC,2024-09-06,final
Belgium,BE,2021-11-27,2197,ECDC,2024-09-06,final
Belgium,BE,2021-12-04,2174,ECDC,2024-09-06,final
Belgium,BE,2021-12-11,1908,ECDC,2024-09-06,final
Belgium,BE,2021-12-18,1375,ECDC,2024-09-06,final
Belgium,BE,2021-12-25,996,ECDC,2024-09-06,final
Belgium,BE,2022-01-01,1037,ECDC,2024-09-06,final
Belgium,BE,2022-01-08,1285,ECDC,2024-09-06,final
Belgium,BE,2022-01-15,1400,ECDC,2024-09-06,final
Belgium,BE,2022-01-22,2068,ECDC,2024-09-06,final
Belgium,BE,2022-01-29,2523,ECDC,2024-09-06,final
Belgium,BE,2022-02-05,2444,ECDC,2024-09-06,final
Belgium,BE,2022-02-12,1958,ECDC,2024-09-06,final
Belgium,BE,2022-02-19,1468,ECDC,2024-09-06,final
Belgium,BE,2022-02-26,1051,ECDC,2024-09-06,final
Belgium,BE,2022-03-05,985,ECDC,2024-09-06,final
Belgium,BE,2022-03-12,1024,ECDC,2024-09-06,final
Belgium,BE,2022-03-19,1226,ECDC,2024-09-06,final
Belgium,BE,2022-03-26,1418,ECDC,2024-09-06,final
Belgium,BE,2022-04-02,1535,ECDC,2024-09-06,final
Belgium,BE,2022-04-09,1512,ECDC,2024-09-06,final
Belgium,BE,2022-04-16,1528,ECDC,2024-09-06,final
Belgium,BE,2022-04-23,1253,ECDC,2024-09-06,final
Belgium,BE,2022-04-30,988,ECDC,2024-09-06,final
Belgium,BE,2022-05-07,899,ECDC,2024-09-06,final
Belgium,BE,2022-05-14,734,ECDC,2024-09-06,final
Belgium,BE,2022-05-21,568,ECDC,2024-09-06,final
Belgium,BE,2022-05-28,446,ECDC,2024-09-06,final
Belgium,BE,2022-06-04,362,ECDC,2024-09-06,final
Belgium,BE,2022-06-11,415,ECDC,2024-09-06,final
Belgium,BE,2022-06-18,512,ECDC,2024-09-06,final
Belgium,BE,2022-06-25,700,ECDC,2024-09-06,final
Belgium,BE,2022-07-02,838,ECDC,2024-09-06,final
Belgium,BE,2022-07-09,1010,ECDC,2024-09-06,final
Belgium,BE,2022-07-16,1172,ECDC,2024-09-06,final
Belgium,BE,2022-07-23,1099,ECDC,2024-09-06,final
Belgium,BE,2022-07-30,933,ECDC,2024-09-06,final
Belgium,BE,2022-08-06,796,ECDC,2024-09-06,final
Belgium,BE,2022-08-13,660,ECDC,2024-09-06,final
Belgium,BE,2022-08-20,556,ECDC,2024-09-06,final
Belgium,BE,2022-08-27,462,ECDC,2024-09-06,final
Belgium,BE,2022-09-03,414,ECDC,2024-09-06,final
Belgium,BE,2022-09-10,394,ECDC,2024-09-06,final
Belgium,BE,2022-09-17,382,ECDC,2024-09-06,final
Belgium,BE,2022-09-24,487,ECDC,2024-09-06,final
Belgium,BE,2022-10-01,651,ECDC,2024-09-06,final
Belgium,BE,2022-10-08,772,ECDC,2024-09-06,final
Belgium,BE,2022-10-15,742,ECDC,2024-09-06,final
Belgium,BE,2022-10-22,747,ECDC,2024-09-06,final
Belgium,BE,2022-10-29,512,ECDC,2024-09-06,final
Belgium,BE,2022-11-05,344,ECDC,2024-09-06,final
Belgium,BE,2022-11-12,363,ECDC,2024-09-06,final
Belgium,BE,2022-11-19,330,ECDC,2024-09-06,final
Belgium,BE,2022-11-26,416,ECDC,2024-09-06,final
Belgium,BE,2022-12-03,533,ECDC,2024-09-06,final
Belgium,BE,2022-12-10,666,ECDC,2024-09-06,final
