model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,included_in_ensemble
MUNI-ARIMA,inc case,NO,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,PL,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,PT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,RO,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,SE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,SI,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc case,SK,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,AT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,BE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,BG,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,CH,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,CY,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,CZ,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,DE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,DK,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,EE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,ES,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,FI,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,FR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,GB,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,GR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,HR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,HU,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,IE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,IS,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,IT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,LI,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,LT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,LU,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,LV,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,MT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,NL,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,NO,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,PL,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,PT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,RO,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,SE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,SI,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc death,SK,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,BE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,CH,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,CY,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,CZ,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,DK,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,EE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,FR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,GB,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,GR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,HR,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,IE,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,IS,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,LI,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,LV,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,MT,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,NO,TRUE,TRUE,TRUE,TRUE
MUNI-ARIMA,inc hosp,SI,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,AT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,BE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,BG,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,CH,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,CY,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,CZ,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,DE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,DK,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,EE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,ES,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,FI,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,FR,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,GB,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,GR,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,HR,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,HU,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,IE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,IS,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,IT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,LI,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,LT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,LU,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,LV,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,MT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,NL,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,NO,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,PL,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,PT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,RO,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,SE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,SI,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc case,SK,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,AT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,BE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,BG,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,CH,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,CY,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,CZ,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,DE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,DK,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,EE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,ES,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,FI,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,FR,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,GB,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,GR,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,HR,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,HU,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,IE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,IS,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,IT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,LI,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,LT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,LU,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,LV,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,MT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,NL,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,NO,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,PL,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,PT,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,RO,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,SE,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,SI,TRUE,TRUE,TRUE,TRUE
MUNI-VAR,inc death,SK,TRUE,TRUE,TRUE,TRUE
