location,location_name,epi_year,epi_week,date,inc_case,inc_death,inc_hosp
CZ,Czechia,2020,44,2020-10-31,84305,1174,11641
DE,Germany,2020,44,2020-10-31,103982,448,NA
DK,Denmark,2020,44,2020-10-31,6940,21,185
EE,Estonia,2020,44,2020-10-31,554,0,29
ES,Spain,2020,44,2020-10-31,139546,1126,NA
FI,Finland,2020,44,2020-10-31,1461,5,NA
FR,France,2020,44,2020-10-31,278983,2125,16865
GB,United Kingdom,2020,44,2020-10-31,157650,1810,10471
GR,Greece,2020,44,2020-10-31,9259,62,NA
HR,Croatia,2020,44,2020-10-31,15357,117,1088
HU,Hungary,2020,44,2020-10-31,19223,360,NA
IE,Ireland,2020,44,2020-10-31,5348,31,120
IS,Iceland,2020,44,2020-10-31,471,1,25
IT,Italy,2020,44,2020-10-31,174921,1408,14490
LI,Liechtenstein,2020,44,2020-10-31,201,2,NA
LT,Lithuania,2020,44,2020-10-31,5229,36,NA
LU,Luxembourg,2020,44,2020-10-31,4283,11,NA
LV,Latvia,2020,44,2020-10-31,1427,17,199
MT,Malta,2020,44,2020-10-31,669,12,67
NL,Netherlands,2020,44,2020-10-31,70126,376,1931
NO,Norway,2020,44,2020-10-31,2582,3,57
PL,Poland,2020,44,2020-10-31,120785,1280,1580
PT,Portugal,2020,44,2020-10-31,25170,210,476
RO,Romania,2020,44,2020-10-31,35546,650,NA
SE,Sweden,2020,44,2020-10-31,13761,5,NA
SI,Slovenia,2020,44,2020-10-31,13033,103,697
SK,Slovakia,2020,44,2020-10-31,16863,60,NA
AT,Austria,2020,45,2020-11-07,42295,268,NA
BE,Belgium,2020,45,2020-11-07,64939,1282,4463
BG,Bulgaria,2020,45,2020-11-07,21641,353,NA
CH,Switzerland,2020,45,2020-11-07,57662,530,58
CY,Cyprus,2020,45,2020-11-07,1340,1,60
CZ,Czechia,2020,45,2020-11-07,76118,1430,12705
DE,Germany,2020,45,2020-11-07,136324,823,NA
DK,Denmark,2020,45,2020-11-07,7879,19,252
EE,Estonia,2020,45,2020-11-07,1028,0,54
ES,Spain,2020,45,2020-11-07,143154,2955,NA
FI,Finland,2020,45,2020-11-07,1272,4,NA
FR,France,2020,45,2020-11-07,379511,3366,20009
GB,United Kingdom,2020,45,2020-11-07,159781,2333,11050
GR,Greece,2020,45,2020-11-07,15558,123,NA
HR,Croatia,2020,45,2020-11-07,15388,206,1266
HU,Hungary,2020,45,2020-11-07,29622,607,NA
IE,Ireland,2020,45,2020-11-07,3399,32,137
IS,Iceland,2020,45,2020-11-07,198,6,21
IT,Italy,2020,45,2020-11-07,223060,2445,17477
LI,Liechtenstein,2020,45,2020-11-07,227,0,NA
LT,Lithuania,2020,45,2020-11-07,7845,43,NA
LU,Luxembourg,2020,45,2020-11-07,4672,28,NA
LV,Latvia,2020,45,2020-11-07,1986,25,221
MT,Malta,2020,45,2020-11-07,997,12,68
NL,Netherlands,2020,45,2020-11-07,53223,565,1730
NO,Norway,2020,45,2020-11-07,3912,3,93
PL,Poland,2020,45,2020-11-07,158909,2005,1722
PT,Portugal,2020,45,2020-11-07,32261,341,513
RO,Romania,2020,45,2020-11-07,55660,825,NA
SE,Sweden,2020,45,2020-11-07,22106,84,NA
SI,Slovenia,2020,45,2020-11-07,9963,193,899
SK,Slovakia,2020,45,2020-11-07,16003,132,NA
AT,Austria,2020,46,2020-11-14,51071,369,NA
BE,Belgium,2020,46,2020-11-14,37112,1396,3442
BG,Bulgaria,2020,46,2020-11-14,22950,459,NA
CH,Switzerland,2020,46,2020-11-14,45222,659,49
CY,Cyprus,2020,46,2020-11-14,1296,12,59
CZ,Czechia,2020,46,2020-11-14,47009,1377,11466
DE,Germany,2020,46,2020-11-14,131619,1205,NA
DK,Denmark,2020,46,2020-11-14,6848,17,273
EE,Estonia,2020,46,2020-11-14,1479,7,72
ES,Spain,2020,46,2020-11-14,129759,1936,NA
FI,Finland,2020,46,2020-11-14,1717,7,NA
FR,France,2020,46,2020-11-14,204033,4064,17654
GB,United Kingdom,2020,46,2020-11-14,172915,2878,12454
GR,Greece,2020,46,2020-11-14,17701,286,NA
HR,Croatia,2020,46,2020-11-14,17140,254,1484
HU,Hungary,2020,46,2020-11-14,31780,633,NA
IE,Ireland,2020,46,2020-11-14,2671,33,144
IS,Iceland,2020,46,2020-11-14,123,7,9
IT,Italy,2020,46,2020-11-14,242062,3620,17263
LI,Liechtenstein,2020,46,2020-11-14,190,2,NA
LT,Lithuania,2020,46,2020-11-14,10691,86,NA
LU,Luxembourg,2020,46,2020-11-14,4125,39,NA
LV,Latvia,2020,46,2020-11-14,2351,25,286
MT,Malta,2020,46,2020-11-14,878,21,93
NL,Netherlands,2020,46,2020-11-14,38057,483,1514
NO,Norway,2020,46,2020-11-14,4191,9,107
PL,Poland,2020,46,2020-11-14,169478,2409,1782
PT,Portugal,2020,46,2020-11-14,37726,457,505
RO,Romania,2020,46,2020-11-14,56186,1020,NA
SE,Sweden,2020,46,2020-11-14,30894,142,NA
SI,Slovenia,2020,46,2020-11-14,9852,234,886
SK,Slovakia,2020,46,2020-11-14,11900,159,NA
AT,Austria,2020,47,2020-11-21,43671,582,NA
BE,Belgium,2020,47,2020-11-21,25624,1219,2275
BG,Bulgaria,2020,47,2020-11-21,23262,729,NA
CH,Switzerland,2020,47,2020-11-21,33466,668,50
CY,Cyprus,2020,47,2020-11-21,1358,5,71
CZ,Czechia,2020,47,2020-11-21,32521,1037,9337
DE,Germany,2020,47,2020-11-21,128257,1550,NA
DK,Denmark,2020,47,2020-11-21,8557,24,268
EE,Estonia,2020,47,2020-11-21,1963,7,125
ES,Spain,2020,47,2020-11-21,98139,1850,NA
FI,Finland,2020,47,2020-11-21,2114,6,NA
FR,France,2020,47,2020-11-21,171052,4257,14291
GB,United Kingdom,2020,47,2020-11-21,149027,2860,11466
GR,Greece,2020,47,2020-11-21,17611,492,NA
HR,Croatia,2020,47,2020-11-21,18566,298,1623
HU,Hungary,2020,47,2020-11-21,33575,699,NA
IE,Ireland,2020,47,2020-11-21,2617,44,135
IS,Iceland,2020,47,2020-11-21,83,1,4
IT,Italy,2020,47,2020-11-21,235979,4578,15401
LI,Liechtenstein,2020,47,2020-11-21,144,4,NA
LT,Lithuania,2020,47,2020-11-21,11348,131,NA
LU,Luxembourg,2020,47,2020-11-21,3831,41,NA
LV,Latvia,2020,47,2020-11-21,2513,32,334
MT,Malta,2020,47,2020-11-21,905,16,94
NL,Netherlands,2020,47,2020-11-21,36802,427,1299
NO,Norway,2020,47,2020-11-21,3918,12,107
PL,Poland,2020,47,2020-11-21,152357,3243,1580
PT,Portugal,2020,47,2020-11-21,44704,519,545
RO,Romania,2020,47,2020-11-21,59623,1103,NA
SE,Sweden,2020,47,2020-11-21,30940,242,NA
SI,Slovenia,2020,47,2020-11-21,10162,261,760
SK,Slovakia,2020,47,2020-11-21,9690,134,NA
AT,Austria,2020,48,2020-11-28,33699,690,NA
