location,type,quantile,target_end_date,forecast_date,target,value
GB,quantile,0.65,2021-05-29,2021-05-10,3 wk ahead inc case,14826
GB,quantile,0.7,2021-05-29,2021-05-10,3 wk ahead inc case,15413
GB,quantile,0.75,2021-05-29,2021-05-10,3 wk ahead inc case,16065
GB,quantile,0.8,2021-05-29,2021-05-10,3 wk ahead inc case,16791
GB,quantile,0.85,2021-05-29,2021-05-10,3 wk ahead inc case,17741
GB,quantile,0.9,2021-05-29,2021-05-10,3 wk ahead inc case,19048
GB,quantile,0.95,2021-05-29,2021-05-10,3 wk ahead inc case,21112
GB,quantile,0.975,2021-05-29,2021-05-10,3 wk ahead inc case,23217
GB,quantile,0.99,2021-05-29,2021-05-10,3 wk ahead inc case,25711
GB,quantile,0.01,2021-06-05,2021-05-10,4 wk ahead inc case,6570
GB,quantile,0.025,2021-06-05,2021-05-10,4 wk ahead inc case,7310
GB,quantile,0.05,2021-06-05,2021-05-10,4 wk ahead inc case,7990
GB,quantile,0.1,2021-06-05,2021-05-10,4 wk ahead inc case,8932
GB,quantile,0.15,2021-06-05,2021-05-10,4 wk ahead inc case,9677
GB,quantile,0.2,2021-06-05,2021-05-10,4 wk ahead inc case,10278
GB,quantile,0.25,2021-06-05,2021-05-10,4 wk ahead inc case,10835
GB,quantile,0.3,2021-06-05,2021-05-10,4 wk ahead inc case,11393
GB,quantile,0.35,2021-06-05,2021-05-10,4 wk ahead inc case,11911
GB,quantile,0.4,2021-06-05,2021-05-10,4 wk ahead inc case,12425
GB,quantile,0.45,2021-06-05,2021-05-10,4 wk ahead inc case,12963
GB,quantile,0.5,2021-06-05,2021-05-10,4 wk ahead inc case,13475
GB,quantile,0.55,2021-06-05,2021-05-10,4 wk ahead inc case,14025
GB,quantile,0.6,2021-06-05,2021-05-10,4 wk ahead inc case,14639
GB,quantile,0.65,2021-06-05,2021-05-10,4 wk ahead inc case,15307
GB,quantile,0.7,2021-06-05,2021-05-10,4 wk ahead inc case,16001
GB,quantile,0.75,2021-06-05,2021-05-10,4 wk ahead inc case,16894
GB,quantile,0.8,2021-06-05,2021-05-10,4 wk ahead inc case,17854
GB,quantile,0.85,2021-06-05,2021-05-10,4 wk ahead inc case,19064
GB,quantile,0.9,2021-06-05,2021-05-10,4 wk ahead inc case,20691
GB,quantile,0.95,2021-06-05,2021-05-10,4 wk ahead inc case,23566
GB,quantile,0.975,2021-06-05,2021-05-10,4 wk ahead inc case,26380
GB,quantile,0.99,2021-06-05,2021-05-10,4 wk ahead inc case,30284
GB,quantile,0.01,2021-05-15,2021-05-10,1 wk ahead inc death,52
GB,quantile,0.025,2021-05-15,2021-05-10,1 wk ahead inc death,55
GB,quantile,0.05,2021-05-15,2021-05-10,1 wk ahead inc death,59
GB,quantile,0.1,2021-05-15,2021-05-10,1 wk ahead inc death,63
GB,quantile,0.15,2021-05-15,2021-05-10,1 wk ahead inc death,66
GB,quantile,0.2,2021-05-15,2021-05-10,1 wk ahead inc death,69
GB,quantile,0.25,2021-05-15,2021-05-10,1 wk ahead inc death,71
GB,quantile,0.3,2021-05-15,2021-05-10,1 wk ahead inc death,73
GB,quantile,0.35,2021-05-15,2021-05-10,1 wk ahead inc death,75
GB,quantile,0.4,2021-05-15,2021-05-10,1 wk ahead inc death,77
GB,quantile,0.45,2021-05-15,2021-05-10,1 wk ahead inc death,79
GB,quantile,0.5,2021-05-15,2021-05-10,1 wk ahead inc death,80
GB,quantile,0.55,2021-05-15,2021-05-10,1 wk ahead inc death,83
GB,quantile,0.6,2021-05-15,2021-05-10,1 wk ahead inc death,85
GB,quantile,0.65,2021-05-15,2021-05-10,1 wk ahead inc death,87
GB,quantile,0.7,2021-05-15,2021-05-10,1 wk ahead inc death,89
GB,quantile,0.75,2021-05-15,2021-05-10,1 wk ahead inc death,92
GB,quantile,0.8,2021-05-15,2021-05-10,1 wk ahead inc death,95
GB,quantile,0.85,2021-05-15,2021-05-10,1 wk ahead inc death,99
