forecast_date,target,target_end_date,horizon,location,type,quantile,value
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.025,8
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.05,12
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.1,17
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.15,23
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.2,28
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.25,34
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.3,40
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.35,47
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.4,54
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.45,62
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.5,72
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.55,82
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.6,94
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.65,108
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.7,126
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.75,148
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.8,181
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.85,225
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.9,298
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.95,439
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.975,609
2024-02-19,4 wk ahead inc hosp,2024-03-09,4,CZ,quantile,0.99,884
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.01,237
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.025,242
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.05,246
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.1,251
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.15,254
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.2,257
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.25,259
2024-02-19,2 wk ahead inc hosp,2024-02-24,2,NL,quantile,0.3,261
